individual_id,island,sex,year,species
ID_1,Torgersen,male,2007,Adelie
ID_2,Torgersen,female,2007,Adelie
ID_3,Torgersen,female,2007,Adelie
ID_4,Torgersen,female,2007,Adelie
ID_5,Torgersen,male,2007,Adelie
ID_6,Torgersen,female,2007,Adelie
ID_7,Torgersen,male,2007,Adelie
ID_8,Torgersen,,2007,Adelie
ID_9,Torgersen,,2007,Adelie
ID_10,Torgersen,,2007,Adelie
ID_11,Torgersen,,2007,Adelie
ID_12,Torgersen,female,2007,Adelie
ID_13,Torgersen,male,2007,Adelie
ID_14,Torgersen,male,2007,Adelie
ID_15,Torgersen,female,2007,Adelie
ID_16,Torgersen,female,2007,Adelie
ID_17,Torgersen,male,2007,Adelie
ID_18,Torgersen,female,2007,Adelie
ID_19,Torgersen,male,2007,Adelie
ID_20,Biscoe,female,2007,Adelie
ID_21,Biscoe,male,2007,Adelie
ID_22,Biscoe,female,2007,Adelie
ID_23,Biscoe,male,2007,Adelie
ID_24,Biscoe,male,2007,Adelie
ID_25,Biscoe,female,2007,Adelie
ID_26,Biscoe,male,2007,Adelie
ID_27,Biscoe,female,2007,Adelie
ID_28,Biscoe,female,2007,Adelie
ID_29,Biscoe,male,2007,Adelie
ID_30,Dream,female,2007,Adelie
ID_31,Dream,male,2007,Adelie
ID_32,Dream,female,2007,Adelie
ID_33,Dream,male,2007,Adelie
ID_34,Dream,female,2007,Adelie
ID_35,Dream,male,2007,Adelie
ID_36,Dream,male,2007,Adelie
ID_37,Dream,female,2007,Adelie
ID_38,Dream,female,2007,Adelie
ID_39,Dream,male,2007,Adelie
ID_40,Dream,female,2007,Adelie
ID_41,Dream,male,2007,Adelie
ID_42,Dream,female,2007,Adelie
ID_43,Dream,male,2007,Adelie
ID_44,Dream,female,2007,Adelie
ID_45,Dream,male,2007,Adelie
ID_46,Dream,male,2007,Adelie
ID_47,Dream,,2007,Adelie
ID_48,Dream,female,2007,Adelie
ID_49,Dream,male,2007,Adelie
ID_50,Biscoe,female,2008,Adelie
ID_51,Biscoe,male,2008,Adelie
ID_52,Biscoe,female,2008,Adelie
ID_53,Biscoe,male,2008,Adelie
ID_54,Biscoe,female,2008,Adelie
ID_55,Biscoe,male,2008,Adelie
ID_56,Biscoe,female,2008,Adelie
ID_57,Biscoe,male,2008,Adelie
ID_58,Biscoe,female,2008,Adelie
ID_59,Biscoe,male,2008,Adelie
ID_60,Biscoe,female,2008,Adelie
ID_61,Biscoe,male,2008,Adelie
ID_62,Biscoe,female,2008,Adelie
ID_63,Biscoe,male,2008,Adelie
ID_64,Biscoe,female,2008,Adelie
ID_65,Biscoe,male,2008,Adelie
ID_66,Biscoe,female,2008,Adelie
ID_67,Biscoe,male,2008,Adelie
ID_68,Torgersen,female,2008,Adelie
ID_69,Torgersen,male,2008,Adelie
ID_70,Torgersen,female,2008,Adelie
ID_71,Torgersen,male,2008,Adelie
ID_72,Torgersen,female,2008,Adelie
ID_73,Torgersen,male,2008,Adelie
ID_74,Torgersen,female,2008,Adelie
ID_75,Torgersen,male,2008,Adelie
ID_76,Torgersen,female,2008,Adelie
ID_77,Torgersen,male,2008,Adelie
ID_78,Torgersen,female,2008,Adelie
ID_79,Torgersen,male,2008,Adelie
ID_80,Torgersen,female,2008,Adelie
ID_81,Torgersen,male,2008,Adelie
ID_82,Torgersen,female,2008,Adelie
ID_83,Torgersen,male,2008,Adelie
ID_84,Dream,female,2008,Adelie
ID_85,Dream,male,2008,Adelie
ID_86,Dream,male,2008,Adelie
ID_87,Dream,female,2008,Adelie
ID_88,Dream,male,2008,Adelie
ID_89,Dream,female,2008,Adelie
ID_90,Dream,female,2008,Adelie
ID_91,Dream,male,2008,Adelie
ID_92,Dream,female,2008,Adelie
ID_93,Dream,male,2008,Adelie
ID_94,Dream,female,2008,Adelie
ID_95,Dream,male,2008,Adelie
ID_96,Dream,female,2008,Adelie
ID_97,Dream,male,2008,Adelie
ID_98,Dream,female,2008,Adelie
ID_99,Dream,male,2008,Adelie
ID_100,Biscoe,female,2009,Adelie
ID_101,Biscoe,male,2009,Adelie
ID_102,Biscoe,female,2009,Adelie
ID_103,Biscoe,male,2009,Adelie
ID_104,Biscoe,female,2009,Adelie
ID_105,Biscoe,male,2009,Adelie
ID_106,Biscoe,female,2009,Adelie
ID_107,Biscoe,male,2009,Adelie
ID_108,Biscoe,female,2009,Adelie
ID_109,Biscoe,male,2009,Adelie
ID_110,Biscoe,female,2009,Adelie
ID_111,Biscoe,male,2009,Adelie
ID_112,Biscoe,female,2009,Adelie
ID_113,Biscoe,male,2009,Adelie
ID_114,Biscoe,female,2009,Adelie
ID_115,Biscoe,male,2009,Adelie
ID_116,Torgersen,female,2009,Adelie
ID_117,Torgersen,male,2009,Adelie
ID_118,Torgersen,female,2009,Adelie
ID_119,Torgersen,male,2009,Adelie
ID_120,Torgersen,female,2009,Adelie
ID_121,Torgersen,male,2009,Adelie
ID_122,Torgersen,female,2009,Adelie
ID_123,Torgersen,male,2009,Adelie
ID_124,Torgersen,female,2009,Adelie
ID_125,Torgersen,male,2009,Adelie
ID_126,Torgersen,female,2009,Adelie
ID_127,Torgersen,male,2009,Adelie
ID_128,Torgersen,female,2009,Adelie
ID_129,Torgersen,male,2009,Adelie
ID_130,Torgersen,female,2009,Adelie
ID_131,Torgersen,male,2009,Adelie
ID_132,Dream,female,2009,Adelie
ID_133,Dream,male,2009,Adelie
ID_134,Dream,female,2009,Adelie
ID_135,Dream,male,2009,Adelie
ID_136,Dream,female,2009,Adelie
ID_137,Dream,male,2009,Adelie
ID_138,Dream,female,2009,Adelie
ID_139,Dream,male,2009,Adelie
ID_140,Dream,female,2009,Adelie
ID_141,Dream,male,2009,Adelie
ID_142,Dream,female,2009,Adelie
ID_143,Dream,male,2009,Adelie
ID_144,Dream,female,2009,Adelie
ID_145,Dream,male,2009,Adelie
ID_146,Dream,male,2009,Adelie
ID_147,Dream,female,2009,Adelie
ID_148,Dream,female,2009,Adelie
ID_149,Dream,male,2009,Adelie
ID_150,Dream,female,2009,Adelie
ID_151,Dream,male,2009,Adelie
