individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
ID_1,46.5,17.9,192.0,3500.0
ID_2,50.0,19.5,196.0,3900.0
ID_3,51.3,19.2,193.0,3650.0
ID_4,45.4,18.7,188.0,3525.0
ID_5,52.7,19.8,197.0,3725.0
ID_6,45.2,17.8,198.0,3950.0
ID_7,46.1,18.2,178.0,3250.0
ID_8,51.3,18.2,197.0,3750.0
ID_9,46.0,18.9,195.0,4150.0
ID_10,51.3,19.9,198.0,3700.0
ID_11,46.6,17.8,193.0,3800.0
ID_12,51.7,20.3,194.0,3775.0
ID_13,47.0,17.3,185.0,3700.0
ID_14,52.0,18.1,201.0,4050.0
ID_15,45.9,17.1,190.0,3575.0
ID_16,50.5,19.6,201.0,4050.0
ID_17,50.3,20.0,197.0,3300.0
ID_18,58.0,17.8,181.0,3700.0
ID_19,46.4,18.6,190.0,3450.0
ID_20,49.2,18.2,195.0,4400.0
ID_21,42.4,17.3,181.0,3600.0
ID_22,48.5,17.5,191.0,3400.0
ID_23,43.2,16.6,187.0,2900.0
ID_24,50.6,19.4,193.0,3800.0
ID_25,46.7,17.9,195.0,3300.0
ID_26,52.0,19.0,197.0,4150.0
ID_27,50.5,18.4,200.0,3400.0
ID_28,49.5,19.0,200.0,3800.0
ID_29,46.4,17.8,191.0,3700.0
ID_30,52.8,20.0,205.0,4550.0
ID_31,40.9,16.6,187.0,3200.0
ID_32,54.2,20.8,201.0,4300.0
ID_33,42.5,16.7,187.0,3350.0
ID_34,51.0,18.8,203.0,4100.0
ID_35,49.7,18.6,195.0,3600.0
ID_36,47.5,16.8,199.0,3900.0
ID_37,47.6,18.3,195.0,3850.0
ID_38,52.0,20.7,210.0,4800.0
ID_39,46.9,16.6,192.0,2700.0
ID_40,53.5,19.9,205.0,4500.0
ID_41,49.0,19.5,210.0,3950.0
ID_42,46.2,17.5,187.0,3650.0
ID_43,50.9,19.1,196.0,3550.0
ID_44,45.5,17.0,196.0,3500.0
ID_45,50.9,17.9,196.0,3675.0
ID_46,50.8,18.5,201.0,4450.0
ID_47,50.1,17.9,190.0,3400.0
ID_48,49.0,19.6,212.0,4300.0
ID_49,51.5,18.7,187.0,3250.0
ID_50,49.8,17.3,198.0,3675.0
ID_51,48.1,16.4,199.0,3325.0
ID_52,51.4,19.0,201.0,3950.0
ID_53,45.7,17.3,193.0,3600.0
ID_54,50.7,19.7,203.0,4050.0
ID_55,42.5,17.3,187.0,3350.0
ID_56,52.2,18.8,197.0,3450.0
ID_57,45.2,16.6,191.0,3250.0
ID_58,49.3,19.9,203.0,4050.0
ID_59,50.2,18.8,202.0,3800.0
ID_60,45.6,19.4,194.0,3525.0
ID_61,51.9,19.5,206.0,3950.0
ID_62,46.8,16.5,189.0,3650.0
ID_63,45.7,17.0,195.0,3650.0
ID_64,55.8,19.8,207.0,4000.0
ID_65,43.5,18.1,202.0,3400.0
ID_66,49.6,18.2,193.0,3775.0
ID_67,50.8,19.0,210.0,4100.0
ID_68,50.2,18.7,198.0,3775.0
