sample	fragment_length	read_count	fraction_of_all_reads	fragment_class
GM12878_FAST_R1	40	94913	0.00794046786625767	sub-nucleosomal
GM12878_FAST_R1	80	17644	0.00147610564445598	sub-nucleosomal
GM12878_FAST_R1	120	6983	0.000584201185402182	transitional
GM12878_FAST_R1	160	40567	0.00339385500332383	mononucleosomal
GM12878_FAST_R1	200	36559	0.00305854376874099	mononucleosomal
GM12878_FAST_R1	260	4688	0.000392200366198687	mononucleosomal
GM12878_FAST_R1	400	3187	0.000266625974205464	multi-nucleosomal
GM12878_FAST_R1	600	485	0.0000405753365201286	multi-nucleosomal
GM12878_FAST_R2	40	150372	0.00716684344041657	sub-nucleosomal
GM12878_FAST_R2	80	25503	0.00121549230083356	sub-nucleosomal
GM12878_FAST_R2	120	11125	0.000530225928195637	transitional
GM12878_FAST_R2	160	79419	0.00378516970708938	mononucleosomal
GM12878_FAST_R2	200	62158	0.0029624973703177	mononucleosomal
GM12878_FAST_R2	260	7966	0.000379665594966872	mononucleosomal
GM12878_FAST_R2	400	5824	0.000277576252207765	multi-nucleosomal
GM12878_FAST_R2	600	903	0.000043037664104329	multi-nucleosomal
GM12878_OMNI_R1	40	460833	0.00618965618116213	sub-nucleosomal
GM12878_OMNI_R1	80	180618	0.00242596194310985	sub-nucleosomal
GM12878_OMNI_R1	120	77227	0.00103727072041848	transitional
GM12878_OMNI_R1	160	91583	0.00123009264102044	mononucleosomal
GM12878_OMNI_R1	200	211403	0.00283944918368741	mononucleosomal
GM12878_OMNI_R1	260	79925	0.00107350877710447	mononucleosomal
GM12878_OMNI_R1	400	70941	0.000952840615033695	multi-nucleosomal
GM12878_OMNI_R1	600	23169	0.000311193304432073	multi-nucleosomal
GM12878_OMNI_R2	40	407465	0.00661780536478398	sub-nucleosomal
GM12878_OMNI_R2	80	154769	0.00251366649528733	sub-nucleosomal
GM12878_OMNI_R2	120	64030	0.00103993736273574	transitional
GM12878_OMNI_R2	160	75224	0.001221743685373	mononucleosomal
GM12878_OMNI_R2	200	170221	0.00276462873375356	mononucleosomal
GM12878_OMNI_R2	260	63739	0.00103521111296913	mononucleosomal
GM12878_OMNI_R2	400	55516	0.00090165801389407	multi-nucleosomal
GM12878_OMNI_R2	600	17599	0.000285832541727101	multi-nucleosomal
GM12878_STD_R1	40	53959	0.000858612673249719	sub-nucleosomal
GM12878_STD_R1	80	19261	0.00030648712354682	sub-nucleosomal
GM12878_STD_R1	120	7496	0.000119278722709463	transitional
GM12878_STD_R1	160	26425	0.000420482957256877	mononucleosomal
GM12878_STD_R1	200	35841	0.000570313327191816	mononucleosomal
GM12878_STD_R1	260	7116	0.000113232042529421	mononucleosomal
GM12878_STD_R1	400	4890	0.0000778112265273843	multi-nucleosomal
GM12878_STD_R1	600	0	0.0	multi-nucleosomal
GM12878_STD_R2	40	45271	0.000760012749532427	sub-nucleosomal
GM12878_STD_R2	80	19236	0.000322935328356029	sub-nucleosomal
GM12878_STD_R2	120	7584	0.000127320728335003	transitional
GM12878_STD_R2	160	24168	0.000405734093143507	mononucleosomal
GM12878_STD_R2	200	32949	0.000553150142129486	mononucleosomal
GM12878_STD_R2	260	7289	0.000122368247472816	mononucleosomal
GM12878_STD_R2	400	5329	0.0000894636288630316	multi-nucleosomal
GM12878_STD_R2	600	0	0.0	multi-nucleosomal
