sample	position	coverage
GM12878_FAST_R1	-1000	0.849429087381451
GM12878_FAST_R1	-500	1.29391110212049
GM12878_FAST_R1	-200	1.97109925596051
GM12878_FAST_R1	-50	2.39081194656618
GM12878_FAST_R1	0	2.47213358749884
GM12878_FAST_R1	50	2.43872637685696
GM12878_FAST_R1	200	2.21163117258202
GM12878_FAST_R1	500	1.67054510231835
GM12878_FAST_R2	-1000	0.861917645313796
GM12878_FAST_R2	-500	1.32475496308118
GM12878_FAST_R2	-200	1.95019095790722
GM12878_FAST_R2	-50	2.29063126329305
GM12878_FAST_R2	0	2.37738222391205
GM12878_FAST_R2	50	2.36399606274137
GM12878_FAST_R2	200	2.20293031704259
GM12878_FAST_R2	500	1.67126222215889
GM12878_OMNI_R1	-1000	0.795852672999664
GM12878_OMNI_R1	-500	1.75487713014215
GM12878_OMNI_R1	-200	3.08234325572379
GM12878_OMNI_R1	-50	4.03350523256357
GM12878_OMNI_R1	0	4.12162753606452
GM12878_OMNI_R1	50	3.9363433516528
GM12878_OMNI_R1	200	3.28337148086859
GM12878_OMNI_R1	500	2.07555830361579
GM12878_OMNI_R2	-1000	0.793605460864504
GM12878_OMNI_R2	-500	1.77153749334119
GM12878_OMNI_R2	-200	3.16439296202086
GM12878_OMNI_R2	-50	4.19122421756164
GM12878_OMNI_R2	0	4.26647078765751
GM12878_OMNI_R2	50	4.04311471554569
GM12878_OMNI_R2	200	3.31763112465226
GM12878_OMNI_R2	500	2.07874407696107
GM12878_STD_R1	-1000	0.87545734197311
GM12878_STD_R1	-500	1.99939007659447
GM12878_STD_R1	-200	5.03150600388323
GM12878_STD_R1	-50	7.35380144015951
GM12878_STD_R1	0	7.27084220122805
GM12878_STD_R1	50	6.54778524580798
GM12878_STD_R1	200	4.65533292725416
GM12878_STD_R1	500	2.19049404600496
GM12878_STD_R2	-1000	0.860029954795709
GM12878_STD_R2	-500	2.04741788940734
GM12878_STD_R2	-200	5.14605463809157
GM12878_STD_R2	-50	7.57689071141239
GM12878_STD_R2	0	7.53007383861144
GM12878_STD_R2	50	6.82618015532798
GM12878_STD_R2	200	4.87815808817498
GM12878_STD_R2	500	2.23100405386101
