sample	condition	gene_id	gene_biotype	count	cpm	log_cpm
A549_R1	A549	ENSG00000000003	protein_coding	77.0	60.33816012493917	5.938712987634526
A549_R1	A549	ENSG00000000419	protein_coding	135.0	105.78768333593231	6.738601449020589
A549_R1	A549	ENSG00000000457	protein_coding	8.0	6.268899753240434	2.8617370091697683
A549_R1	A549	ENSG00000000460	protein_coding	14.0	10.97057456817076	3.5814204958535494
A549_R1	A549	ENSG00000000971	protein_coding	26.0	20.37392419803141	4.4177799023374185
A549_R1	A549	ENSG00000001036	protein_coding	78.0	61.12177259409423	5.957027091325768
A549_R1	A549	ENSG00000001084	protein_coding	37.0	28.993661358737008	4.90658573919059
A549_R1	A549	ENSG00000001167	protein_coding	19.0	14.88863691394603	3.9899234560847
A549_R1	A549	ENSG00000001460	protein_coding	11.0	8.619737160705597	3.265997475894806
A549_R1	A549	ENSG00000001461	protein_coding	60.0	47.016748149303254	5.585465797753281
A549_R1	A549	ENSG00000001497	protein_coding	85.0	66.60705987817961	6.079102002924737
A549_R1	A549	ENSG00000001617	protein_coding	0.0	0.0	0.0
