sample	caller	ts	tv	ts_tv	ts_1st_alt	tv_1st_alt	ts_tv_1st_alt
NA12878_200M	deepvariant	30375	16685	1.82	30362	16671	1.82
NA12878_200M	freebayes	27722	10639	2.61	27671	10614	2.61
NA12878_200M	haplotypecaller	29453	11729	2.51	29435	11697	2.52
NA12878_200M	manta	0	0	0.0	0	0	0.0
NA12878_200M	strelka	29334	11873	2.47	29327	11850	2.47
NA12878_75M	deepvariant	30089	16647	1.81	30079	16638	1.81
NA12878_75M	freebayes	27289	10361	2.63	27240	10341	2.63
NA12878_75M	haplotypecaller	29058	11480	2.53	29038	11453	2.54
NA12878_75M	manta	0	0	0.0	0	0	0.0
NA12878_75M	strelka	30105	12541	2.4	30098	12522	2.4
