sample	context	read	series	position	pct_methylation	coverage
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CpG R1	1	88.17	70027
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CpG R1	2	89.37	60044
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CpG R1	3	86.75	55990
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CpG R2	1	73.59	55607
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CpG R2	2	78.89	52013
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CpG R2	3	82.24	54712
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHG R1	1	1.64	305949
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHG R1	2	0.91	263360
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHG R1	3	0.68	277505
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHG R2	1	0.93	271338
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHG R2	2	0.71	247058
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHG R2	3	0.59	255560
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHH R1	1	1.44	1099453
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHH R1	2	0.75	970785
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHH R1	3	0.54	991106
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHH R2	1	0.95	906460
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHH R2	2	0.67	983842
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 CHH R2	3	0.56	983060
