sample	read	series	position	pct_methylation	coverage
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	1	88.17	70027
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	2	89.37	60044
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	3	86.75	55990
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	4	87.12	59892
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	5	88.79	60758
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	6	87.99	64271
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	7	87.39	54626
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R1	8	87.3	54429
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	1	73.59	55607
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	2	78.89	52013
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	3	82.24	54712
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	4	83.24	56243
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	5	82.5	59442
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	6	81.77	50967
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	7	81.32	49597
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	R2	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1 R2	8	82.77	53098
