sample	series	methylation_bin	n_cpgs	fraction_of_cpgs
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	1.0	900735	10.716403026269813
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	3.0	31	0.00036881934621655
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	5.0	26	0.0003093323548913
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	7.0	21	0.00024984536356605
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	9.0	13	0.00015466617744565
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	11.0	29	0.00034502454968645
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	1.0	789483	10.371921873770402
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	3.0	31	0.00040726599317133166
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	5.0	15	0.00019706419024419276
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	7.0	17	0.0002233394156100851
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	9.0	9	0.00011823851414651565
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	11.0	34	0.0004466788312201702
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	1.0	2293418	10.387075633612755
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	3.0	37	0.00016757599288209647
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	5.0	56	0.00025362852976749733
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	7.0	58	0.00026268669154490797
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	9.0	71	0.00032156474309807704
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	11.0	159	0.0007201238613041442
