sample	cluster	cluster_label	rank_in_cluster	gene_id	gene	mean_counts	log2fc	adjusted_pvalue
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	1	OSBPL10	OSBPL10	2.896799722190249	6.5409940299474965	6.677151185825382e-134
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	2	CD79A	CD79A	5.9775232362655935	6.106710636742871	2.98983106244493e-130
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	3	PAX5	PAX5	2.8135583508629427	6.309716090985854	1.5457838483727178e-128
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	4	LINC00926	LINC00926	2.5939596855518596	6.349314748460083	7.242182897334487e-128
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	5	BANK1	BANK1	6.488070313739737	5.81776182226478	1.4590529468535014e-121
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	7	MS4A1	MS4A1	4.03681012189183	5.963370121358485	4.252282087587191e-121
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	6	FCRL1	FCRL1	2.21422047730634	6.15345464451716	4.252282087587191e-121
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	8	CD22	CD22	1.8503367683612593	6.1641522334620005	1.2087726519631363e-119
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	9	VPREB3	VPREB3	1.1201910255760321	6.615386021088421	6.563585321959581e-119
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	10	FCER2	FCER2	1.3088714672512591	6.4285031744623415	9.904848621909218e-119
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	11	EBF1	EBF1	2.063593233952167	6.1132526169374755	1.8089603061812024e-114
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	12	COL19A1	COL19A1	1.6148826037497366	6.1502137573638835	6.457000395941952e-110
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	13	BLK	BLK	1.270025493965183	5.872729212563685	2.241691360880802e-107
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	14	PLEKHG1	PLEKHG1	1.8828405419271597	5.593364172459697	4.6830901940484175e-102
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	15	FCRLA	FCRLA	0.7166685683798536	6.14524168573462	4.722989184885951e-102
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	16	LOC100507616	LOC100507616	0.5826895992911421	6.342557076960277	3.3954508828346104e-97
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	17	CD24	CD24	0.5525641506203075	6.266078347112916	5.565540317814568e-97
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	18	CD19	CD19	0.6048872983117569	6.079233773058313	2.7672186027555155e-96
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	19	RALGPS2	RALGPS2	4.584617622722006	5.0902373600544255	6.665143799485117e-93
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	20	ANGPTL1	ANGPTL1	2.7168398051302636	5.1353318479605665	5.202436405166617e-91
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	21	FAM129C	FAM129C	2.4774217656936313	5.165077667043566	7.597406434857276e-91
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	22	FCRL5	FCRL5	0.5565280254454172	6.162719218180232	3.743464593154118e-90
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	23	CD79B	CD79B	5.426544635575329	4.909577453551031	5.587887498319133e-88
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	24	IGLL5	IGLL5	2.914240771420732	5.939409891141479	4.599225078728039e-86
pbmc8k	Cluster 1	C1 VPREB3/OSBPL10	25	TCL1A	TCL1A	3.5849283918293118	5.030159381538768	1.0991208487964788e-84
