gene	C1 VPREB3/OSBPL10	C10 BNC2/SPON2	C11	C12 LYPD2/MEG3	C13 FAAH2	C14	C2 FCAR/CLEC4E	C3 LOC101060038/AK5	C4 TARP/GZMK	C5 LOC101060038/AK5	C6 LMNA/AQP3	C7 PF4/PPBP	C8 FCER1A/FLT3	C9 LEF1/C14orf64
ANKRD55	0.011156678221332305	0.012696482645117605	0.048809398144206345	0.00815019296613051	0.0879386322153664	0.08040886905723506	0.009236307683585594	0.17919700664119703	0.008921830115123753	0.18160930656666346	0.07703744785620939	0.015992731467456743	0.013579324235167096	0.27481418220369724
BANK1	2.5489060398008694	0.07565451118397995	0.1574134366238556	0.061922812427124795	0.04384334946957042	0.14096590910605725	0.11344300420522757	0.05658917553772903	0.058145209933509696	0.05696862928906555	0.04080931135024741	0.10466104927616711	0.2841208000968633	0.0346893168051555
BNC2	0.008445341566606196	0.9905045148732949	0.005485048381394298	0.010718981424359529	0.012899924709997694	0.05674381144161401	0.00923675908714995	0.011906183051548783	0.03857025773335315	0.009282749178018523	0.010627852890558011	0.008132739924099292	0.01970241208092038	0.0
C10orf11	0.022730751871479337	0.052895719107827754	0.08543178481349743	1.205079839176644	0.01688570242291973	1.2770758916825715	1.7436532172962418	0.019134265470696903	0.047381717564787144	0.02085614829466378	0.029261847227766955	1.3424213051358787	1.183656822110774	0.020980181705779827
CA6	0.003816434599095996	0.0	0.017943120821605808	0.0	0.017022781714868037	0.0281072046820017	0.007153464512673932	0.13565361211243618	0.008200029993754222	0.16214966770691244	0.021934891294195874	0.011186929479488026	0.008588217918469719	0.2048604992045707
CCL5	0.14688136520308437	2.3386320147041917	0.5788026715276954	0.17495281156654335	1.0891005382132797	0.6682774698456084	0.18715033416297244	0.11842894696306702	3.1816442430208505	0.15019444218771905	0.8181323666843114	0.4185432915280643	0.23000695907730392	0.19076097209409312
CCNL2	0.17754845301997613	0.21277617552132957	0.25409912929975126	0.11998084102100202	0.19361559369764966	0.16239656329905897	0.09482345883406607	0.17086675747027252	0.21705775439187153	0.17110783452229542	0.20489796473423952	0.05082881546399769	0.1721371537354655	0.1472072982630636
CD14	0.022910052297125838	0.013328024925511255	0.02430094166077032	0.26356648290838225	0.0289234931568681	1.0838777347322102	1.5430544019360042	0.022724377484615945	0.02528597156289044	0.01801741847782449	0.027049211604023012	1.4450443292985637	0.42995941547574773	0.013325928940849543
CD79A	2.4792596099619995	0.054773782149478076	0.12523660380930182	0.07260287438259243	0.04686951581227965	0.11508534536370511	0.07794605156991118	0.08813790219205547	0.06088997348648745	0.09376595883843504	0.06637751464498652	0.06982440899333653	0.10486353629415428	0.10314627977272173
CDKN1C	0.0016306437069561802	0.005916308465207109	0.0	0.7562850303061897	0.0	0.004190299877904658	0.009639079913829736	0.00409362787141921	0.003877318910899065	0.0017379663734801514	0.0012990806786346166	0.028347035230805225	0.003601462779848391	0.0
