contig	sample	GECCO	antiSMASH
ERZ1664501.1555-NODE-1555-length-1659-cov-3.309227	ERZ1664501	0	1
ERZ1664501.1769-NODE-1769-length-1568-cov-2.917383	ERZ1664501	0	1
ERZ1664501.1785-NODE-1785-length-1564-cov-1.431412	ERZ1664501	0	1
ERZ1664501.1800-NODE-1800-length-1558-cov-2.355955	ERZ1664501	0	1
ERZ1664501.2146-NODE-2146-length-1444-cov-1.557955	ERZ1664501	0	1
ERZ1664501.2734-NODE-2734-length-1295-cov-1.580645	ERZ1664501	0	1
ERZ1664501.581-NODE-581-length-2468-cov-4.310816	ERZ1664501	0	1
ERZ1664503.1225-NODE-1225-length-1856-cov-1.716269	ERZ1664503	0	1
ERZ1664503.1459-NODE-1459-length-1729-cov-3.277180	ERZ1664503	0	1
ERZ1664503.1478-NODE-1478-length-1719-cov-25.434495	ERZ1664503	0	1
ERZ1664503.1506-NODE-1506-length-1707-cov-1.569007	ERZ1664503	0	1
ERZ1664503.2010-NODE-2010-length-1491-cov-3.007660	ERZ1664503	0	1
ERZ1664503.2305-NODE-2305-length-1403-cov-2.109792	ERZ1664503	0	1
ERZ1664503.232-NODE-232-length-3593-cov-4.381006	ERZ1664503	0	1
ERZ1664504.48-NODE-48-length-9582-cov-5.239425	ERZ1664504	1	1
ERZ1664510.123-NODE-123-length-8863-cov-8.649410	ERZ1664510	1	1
ERZ1664510.210-NODE-210-length-5173-cov-7.860688	ERZ1664510	1	1
ERZ1664511.16-NODE-16-length-49668-cov-9.810473	ERZ1664511	1	1
ERZ1664515.9-NODE-9-length-49063-cov-10.926196	ERZ1664515	1	1
ERZ1664516.158-NODE-158-length-6232-cov-9.863850	ERZ1664516	1	1
ERZ1664517.38-NODE-38-length-19981-cov-8.613771	ERZ1664517	1	1
ERZ1664518.217-NODE-217-length-4457-cov-6.415947	ERZ1664518	1	1
ERZ1664523.16-NODE-16-length-15072-cov-6.654591	ERZ1664523	1	1
ERZ1664524.54-NODE-54-length-9607-cov-5.345582	ERZ1664524	1	1
ERZ1664528.138-NODE-138-length-5805-cov-4.599304	ERZ1664528	1	1
