sample	gene_id	contig	hmmer	dbcan_sub	diamond	n_tools	family	cazy_class	substrate	ec_number	genes
ERZ1664501	ERZ1664501.10-NODE-10-length-7973-cov-4.180475_2	ERZ1664501.10-NODE-10-length-7973-cov-4.180475			GH105	1	GH105	Glycoside hydrolase	unassigned		1
ERZ1664501	ERZ1664501.10010-NODE-10010-length-709-cov-2.643731_1	ERZ1664501.10010-NODE-10010-length-709-cov-2.643731	GH171	GH171	GH171	3	GH171	Glycoside hydrolase	peptidoglycan		1
ERZ1664501	ERZ1664501.10082-NODE-10082-length-707-cov-2.946319_1	ERZ1664501.10082-NODE-10082-length-707-cov-2.946319	PL11_1	PL11	PL11_1	3	PL11_1	Polysaccharide lyase	pectin		1
ERZ1664501	ERZ1664501.10429-NODE-10429-length-697-cov-1.875389_1	ERZ1664501.10429-NODE-10429-length-697-cov-1.875389	GH92	GH92	GH92	3	GH92	Glycoside hydrolase	host glycan		1
ERZ1664501	ERZ1664501.10549-NODE-10549-length-693-cov-1.733542_1	ERZ1664501.10549-NODE-10549-length-693-cov-1.733542	GH2_1	GH2	GH2_10	3	GH2_1	Glycoside hydrolase	beta-galactan	3.2.1.23:11	1
ERZ1664501	ERZ1664501.10606-NODE-10606-length-692-cov-1.430141_1	ERZ1664501.10606-NODE-10606-length-692-cov-1.430141	PL8_2	PL8	PL8_2	3	PL8_2	Polysaccharide lyase	host glycan	4.2.2.5:2	1
ERZ1664501	ERZ1664501.10634-NODE-10634-length-691-cov-2.062893_2	ERZ1664501.10634-NODE-10634-length-691-cov-2.062893	GH154	GH154	GH154	3	GH154	Glycoside hydrolase	arabinogalactan		1
ERZ1664501	ERZ1664501.10800-NODE-10800-length-686-cov-1.602219_1	ERZ1664501.10800-NODE-10800-length-686-cov-1.602219	CE20	CE20	CE20	3	CE20	Carbohydrate esterase	xyloglucan		1
ERZ1664501	ERZ1664501.1092-NODE-1092-length-1920-cov-2.699196_1	ERZ1664501.1092-NODE-1092-length-1920-cov-2.699196	GH97	GH97	GH97	3	GH97	Glycoside hydrolase	alpha-glucan	3.2.1.3:2;3.2.1.20:2	1
ERZ1664501	ERZ1664501.11613-NODE-11613-length-662-cov-1.421746_1	ERZ1664501.11613-NODE-11613-length-662-cov-1.421746	CBM67	CBM67	GH78	3	CBM67	Carbohydrate-binding module	rhamnose		1
ERZ1664501	ERZ1664501.1395-NODE-1395-length-1732-cov-2.511628_1	ERZ1664501.1395-NODE-1395-length-1732-cov-2.511628	CE11	CE11	CE11	3	CE11	Carbohydrate esterase	exo-polysaccharide		1
