sample	group	bin	bin_label	signal
EZH2_IP_NTKO_R1	genes	1	-3.0Kb	0.085442623567293
EZH2_IP_NTKO_R1	genes	2		0.0854682944757689
EZH2_IP_NTKO_R1	genes	3		0.08544401043589703
EZH2_IP_NTKO_R1	genes	4		0.08542907262295828
EZH2_IP_NTKO_R1	genes	5		0.08548707410748037
EZH2_IP_NTKO_R1	genes	6		0.08548320737630218
EZH2_IP_NTKO_R1	genes	7		0.08545882571628519
EZH2_IP_NTKO_R1	genes	8		0.08559602844787757
EZH2_IP_NTKO_R1	genes	9		0.08572303126218077
EZH2_IP_NTKO_R1	genes	10		0.08567257006664154
EZH2_IP_NTKO_R1	genes	11		0.08576815753959333
EZH2_IP_NTKO_R1	genes	12		0.08580850587560519
EZH2_IP_NTKO_R1	genes	13		0.08578296583195719
EZH2_IP_NTKO_R1	genes	14		0.08579772817863962
EZH2_IP_NTKO_R1	genes	15		0.08579380486455232
EZH2_IP_NTKO_R1	genes	16		0.08582377373924634
EZH2_IP_NTKO_R1	genes	17		0.08597434926622179
EZH2_IP_NTKO_R1	genes	18		0.08592447873061138
EZH2_IP_NTKO_R1	genes	19		0.08595745060805292
EZH2_IP_NTKO_R1	genes	20		0.08588919694516549
EZH2_IP_NTKO_R1	genes	21		0.08589649880082066
EZH2_IP_NTKO_R1	genes	22		0.08595210307863636
EZH2_IP_NTKO_R1	genes	23		0.08605286040651634
EZH2_IP_NTKO_R1	genes	24		0.0860418394343203
EZH2_IP_NTKO_R2	genes	1	-3.0Kb	0.1075820940761526
EZH2_IP_NTKO_R2	genes	2		0.10759301256103816
EZH2_IP_NTKO_R2	genes	3		0.10777063961934029
EZH2_IP_NTKO_R2	genes	4		0.10787011211015497
EZH2_IP_NTKO_R2	genes	5		0.10790175776100058
EZH2_IP_NTKO_R2	genes	6		0.10797079502004263
EZH2_IP_NTKO_R2	genes	7		0.10786745354735779
EZH2_IP_NTKO_R2	genes	8		0.10780257919667008
EZH2_IP_NTKO_R2	genes	9		0.10777921272337343
EZH2_IP_NTKO_R2	genes	10		0.1078800534927941
EZH2_IP_NTKO_R2	genes	11		0.10783555973964289
EZH2_IP_NTKO_R2	genes	12		0.10782229223163795
EZH2_IP_NTKO_R2	genes	13		0.10775271060094531
EZH2_IP_NTKO_R2	genes	14		0.10770177906298822
EZH2_IP_NTKO_R2	genes	15		0.10763650996896176
EZH2_IP_NTKO_R2	genes	16		0.10760734294164771
EZH2_IP_NTKO_R2	genes	17		0.10747750345661168
EZH2_IP_NTKO_R2	genes	18		0.10736277883475095
EZH2_IP_NTKO_R2	genes	19		0.10741194939082205
EZH2_IP_NTKO_R2	genes	20		0.10744050485336482
EZH2_IP_NTKO_R2	genes	21		0.10748032409626482
EZH2_IP_NTKO_R2	genes	22		0.10758389641077516
EZH2_IP_NTKO_R2	genes	23		0.10750827641344868
EZH2_IP_NTKO_R2	genes	24		0.10738590001875252
