sample_id	dim_1	dim_2	dim_3	group	Lab_ID	Sample_Type	Source	Source_Name_s	Source_Lab_ID_s	Extract_Name_s	Extract_Lab_ID_s	Condition_genotype	Condition_treatment	Condition_time	batch
Sample1	-15.311774965920698	-10.538032815791146	-4.074700854533393	WT	1_EV1_PBS_1H	RNA	Mus musculus 1	WT ; Control ; 1H	1_EV1_PBS_1H	WT ; Control ; 1H	1_EV1_PBS_1H	WT	Control	1H	b1
Sample2	-14.81022832661686	-10.602715641749613	-3.980836895889353	WT	3_EV2_PBS_1H	RNA	Mus musculus 2	WT ; Control ; 1H	3_EV2_PBS_1H	WT ; Control ; 1H	3_EV2_PBS_1H	WT	Control	1H	b1
Sample3	-15.163531845660463	-11.005092549033526	-4.102733140198608	WT	5_EV3_PBS_1H	RNA	Mus musculus 3	WT ; Control ; 1H	5_EV3_PBS_1H	WT ; Control ; 1H	5_EV3_PBS_1H	WT	Control	1H	b1
Sample4	11.934214449592817	-13.795727401122056	1.3645376924443067	WT	13_EV1_PBS_16H	RNA	Mus musculus 4	WT ; Control ; 16H	13_EV1_PBS_16H	WT ; Control ; 16H	13_EV1_PBS_16H	WT	Control	16H	b2
Sample5	13.11335686529665	-13.54710390138847	1.5692589994239343	WT	15_EV2_PBS_16H	RNA	Mus musculus 5	WT ; Control ; 16H	15_EV2_PBS_16H	WT ; Control ; 16H	15_EV2_PBS_16H	WT	Control	16H	b2
Sample6	12.037516331377685	-13.571862882542034	1.667292603304368	WT	17_EV3_PBS_16H	RNA	Mus musculus 6	WT ; Control ; 16H	17_EV3_PBS_16H	WT ; Control ; 16H	17_EV3_PBS_16H	WT	Control	16H	b2
Sample7	-16.52344596078702	-10.53080063332138	2.8533027951537604	WT	2_EV1_Treated_1H	RNA	Mus musculus 7	WT ; Treated ; 1H	2_EV1_Treated_1H	WT ; Treated ; 1H	2_EV1_Treated_1H	WT	Treated	1H	b1
Sample8	-16.7401180317373	-10.758372614958807	2.831406483450493	WT	4_EV2_Treated_1H	RNA	Mus musculus 8	WT ; Treated ; 1H	4_EV2_Treated_1H	WT ; Treated ; 1H	4_EV2_Treated_1H	WT	Treated	1H	b3
Sample9	-15.867014634205267	-10.839562763263437	3.058300292435296	WT	6_EV3_Treated_1H	RNA	Mus musculus 9	WT ; Treated ; 1H	6_EV3_Treated_1H	WT ; Treated ; 1H	6_EV3_Treated_1H	WT	Treated	1H	b3
Sample10	12.817404439182692	-15.121696593894018	-0.6274505863485018	WT	14_EV1_Treated_16H	RNA	Mus musculus 10	WT ; Treated ; 16H	14_EV1_Treated_16H	WT ; Treated ; 16H	14_EV1_Treated_16H	WT	Treated	16H	b1
Sample11	12.890615884722466	-14.967066798083835	-0.4442625358179463	WT	16_EV2_Treated_16H	RNA	Mus musculus 11	WT ; Treated ; 16H	16_EV2_Treated_16H	WT ; Treated ; 16H	16_EV2_Treated_16H	WT	Treated	16H	b1
Sample12	13.343253874482537	-15.017837911419852	-0.5141041407684971	WT	18_EV3_Treated_16H	RNA	Mus musculus 12	WT ; Treated ; 16H	18_EV3_Treated_16H	WT ; Treated ; 16H	18_EV3_Treated_16H	WT	Treated	16H	b1
Sample13	-16.235642831113132	13.314659430496269	-3.4907808126201942	KO	7_Cre1_PBS_1H	RNA	Mus musculus 13	KO ; Control ; 1H	7_Cre1_PBS_1H	KO ; Control ; 1H	7_Cre1_PBS_1H	KO	Control	1H	b1
Sample14	-15.633133712451157	13.518819026855175	-3.813890359663231	KO	9_Cre2_PBS_1H	RNA	Mus musculus 14	KO ; Control ; 1H	9_Cre2_PBS_1H	KO ; Control ; 1H	9_Cre2_PBS_1H	KO	Control	1H	b2
Sample15	-15.842174428425981	13.210483048021263	-3.7710433580017404	KO	11_Cre3_PBS_1H	RNA	Mus musculus 15	KO ; Control ; 1H	11_Cre3_PBS_1H	KO ; Control ; 1H	11_Cre3_PBS_1H	KO	Control	1H	b1
Sample16	18.02025686506373	11.293474710138106	0.5868847858360574	KO	19_ Cre1_PBS_16H	RNA	Mus musculus 16	KO ; Control ; 16H	19_ Cre1_PBS_16H	KO ; Control ; 16H	19_ Cre1_PBS_16H	KO	Control	16H	b3
Sample17	18.28185625235686	11.1886274658814	0.6013364727742713	KO	21_Cre2_PBS_16H	RNA	Mus musculus 17	KO ; Control ; 16H	21_Cre2_PBS_16H	KO ; Control ; 16H	21_Cre2_PBS_16H	KO	Control	16H	b3
Sample18	17.465438282339242	11.406844484446053	0.19587937059467533	KO	23_Cre3_PBS_16H	RNA	Mus musculus 18	KO ; Control ; 16H	23_Cre3_PBS_16H	KO ; Control ; 16H	23_Cre3_PBS_16H	KO	Control	16H	b1
Sample19	-17.126267552595884	13.15027680559057	4.09573450237083	KO	8_Cre1_Treated_1H	RNA	Mus musculus 19	KO ; Treated ; 1H	8_Cre1_Treated_1H	KO ; Treated ; 1H	8_Cre1_Treated_1H	KO	Treated	1H	b1
Sample20	-17.186787487273786	13.162724496988044	4.4740127642501735	KO	10_Cre2_Treated_1H	RNA	Mus musculus 20	KO ; Treated ; 1H	10_Cre2_Treated_1H	KO ; Treated ; 1H	10_Cre2_Treated_1H	KO	Treated	1H	b1
Sample21	-17.185750651667444	13.032400477455086	4.2451934931907624	KO	12_Cre3_Treated_1H	RNA	Mus musculus 21	KO ; Treated ; 1H	12_Cre3_Treated_1H	KO ; Treated ; 1H	12_Cre3_Treated_1H	KO	Treated	1H	b3
Sample22	21.552205701171037	12.437425606604362	-0.926345365293299	KO	20_Cre1_Treated_16H	RNA	Mus musculus 22	KO ; Treated ; 16H	20_Cre1_Treated_16H	KO ; Treated ; 16H	20_Cre1_Treated_16H	KO	Treated	16H	b3
Sample23	21.321475987515413	12.392772553450506	-0.8436331398620582	KO	22_Cre2_Treated_16H	RNA	Mus musculus 23	KO ; Treated ; 16H	22_Cre2_Treated_16H	KO ; Treated ; 16H	22_Cre2_Treated_16H	KO	Treated	16H	b3
Sample24	20.848275495353953	12.18736440064125	-0.9533590662320964	KO	24_Cre3_Treated_16H	RNA	Mus musculus 24	KO ; Treated ; 16H	24_Cre3_Treated_16H	KO ; Treated ; 16H	24_Cre3_Treated_16H	KO	Treated	16H	b2
