clone	subject_id	n_samples	total_sequences	SRR1383451	SRR1383452	SRR1383453	SRR1383456	SRR1383463	SRR1383464	SRR1383465	SRR1383466	SRR1383467	SRR1383468
M5:24369	M5	6	299	0	0	0	0	1	1	1	1	1	1
M5:26299	M5	6	276	0	0	0	0	1	1	1	1	1	1
M5:15275	M5	6	210	0	0	0	0	1	1	1	1	1	1
M5:6942	M5	6	194	0	0	0	0	1	1	1	1	1	1
M5:3268	M5	6	131	0	0	0	0	1	1	1	1	1	1
M5:22663	M5	6	95	0	0	0	0	1	1	1	1	1	1
M5:12562	M5	6	90	0	0	0	0	1	1	1	1	1	1
M5:20762	M5	6	69	0	0	0	0	1	1	1	1	1	1
M5:29024	M5	6	13	0	0	0	0	1	1	1	1	1	1
M5:5442	M5	6	9	0	0	0	0	1	1	1	1	1	1
M5:100	M5	5	345	0	0	0	0	1	1	1	0	1	1
M5:19010	M5	5	325	0	0	0	0	1	1	1	1	0	1
M5:6125	M5	5	279	0	0	0	0	1	1	1	1	0	1
M5:6245	M5	5	268	0	0	0	0	1	1	1	0	1	1
M5:8485	M5	5	240	0	0	0	0	1	1	1	0	1	1
M5:19215	M5	5	232	0	0	0	0	1	1	1	1	1	0
M5:28905	M5	5	230	0	0	0	0	1	1	1	0	1	1
M5:2103	M5	5	217	0	0	0	0	1	1	1	1	1	0
M5:1403	M5	5	206	0	0	0	0	1	1	1	1	0	1
M5:976	M5	5	202	0	0	0	0	1	1	1	0	1	1
M5:19087	M5	5	179	0	0	0	0	1	1	1	0	1	1
M5:27112	M5	5	177	0	0	0	0	1	1	1	1	1	0
M5:144	M5	5	169	0	0	0	0	1	1	1	0	1	1
M5:2191	M5	5	164	0	0	0	0	1	1	1	1	0	1
M5:6986	M5	5	159	0	0	0	0	1	1	1	1	0	1
M5:1009	M5	5	142	0	0	0	0	1	1	1	1	1	0
M5:221	M5	5	138	0	0	0	0	1	1	1	0	1	1
M5:6713	M5	5	130	0	0	0	0	1	1	1	1	1	0
M5:25723	M5	5	115	0	0	0	0	1	1	1	0	1	1
M5:7198	M5	5	108	0	0	0	0	1	1	1	1	1	0
M5:2755	M5	5	106	0	0	0	0	1	1	1	0	1	1
M5:27666	M5	5	99	0	0	0	0	1	1	1	1	0	1
M5:3252	M5	5	85	0	0	0	0	1	1	1	1	0	1
M5:21538	M5	5	83	0	0	0	0	1	1	1	1	1	0
M5:133	M5	5	81	0	0	0	0	1	1	1	1	0	1
M5:18081	M5	5	80	0	0	0	0	1	1	1	1	0	1
M5:24525	M5	5	78	0	0	0	0	1	1	1	1	0	1
M5:7714	M5	5	76	0	0	0	0	1	1	1	1	1	0
M5:27946	M5	5	74	0	0	0	0	1	1	1	0	1	1
M5:14615	M5	5	74	0	0	0	0	1	1	1	1	1	0
M5:5123	M5	5	74	0	0	0	0	1	1	1	0	1	1
M5:24459	M5	5	63	0	0	0	0	1	1	1	1	0	1
M5:3404	M5	5	62	0	0	0	0	1	1	1	1	0	1
M5:13930	M5	5	49	0	0	0	0	1	1	1	1	0	1
M5:13146	M5	5	46	0	0	0	0	1	1	1	1	0	1
M5:28073	M5	5	44	0	0	0	0	1	1	1	1	1	0
M5:24012	M5	5	41	0	0	0	0	1	1	1	1	0	1
M5:21265	M5	5	37	0	0	0	0	1	1	1	0	1	1
M5:24782	M5	5	31	0	0	0	0	1	1	1	0	1	1
M5:8443	M5	5	28	0	0	0	0	1	1	1	1	1	0
