sample_id	subject_id	sequences	quality_filtered	primers_masked	paired	consensus	assembled	unique	representative	igblast_assigned	annotated	quality_pass	productive	junction_mod3	collapsed	retention
SRR1383451	M4	1293168	1124564	1097325	1007776	499411	492430	271208	59111	59111	57931	57820	57493	57489	13436	0.010389987998465784
SRR1383452	M4	1360994	980449	958341	879930	482008	474750	272357	53851	53851	52797	52712	52433	52432	12456	0.009152134395890063
SRR1383453	M4	1059990	806828	794199	734931	494069	488042	279442	51421	51421	50154	50036	49848	49845	12329	0.011631241804167964
SRR1383456	M4	63073	50989	48661	43936	5481	1630	1149	508	508	62	58	58	58	27	0.0004280754046898039
SRR1383463	M5	1852661	1430789	1395655	1290122	989816	980725	576656	103422	103422	102425	102384	101634	101631	33482	0.018072383452774145
SRR1383464	M5	1648098	980319	949025	883569	716238	711194	461504	71877	71877	71478	71460	71135	71135	25056	0.015202979434475378
SRR1383465	M5	2123400	1302618	1265261	1179417	988171	980206	598439	98677	98677	97764	97724	97242	97241	32273	0.015198737873222191
SRR1383466	M5	264734	134551	127495	118390	10415	6245	4371	1456	1456	979	973	960	960	494	0.0018660240090052657
SRR1383467	M5	265299	228387	221589	210703	6413	5074	3264	1256	1256	1094	1091	1080	1080	604	0.0022766765046230856
SRR1383468	M5	461154	356602	345897	324819	10035	8091	4722	1739	1739	1385	1381	1368	1367	585	0.0012685567077375453
