sample_id	subject_id	locus	rank	taxon	v_family	seq_count	locus_count	seq_freq
SRR1383451	M4	IGH	V family	IGHV1	IGHV1	3289	13436	0.244790116105984
SRR1383451	M4	IGH	V family	IGHV2	IGHV2	1462	13436	0.108812146472164
SRR1383451	M4	IGH	V family	IGHV3	IGHV3	5365	13436	0.399300387019946
SRR1383451	M4	IGH	V family	IGHV4	IGHV4	1940	13436	0.144388210777017
SRR1383451	M4	IGH	V family	IGHV5	IGHV5	998	13436	0.0742780589461149
SRR1383451	M4	IGH	V family	IGHV6	IGHV6	88	13436	0.00654956832390592
SRR1383451	M4	IGH	V family	IGHV7	IGHV7	294	13436	0.0218815123548675
SRR1383452	M4	IGH	V family	IGHV1	IGHV1	3058	12456	0.245504174694926
SRR1383452	M4	IGH	V family	IGHV2	IGHV2	1239	12456	0.0994701348747592
SRR1383452	M4	IGH	V family	IGHV3	IGHV3	5070	12456	0.407032755298651
SRR1383452	M4	IGH	V family	IGHV4	IGHV4	1821	12456	0.146194605009634
SRR1383452	M4	IGH	V family	IGHV5	IGHV5	948	12456	0.0761078998073218
SRR1383452	M4	IGH	V family	IGHV6	IGHV6	85	12456	0.00682402055234425
SRR1383452	M4	IGH	V family	IGHV7	IGHV7	235	12456	0.0188664097623635
SRR1383453	M4	IGH	V family	IGHV1	IGHV1	3205	12329	0.259956200827318
SRR1383453	M4	IGH	V family	IGHV2	IGHV2	1314	12329	0.106577986860248
SRR1383453	M4	IGH	V family	IGHV3	IGHV3	5034	12329	0.408305620893828
SRR1383453	M4	IGH	V family	IGHV4	IGHV4	1563	12329	0.126774272041528
SRR1383453	M4	IGH	V family	IGHV5	IGHV5	861	12329	0.0698353475545462
SRR1383453	M4	IGH	V family	IGHV6	IGHV6	104	12329	0.00843539622029362
SRR1383453	M4	IGH	V family	IGHV7	IGHV7	248	12329	0.0201151756022386
SRR1383456	M4	IGH	V family	IGHV1	IGHV1	6	27	0.222222222222222
SRR1383456	M4	IGH	V family	IGHV2	IGHV2	2	27	0.0740740740740741
SRR1383456	M4	IGH	V family	IGHV3	IGHV3	12	27	0.444444444444444
SRR1383456	M4	IGH	V family	IGHV4	IGHV4	5	27	0.185185185185185
SRR1383451	M4	IGH	V gene	IGHV1-18	IGHV1	646	13436	0.0480797856504912
SRR1383451	M4	IGH	V gene	IGHV1-2	IGHV1	927	13436	0.0689937481393272
SRR1383451	M4	IGH	V gene	IGHV1-24	IGHV1	67	13436	0.0049866031557011
SRR1383451	M4	IGH	V gene	IGHV1-3	IGHV1	120	13436	0.00893122953259899
SRR1383451	M4	IGH	V gene	IGHV1-45	IGHV1	37	13436	0.00275379577255135
SRR1383451	M4	IGH	V gene	IGHV1-46	IGHV1	337	13436	0.0250818696040488
SRR1383451	M4	IGH	V gene	IGHV1-58	IGHV1	44	13436	0.00327478416195296
SRR1383451	M4	IGH	V gene	IGHV1-69	IGHV1	840	13436	0.0625186067281929
SRR1383451	M4	IGH	V gene	IGHV1-8	IGHV1	271	13436	0.0201696933611194
SRR1383451	M4	IGH	V gene	IGHV2-26	IGHV2	96	13436	0.00714498362607919
SRR1383451	M4	IGH	V gene	IGHV2-5	IGHV2	896	13436	0.0666865138434058
SRR1383451	M4	IGH	V gene	IGHV2-70	IGHV2	470	13436	0.0349806490026794
SRR1383451	M4	IGH	V gene	IGHV3-11	IGHV3	377	13436	0.0280589461149152
SRR1383451	M4	IGH	V gene	IGHV3-13	IGHV3	52	13436	0.00387019946412623
SRR1383451	M4	IGH	V gene	IGHV3-15	IGHV3	279	13436	0.0207651086632926
SRR1383451	M4	IGH	V gene	IGHV3-20	IGHV3	5	13436	0.000372134563858291
SRR1383451	M4	IGH	V gene	IGHV3-21	IGHV3	353	13436	0.0262727002083954
SRR1383451	M4	IGH	V gene	IGHV3-23	IGHV3	425	13436	0.0316314379279547
SRR1383451	M4	IGH	V gene	IGHV3-30	IGHV3	1007	13436	0.0749479011610598
SRR1383451	M4	IGH	V gene	IGHV3-30-3	IGHV3	35	13436	0.00260494194700804
SRR1383451	M4	IGH	V gene	IGHV3-30-5	IGHV3	3	13436	0.000223280738314975
SRR1383451	M4	IGH	V gene	IGHV3-33	IGHV3	552	13436	0.0410836558499553
SRR1383451	M4	IGH	V gene	IGHV3-43	IGHV3	12	13436	0.000893122953259899
SRR1383451	M4	IGH	V gene	IGHV3-48	IGHV3	239	13436	0.0177880321524263
SRR1383451	M4	IGH	V gene	IGHV3-49	IGHV3	171	13436	0.0127270020839536
