process	tool	version	screen	tools
AMPCOMBI2_CLUSTER	ampcombi	3.0.0	AMP	1
AMPCOMBI2_COMPLETE	ampcombi	3.0.0	AMP	1
AMPCOMBI2_PARSETABLES	ampcombi	3.0.0	AMP	1
AMPIR	ampir	1.1.0	AMP	1
AMP_DATABASE_DOWNLOAD	ampcombi	3.0.0	AMP	1
AMP_GUNZIP_HMMER_HMMSEARCH	gunzip	1.13	AMP	1
AMP_HMMER_HMMSEARCH	hmmer	3.4	AMP	1
GUNZIP_MACREL_ORFS	gunzip	1.13	AMP	1
GUNZIP_MACREL_PRED	gunzip	1.13	AMP	1
MACREL_CONTIGS	macrel	1.4.0	AMP	1
ABRICATE_RUN	abricate	1.0.1	ARG	1
AMRFINDERPLUS_RUN	amrfinderplus	4.0.23	ARG	1
AMRFINDERPLUS_RUN	amrfinderplus-database	null	ARG	1
AMRFINDERPLUS_UPDATE	amrfinderplus	4.0.23	ARG	1
ARGNORM_ABRICATE	argnorm	0.5.0	ARG	1
ARGNORM_AMRFINDERPLUS	argnorm	0.5.0	ARG	1
ARGNORM_DEEPARG	argnorm	0.5.0	ARG	1
DEEPARG_DOWNLOADDATA	deeparg	1.0.4	ARG	1
