drug_class	top_tool	n_genes_band	ERZ1664501	ERZ1664503	ERZ1664504	ERZ1664505	ERZ1664506	ERZ1664507	ERZ1664508	ERZ1664509	ERZ1664510	ERZ1664511	ERZ1664515	ERZ1664516	ERZ1664517	ERZ1664518	ERZ1664520	ERZ1664521	ERZ1664523	ERZ1664524	ERZ1664528
AMIKACIN	abricate	4-9 genes	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	0.0	1.0	2.0	3.0	1.0
AMINOGLYCOSIDE	deeparg	10+ genes	8.0	3.0	8.0	6.0	3.0	1.0	12.0	6.0	15.0	15.0	16.0	11.0	14.0	8.0	3.0	6.0	10.0	19.0	8.0
B1	fargene	1 gene	21.0	11.0	12.0	27.0	15.0	10.0	18.0	13.0	24.0	16.0	14.0	12.0	16.0	17.0	16.0	13.0	12.0	33.0	21.0
B3	fargene	1 gene	21.0	26.0	18.0	35.0	23.0	29.0	39.0	25.0	40.0	24.0	24.0	22.0	23.0	25.0	29.0	26.0	17.0	45.0	39.0
BACITRACIN	deeparg	1 gene	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0
BETA-LACTAM	amrfinderplus	4-9 genes	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
CARBAPENEM	rgi	1 gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLASS	fargene	1 gene	5.0	8.0	3.0	9.0	2.0	2.0	12.0	3.0	5.0	1.0	2.0	2.0	3.0	1.0	4.0	7.0	5.0	2.0	8.0
CLASSA	fargene	1 gene	10.0	10.0	3.0	7.0	4.0	6.0	8.0	8.0	11.0	5.0	4.0	6.0	3.0	12.0	13.0	12.0	6.0	12.0	8.0
DISINFECTING AGENTS AND ANTISEPTICS	rgi	2-3 genes	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
EFFLUX	fargene	1 gene	29.0	29.0	16.0	27.0	16.0	26.0	34.0	22.0	27.0	13.0	13.0	21.0	20.0	29.0	30.0	26.0	19.0	12.0	26.0
ENZYME	fargene	1 gene	52.0	55.0	33.0	56.0	26.0	40.0	66.0	25.0	76.0	30.0	28.0	39.0	32.0	41.0	45.0	63.0	49.0	72.0	62.0
FLUOROQUINOLONE	rgi	1 gene	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
FOSFOMYCIN	deeparg	1 gene	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
FOSMIDOMYCIN	deeparg	1 gene	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
GLYCOPEPTIDE	rgi	10+ genes	5.0	9.0	12.0	9.0	5.0	5.0	9.0	6.0	19.0	13.0	10.0	11.0	14.0	10.0	5.0	4.0	12.0	27.0	7.0
