sample	resolution	chromosome	distance	contacts	number_bins	scale_factor
HIC_ES_4	250000	all	0	0.24082372470858182	10912	1.0
HIC_ES_4	250000	all	250000	0.1028387047627779	10890	1.0
HIC_ES_4	250000	all	500000	0.04249082736739464	10869	1.0
HIC_ES_4	250000	all	750000	0.025662296049620396	10848	1.0
HIC_ES_4	250000	all	1000000	0.01767251532164654	10827	1.0
HIC_ES_4	250000	all	1250000	0.012760361736658917	10806	1.0
HIC_ES_4	250000	all	1500000	0.009764048264469073	10785	1.0
HIC_ES_4	250000	all	1750000	0.0077213721676777985	10764	1.0
HIC_ES_4	250000	all	2000000	0.006306449228292257	10743	1.0
HIC_ES_4	250000	all	2250000	0.0053717750623703065	10722	1.0
HIC_ES_4	250000	all	2500000	0.004561141377814814	10701	1.0
HIC_ES_4	250000	all	2750000	0.003998288180475948	10680	1.0
HIC_ES_4	250000	all	3000000	0.00362242637091232	10659	1.0
