sample	offset_bp	n_summits	peak_footprint	neighbour_summit_density
EZH2_IP_NTKO_R1	-2000	19520	0.006352	1.51127
EZH2_IP_NTKO_R1	-1750	19520	0.00876	1.584016
EZH2_IP_NTKO_R1	-1500	19520	0.012654	1.599385
EZH2_IP_NTKO_R1	-1250	19520	0.018135	1.6875
EZH2_IP_NTKO_R1	-1000	19520	0.026742	1.752049
EZH2_IP_NTKO_R1	-750	19520	0.042572	1.800205
EZH2_IP_NTKO_R1	-500	19520	0.073361	1.919057
EZH2_IP_NTKO_R1	-250	19520	0.157582	1.743852
EZH2_IP_NTKO_R1	-100	19520	0.395184	1.990779
EZH2_IP_NTKO_R1	-50	19520	0.838012	3.618852
EZH2_IP_NTKO_R1	0	19520	1.0	6.463115
EZH2_IP_NTKO_R1	50	19520	0.856455	3.828893
EZH2_IP_NTKO_R1	100	19520	0.406557	2.085041
EZH2_IP_NTKO_R1	250	19520	0.162756	1.681352
EZH2_IP_NTKO_R1	500	19520	0.074744	1.860656
EZH2_IP_NTKO_R1	750	19520	0.045441	1.831967
EZH2_IP_NTKO_R1	1000	19520	0.029713	1.788934
EZH2_IP_NTKO_R1	1250	19520	0.020082	1.73873
EZH2_IP_NTKO_R1	1500	19520	0.014088	1.603484
EZH2_IP_NTKO_R1	1750	19520	0.010605	1.495902
EZH2_IP_NTKO_R1	2000	19520	0.007941	1.478484
FOXA1_IP_E2_R1	-2000	24628	0.0	0.162417
FOXA1_IP_E2_R1	-1750	24628	0.0	0.144551
FOXA1_IP_E2_R1	-1500	24628	0.0	0.176222
FOXA1_IP_E2_R1	-1250	24628	0.0	0.216826
FOXA1_IP_E2_R1	-1000	24628	0.0	0.213578
FOXA1_IP_E2_R1	-750	24628	0.0	0.235504
FOXA1_IP_E2_R1	-500	24628	0.000487	0.261491
FOXA1_IP_E2_R1	-250	24628	0.017338	0.310216
FOXA1_IP_E2_R1	-100	24628	0.450544	1.119051
FOXA1_IP_E2_R1	-50	24628	0.895241	5.889232
FOXA1_IP_E2_R1	0	24628	1.0	22.062693
FOXA1_IP_E2_R1	50	24628	0.925857	6.412214
FOXA1_IP_E2_R1	100	24628	0.508608	1.182394
FOXA1_IP_E2_R1	250	24628	0.019815	0.315901
FOXA1_IP_E2_R1	500	24628	0.000487	0.251746
FOXA1_IP_E2_R1	750	24628	0.0	0.216014
FOXA1_IP_E2_R1	1000	24628	0.0	0.200585
FOXA1_IP_E2_R1	1250	24628	0.0	0.203833
FOXA1_IP_E2_R1	1500	24628	0.0	0.164041
FOXA1_IP_E2_R1	1750	24628	0.0	0.164041
FOXA1_IP_E2_R1	2000	24628	0.0	0.15186
