assembly_id	assembler	sample	contig_id	contig_length	mean_depth	read_sample	depth	depth_variance
FLYE-CAPES_S11	FLYE	CAPES_S11	contig_1	116020	15.9298	CAPES_S11	3.38047	2.33693
MEGAHIT-CAPES_S21	MEGAHIT	CAPES_S21	k119_20358	2288	18.9111	CAPES_S11	10.3059	23.8306
MEGAHIT-CAPES_S21	MEGAHIT	CAPES_S21	k119_3950	1142	5.77621	CAPES_S11	0.0	0.0
MEGAHIT-CAPES_S21	MEGAHIT	CAPES_S21	k119_8964	11871	330.186	CAPES_S11	0.205102	1.75929
MEGAHIT-CAPES_S7	MEGAHIT	CAPES_S7	k119_23886	2434	7.55823	CAPES_S11	0.0	0.0
METAMDBG-CAPES_S21	METAMDBG	CAPES_S21	ctg265	2815	18.5614	CAPES_S11	0.0	0.0
METAMDBG-CAPES_S7	METAMDBG	CAPES_S7	ctg9857	14609	125.477	CAPES_S11	0.176292	0.145247
SPAdes-CAPES_S11	SPAdes	CAPES_S11	NODE_14400_length_1458_cov_3.210264	1458	7.67278	CAPES_S11	7.67278	11.0635
SPAdes-CAPES_S11	SPAdes	CAPES_S11	NODE_18845_length_1195_cov_2.167544	1195	4.76842	CAPES_S11	4.76842	2.20112
SPAdes-CAPES_S11	SPAdes	CAPES_S11	NODE_23288_length_1026_cov_2.360453	1026	6.02854	CAPES_S11	5.40411	5.00451
SPAdes-CAPES_S11	SPAdes	CAPES_S11	NODE_5998_length_2853_cov_6.313081	2853	23.2808	CAPES_S11	14.498	32.0969
SPAdes-CAPES_S21	SPAdes	CAPES_S21	NODE_10440_length_1176_cov_5.645852	1176	13.347	CAPES_S11	0.0974659	0.0880517
SPAdes-CAPES_S21	SPAdes	CAPES_S21	NODE_3346_length_3168_cov_3.757469	3168	19.2469	CAPES_S11	10.9692	16.9685
SPAdes-CAPES_S21	SPAdes	CAPES_S21	NODE_7790_length_1493_cov_2.883866	1493	6.5175	CAPES_S11	0.0	0.0
SPAdes-CAPES_S7	SPAdes	CAPES_S7	NODE_3233_length_2750_cov_8.171429	2750	18.2046	CAPES_S11	0.0	0.0
