sample_id	clade_name	taxon	rank	relative_abundance	NCBI_tax_id	additional_species
sample_01	k__Bacteria	Bacteria	Kingdom	99.51	2	""
sample_01	k__Viruses	Viruses	Kingdom	0.49	10239	""
sample_01	p__Firmicutes	Firmicutes	Phylum	38.24	1239	""
sample_01	p__Bacteroidetes	Bacteroidetes	Phylum	28.17	976	""
sample_01	p__Proteobacteria	Proteobacteria	Phylum	18.62	1224	""
sample_01	p__Actinobacteria	Actinobacteria	Phylum	9.41	201174	""
sample_01	p__Verrucomicrobia	Verrucomicrobia	Phylum	3.07	74201	""
sample_01	p__Fusobacteria	Fusobacteria	Phylum	2.0	32066	""
sample_01	c__Clostridia	Clostridia	Class	22.15	186801	""
sample_01	c__Bacteroidia	Bacteroidia	Class	28.17	200643	""
sample_01	c__Gammaproteobacteria	Gammaproteobacteria	Class	9.84	1236	""
sample_01	c__Bacilli	Bacilli	Class	14.11	91061	""
sample_01	c__Actinobacteria	Actinobacteria	Class	9.41	1760	""
sample_01	c__Negativicutes	Negativicutes	Class	1.98	909932	""
sample_01	c__Erysipelotrichia	Erysipelotrichia	Class	1.58	526524	""
sample_01	c__Betaproteobacteria	Betaproteobacteria	Class	5.41	28216	""
sample_01	o__Clostridiales	Clostridiales	Order	22.15	186802	""
sample_01	o__Bacteroidales	Bacteroidales	Order	28.17	171549	""
sample_01	o__Lactobacillales	Lactobacillales	Order	12.38	186826	""
sample_01	o__Enterobacterales	Enterobacterales	Order	6.1	91347	""
sample_01	o__Actinomycetales	Actinomycetales	Order	5.62	85004	""
sample_01	o__Bifidobacteriales	Bifidobacteriales	Order	3.79	85004	""
sample_01	o__Verrucomicrobiales	Verrucomicrobiales	Order	3.07	48461	""
sample_01	o__Burkholderiales	Burkholderiales	Order	5.41	80840	""
sample_01	f__Lachnospiraceae	Lachnospiraceae	Family	12.44	186803	""
sample_01	f__Bacteroidaceae	Bacteroidaceae	Family	18.23	815	""
sample_01	f__Ruminococcaceae	Ruminococcaceae	Family	7.87	541000	""
sample_01	f__Lactobacillaceae	Lactobacillaceae	Family	7.82	33958	""
sample_01	f__Bifidobacteriaceae	Bifidobacteriaceae	Family	3.79	31953	""
sample_01	f__Enterobacteriaceae	Enterobacteriaceae	Family	5.44	543	""
sample_01	f__Akkermansiaceae	Akkermansiaceae	Family	3.07	1647988	""
sample_01	f__Streptococcaceae	Streptococcaceae	Family	4.56	1300	""
sample_01	f__Prevotellaceae	Prevotellaceae	Family	6.41	171552	""
sample_01	f__Veillonellaceae	Veillonellaceae	Family	1.98	31977	""
sample_01	g__Bacteroides	Bacteroides	Genus	18.23	816	""
sample_01	g__Faecalibacterium	Faecalibacterium	Genus	6.11	216851	""
sample_01	g__Lactobacillus	Lactobacillus	Genus	5.44	1578	""
sample_01	g__Bifidobacterium	Bifidobacterium	Genus	3.79	1678	""
sample_01	g__Akkermansia	Akkermansia	Genus	3.07	239934	""
sample_01	g__Prevotella	Prevotella	Genus	4.12	838	""
sample_01	g__Blautia	Blautia	Genus	4.01	572511	""
sample_01	g__Roseburia	Roseburia	Genus	3.25	841	""
sample_01	g__Streptococcus	Streptococcus	Genus	4.56	1301	""
sample_01	g__Escherichia	Escherichia	Genus	3.18	561	""
sample_01	g__Ruminococcus	Ruminococcus	Genus	2.87	1263	""
sample_01	s__Bacteroides_vulgatus	Bacteroides vulgatus	Species	10.14	821	""
sample_01	s__Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii	Species	6.11	853	""
sample_01	s__Lactobacillus_acidophilus	Lactobacillus acidophilus	Species	3.22	1579	""
sample_01	s__Bifidobacterium_longum	Bifidobacterium longum	Species	2.41	216816	""
sample_01	s__Akkermansia_muciniphila	Akkermansia muciniphila	Species	3.07	239935	""
sample_01	s__Prevotella_copri	Prevotella copri	Species	3.88	165179	""
sample_01	s__Streptococcus_thermophilus	Streptococcus thermophilus	Species	2.88	1308	""
sample_01	s__Escherichia_coli	Escherichia coli	Species	2.44	562	""
sample_01	s__Bacteroides_fragilis	Bacteroides fragilis	Species	4.89	817	""
sample_01	s__Ruminococcus_gnavus	Ruminococcus gnavus	Species	1.98	33038	""
