sample	length	length_class	length_window	peptides	fraction
PBMC007_B	8	8-mer	Class I range	466	0.12816281628162815
PBMC007_B	9	9-mer	Class I range	2572	0.7073707370737073
PBMC007_B	10	10-mer	Class I range	380	0.10451045104510451
PBMC007_B	11	11-mer	Class I range	186	0.05115511551155116
PBMC007_B	12	12-mer	Class I range	32	0.0088008800880088
PBMC009_A	8	8-mer	Class I range	689	0.1219037508846426
PBMC009_A	9	9-mer	Class I range	3893	0.6887827317763624
PBMC009_A	10	10-mer	Class I range	652	0.11535739561217269
PBMC009_A	11	11-mer	Class I range	340	0.060155697098372256
PBMC009_A	12	12-mer	Class I range	78	0.013800424628450107
