sample	score_cutoff	novel_reported	novel_false_positives	novel_true_positives	known_in_species	known_in_data	known_detected	known_detected_pct	signal_to_noise
c1	-10	521	734.0	0.0	2656	988	873	88.36032388663968	1.2
c1	-8	447	686.0	0.0	2656	988	871	88.15789473684211	1.2
c1	-6	277	576.0	0.0	2656	988	862	87.24696356275304	1.1
c1	-4	194	305.0	0.0	2656	988	859	86.94331983805668	1.7
c1	-2	104	132.0	0.0	2656	988	815	82.48987854251013	2.5
c1	0	34	77.0	0.0	2656	988	719	72.77327935222672	2.9
c1	2	18	3.0	15.0	2656	988	617	62.449392712550605	12.6
c1	4	6	1.0	5.0	2656	988	441	44.635627530364374	36.2
c1	6	3	1.0	2.0	2656	988	421	42.611336032388664	37.2
c1	8	2	1.0	1.0	2656	988	409	41.39676113360324	37.0
c1	10	1	1.0	0.0	2656	988	396	40.08097165991903	36.8
c2	-10	718	833.0	0.0	2656	1166	996	85.42024013722127	1.3
c2	-8	659	795.0	0.0	2656	1166	994	85.24871355060034	1.3
c2	-6	486	703.0	0.0	2656	1166	985	84.47684391080618	1.2
c2	-4	362	460.0	0.0	2656	1166	960	82.3327615780446	1.5
c2	-2	227	247.0	0.0	2656	1166	925	79.33104631217839	2.0
c2	0	90	151.0	0.0	2656	1166	826	70.84048027444254	2.2
c2	2	55	8.0	47.0	2656	1166	748	64.15094339622641	10.6
c2	4	18	2.0	16.0	2656	1166	559	47.94168096054889	31.9
c2	6	14	2.0	12.0	2656	1166	536	45.96912521440823	32.2
c2	8	9	2.0	7.0	2656	1166	510	43.739279588336196	31.9
c2	10	6	2.0	4.0	2656	1166	491	42.109777015437395	31.8
