mirna	variant_class	mean_share_pct	samples_fraction	class_reads	mirna_rank
hsa-miR-181a-5p	Reference	42.268119983239366	1.0	14005616	1
hsa-miR-181a-5p	3' trimmed	50.50094775663755	1.0	16411832	1
hsa-miR-181a-5p	3' extended	2.237053082918247	0.0	703647	1
hsa-miR-181a-5p	3' addition	7.2098001057121195	1.0	2384867	1
hsa-miR-181a-5p	5' shift	0.23476671713155725	0.0	76525	1
hsa-miR-181a-5p	Seed change	0.29091606354473215	0.0	101545	1
hsa-miR-181a-5p	Central change	1.1553877536983055	0.0	407314	1
hsa-miR-26a-5p	Reference	77.46695326066933	1.0	13364824	2
hsa-miR-26a-5p	3' trimmed	6.200923192321952	0.8571428571428571	989307	2
hsa-miR-26a-5p	3' extended	0.21801300722074207	0.0	34378	2
hsa-miR-26a-5p	3' addition	14.310650875435318	1.0	2265466	2
hsa-miR-26a-5p	5' shift	1.1333662508880755	0.0	185805	2
hsa-miR-26a-5p	Seed change	0.34395710629008375	0.0	54721	2
hsa-miR-26a-5p	Central change	1.1005266099110536	0.0	172391	2
