mirna	arm	expression_rank	total_reads	mean_cpm	median_cpm	mean_log2_cpm	sd_log2_cpm	samples_detected	detection_pct	max_isomirs	reference_pct
hsa-miR-181a-5p	5p	1	32785191	190833.055355246	171713.18735824368	17.46317029381954	0.4800639842556185	28	100.0	2703	42.71933630034365
hsa-miR-26a-5p	5p	2	16945379	101897.05254368465	95089.31783877086	16.568922831941652	0.4391788174510692	28	100.0	1235	78.87002114263717
hsa-miR-27b-3p	3p	3	9658995	57054.00545067489	53993.66283925582	15.735181011647189	0.42856798839182064	28	100.0	1197	19.295568534821687
hsa-let-7a-5p	5p	4	8212199	48676.479523826005	48001.91368433574	15.545139454041294	0.2728187735732819	28	100.0	1161	69.37288051592515
hsa-miR-143-3p	3p	5	6638541	40732.027953887016	39336.96959188636	15.224031649768131	0.5316851532984647	28	100.0	1135	21.003349983076102
hsa-miR-9-5p	5p	6	6569556	39663.66662115607	40524.151489633325	15.214856115536818	0.44857277749528796	28	100.0	1223	47.31261899586517
hsa-let-7f-5p	5p	7	5479836	33163.33966835716	31947.448563048114	14.946952044261135	0.4284114580471663	28	100.0	838	69.43337355351511
hsa-miR-127-3p	3p	8	5358017	32973.90963310556	36104.80398240502	14.877111311047036	0.7042065717010919	28	100.0	1260	49.86766559344623
hsa-miR-30a-5p	5p	9	3503968	20933.638993225362	21139.779336229123	14.307007781900893	0.3807186581430975	28	100.0	845	4.097383309436616
hsa-miR-101-3p	3p	10	2858315	17143.746446674984	17575.894019088657	14.05296613261611	0.200898058996142	28	100.0	1044	7.719687997998821
hsa-miR-181b-5p	5p	11	2789254	16200.951957771857	15292.747430868709	13.873898828297216	0.5711809725203085	28	100.0	1358	21.19806944795992
hsa-miR-92b-3p	3p	12	2573429	15740.147873930473	14496.110871981287	13.83560272447157	0.5669776610095234	28	100.0	811	51.1022064335173
hsa-miR-128-3p	3p	13	2448355	15060.014198489702	13933.461712688797	13.719547308663326	0.73843022635228	28	100.0	735	52.1323092443702
hsa-miR-92a-3p	3p	14	2420589	14162.92841148031	12596.617810632291	13.722932205800998	0.4547390541920905	28	100.0	775	34.35316776206122
hsa-miR-103a-3p	3p	15	2024322	12285.761551224032	12796.090081137128	13.536645424329294	0.3955088522020989	28	100.0	793	50.24892284923051
