mirna	c1	c2	c3	c4	c5	c6	c7	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cpc1	cpc2	cpc3	cpc4	cpc5	cpc6	cpc7	pc1	pc2	pc3	pc4	pc5	pc6	pc7
hsa-miR-211-5p	0.8266080045017985	1.6236696531787898	1.6542613978481127	1.9582659899643091	5.9813310921354095	7.0025915000294425	6.963327266521164	5.520388343330376	1.658780029366285	5.399359718483816	6.686791772549602	6.551854790233236	2.4363070923890775	7.690177834727541	5.390162966507239	1.128874090909371	5.275758839541791	6.2016264073049	5.73330067874956	2.3954579052856313	7.334193919933238	0.844205196555562	2.3560539867142563	5.24573630061405	6.279499802063647	5.3711241034308355	5.009087319740346	5.93127471252567
hsa-miR-34c-5p	10.844596978309639	8.297805474679048	6.755878334008224	7.215247032519561	7.3157968172418455	8.153912031805795	11.707126405606514	7.131829497796769	9.737318477036341	7.890233681434612	7.903994271095458	8.983208485259537	13.14714687577968	8.034977975534206	7.000689268269871	9.425135632365736	7.810483892545177	7.852959624268671	8.839922551897475	12.922750969390018	7.882917908435908	7.597842095742108	13.384590712535264	8.293664349497226	8.087988623673002	8.268235981247368	7.867284669208094	10.646917722024599
hsa-miR-4800-3p	6.009613092799582	4.514537439449582	8.283016549692363	2.8028201646872	5.779397616329505	2.111220529632164	3.3158982053002575	1.643208622582803	2.933278654450117	1.6136617202768795	2.5885280595356095	2.087873326081324	2.290843699367511	1.9791911865928336	0.5003484747609677	1.3124328730395605	0.741172263581643	1.4114546006858786	0.8244475972483886	1.4824821873157192	0.8022454922888782	4.123971733170199	2.4579088270347467	0.9361454496699959	1.258024011637491	1.7779245799334304	1.730260693271434	1.152156653807521
hsa-miR-34b-5p	7.850078464073983	5.319239378010751	4.470497658586557	4.6506649730914935	4.749917598000457	5.388719927354384	8.623334381092947	4.735243635290031	6.485800629764693	4.974818338876921	5.043066672945554	6.23438894097136	10.090957979007477	5.40965695262977	4.755600056421165	6.781944602333726	5.20922701103085	5.164347752066096	6.235202899776712	10.199716767176419	5.549018893583846	5.431275202565766	10.077291719141725	5.4062606047213535	5.431886531696878	5.8373917226473075	5.54913494406842	7.796137215495293
hsa-miR-412-5p	2.2831967814176695	4.923636978873271	2.404696094802558	4.4200621853256745	2.2744394138111175	2.05165050762863	1.7837375517411664	6.08519784313285	2.579863792105517	2.6473489345719123	5.036192790065596	1.3004425376380935	5.202397435475739	5.206805643375856	5.679897164183829	3.509087785249425	2.6096733124993667	5.164347752066096	1.2819007618597245	5.067015723110282	5.321055393539052	2.880137612765696	4.871646246168628	4.334968183744974	5.517656056541051	5.3711241034308355	3.1736747682260726	5.736638297997224
hsa-miR-6765-3p	6.149802286751204	6.486638023845611	6.12358014739355	5.8450406935724715	5.918636416102607	6.356090372743313	6.146369130192447	4.551482835365547	6.309860679959735	4.5784529637402	4.928949492854097	4.872115698023141	5.873386167013639	6.031882034983356	2.3040070002742232	3.3076617237132644	2.167349631077879	2.8911992306842196	2.212270326950383	4.260567296162994	3.603738821985107	3.1623315897556097	6.048015255908984	3.663497186130377	2.9411177917838223	4.043252279244127	6.33129378912453	2.5279684102117628
hsa-miR-34b-3p	5.37883445325225	3.0505932148220882	3.010147105032992	3.389896503114287	3.051786666713276	3.9218266432885547	5.74770318012874	2.4326603652817402	4.784177994362423	3.096657380563263	3.357006394786919	4.346580816976604	6.996230494050729	3.4882681100647828	2.675639271515261	4.993623703396446	3.1577059081966357	3.2512042815525186	4.483090029513321	7.253777303948712	3.7702818962387896	3.5365095615594497	7.511382901246856	3.517711710392518	2.992477868260839	3.3377065612202426	3.526018546433037	5.113434474400875
hsa-miR-653-5p	2.845607530383254	4.240434711406736	2.9541335707864627	2.4685985856591017	2.6279405521501342	1.7852296728982462	2.7443184425141443	4.815150782911742	1.498542908049303	6.044681542972332	5.724440850241531	2.514565075825039	3.8316375911956526	3.855447499101149	4.738898717827538	2.0410887959422905	6.026769125186949	6.166492462766019	3.277935695639668	3.808241758369888	4.17853166434436	3.778671893519067	2.9870579190229494	3.4116352706685524	6.188832611104241	4.0164321722531735	4.708190423741039	5.45642186410508
hsa-miR-489-3p	2.2831967814176695	3.4307429092858355	2.7717280752043387	2.7149606338302354	2.7148475943919785	2.642239451860946	3.0225300011444824	4.068266375862658	0.9969429376945916	5.630258187946469	6.435725731534057	3.382460763390196	4.095317759354486	4.043344414675371	4.3491143940462145	1.0275221421322394	5.632821480294232	6.289977660360091	2.885008038275137	3.9821173721761216	3.9887995253988486	3.4340806591104958	2.8057595764615066	2.6960951712609122	5.259159775501627	4.241555801958829	4.637608494968333	4.9114288378253
hsa-miR-34c-3p	5.469775202891071	4.6402828558602955	3.0640669158521345	4.02274845224823	3.9620644980039996	4.670575982879264	6.372363726226805	2.8818198206159433	6.034718891949455	3.6376075989862486	4.4282449361230904	5.402256919222049	7.659354729200506	4.401521158626399	2.951685136404205	5.705541217261272	3.618445727957156	4.324469769700771	5.007403697814224	7.186507477032252	3.8468580637197665	4.009905465951671	7.803890788511682	3.9459417069051064	3.6009161562401624	3.9891040121633177	3.480653159014687	4.893739875969184
hsa-miR-7-5p	11.270322215857426	8.556570443648615	8.99778116677444	8.436665775509606	8.300764680731847	8.023360509968006	8.335798042242255	10.36389624654764	5.932578840244641	9.758368066604374	9.12766391950943	7.035744167874551	9.362403326476466	8.822682131429008	10.305133871455567	6.3628430233011075	9.688670308705259	9.481887848917381	7.431964151734149	9.394381056707745	9.297090176405806	8.06865810497057	7.1209799506323765	7.298254656184841	10.240402060028604	8.884453502856458	9.65274990147855	10.221584114662464
hsa-miR-375-3p	7.854906881471381	6.14430925507743	5.080141982403768	5.5216258071559565	5.414248610843075	4.981129586714272	7.40754268193766	5.724553589669374	4.053141042934718	5.817585641219821	5.498038274803075	6.1176526185205695	8.757058984912257	6.127666198312203	5.259647911693756	3.9985891327524854	5.636721231349122	4.784547770325001	5.461327562062569	8.178199419995996	5.255147919105053	4.9018326536270305	8.631819691253888	4.0109585504133	5.556570064286229	5.328149393363915	6.715978412816756	6.100178098121637
