sample	rank	taxon	abundance	percent
c1	Clade	Primates	6242.0	100.0
c1	RNA type	Unknown	7479846.0	69.55155340734775
c1	RNA type	miRNA	2503702.0	23.28074179188761
c1	RNA type	tRNA	523815.0	4.870708160043651
c1	RNA type	rRNA	226437.0	2.105530661847798
c1	RNA type	Artifact	20591.0	0.1914659788731877
c1	Read QC	Adapter not detected	10754382.0	98.04028497586457
c1	Read QC	Shorter than 18 nt	117614.0	1.0722057368941642
c1	Read QC	Low base quality	96788.0	0.8823494555283585
c1	Read QC	Low complexity	557.0	0.0050777849188876276
c1	Read QC	Adapter removed, length kept	9.0	0.00008204679402152361
cc1	Clade	Primates	4471.0	99.97763864042933
cc1	Clade	Lophotrochozoa	1.0	0.022361359570661897
cc1	RNA type	miRNA	6380160.0	63.40011244791235
cc1	RNA type	Unknown	2365119.0	23.502358961639523
cc1	RNA type	rRNA	700611.0	6.96202229759823
cc1	RNA type	tRNA	614169.0	6.103041877009649
cc1	RNA type	Artifact	3267.0	0.03246441584025003
cc1	Read QC	Adapter not detected	10063326.0	96.39918603137417
cc1	Read QC	Shorter than 18 nt	269937.0	2.585795896878532
cc1	Read QC	Low base quality	105462.0	1.0102476017611655
cc1	Read QC	Low complexity	498.0	0.004770469986128278
