sample	length	reads	percent	length_class
c1	16	27146.0	0.24747136338980888	under 18 nt
c1	17	86559.0	0.7890987159676736	under 18 nt
c1	18	342754.0	3.1246518708948114	18 to 26 nt (miRNA)
c1	19	133089.0	1.2132806410589507	18 to 26 nt (miRNA)
c1	20	513127.0	4.677825030653594	18 to 26 nt (miRNA)
c1	21	571577.0	5.2106733762711555	18 to 26 nt (miRNA)
c1	22	1112419.0	10.141156950958807	18 to 26 nt (miRNA)
c1	23	326025.0	2.9721451134296926	18 to 26 nt (miRNA)
c1	24	150768.0	1.3744478934485636	18 to 26 nt (miRNA)
c1	25	36907.0	0.33645566966137463	18 to 26 nt (miRNA)
c1	26	32041.0	0.2920957030270709	26 to 40 nt
c1	27	41673.0	0.3799040052509948	26 to 40 nt
c1	28	39484.0	0.3599484016828709	26 to 40 nt
c1	29	54766.0	0.499263857931418	26 to 40 nt
c1	30	191454.0	1.7453541002885313	26 to 40 nt
c1	31	636659.0	5.803981092772133	26 to 40 nt
c1	32	1726.0	0.01573475183123886	26 to 40 nt
c1	33	7615.0	0.06942070405265581	26 to 40 nt
c1	34	20367.0	0.18567189487070793	26 to 40 nt
c1	35	2566063.0	23.393026934139215	26 to 40 nt
