sample	taxonomy	rel_abundance	habitat	Kingdom	Phylum
SRR10070130	Bacteria;Proteobacteria	0.6456070300095892	Riverwater	Bacteria	Proteobacteria
SRR10070130	Bacteria;	0.02343860531652335	Riverwater	Bacteria	Unclassified
SRR10070130	Bacteria;Bacteroidetes	0.22797226981906213	Riverwater	Bacteria	Bacteroidetes
SRR10070130	Bacteria;Acidobacteria	0.004464496250766353	Riverwater	Bacteria	Acidobacteria
SRR10070130	Bacteria;Actinobacteria	0.00925911370317388	Riverwater	Bacteria	Actinobacteria
SRR10070130	Bacteria;Planctomycetes	0.0018078065804159526	Riverwater	Bacteria	Planctomycetes
SRR10070130	Archaea;Thaumarchaeota	0.0018706868092999858	Riverwater	Archaea	Thaumarchaeota
SRR10070130	Bacteria;Firmicutes	0.012497445490701586	Riverwater	Bacteria	Firmicutes
SRR10070130	Bacteria;Chloroflexi	0.00018864068665209942	Riverwater	Bacteria	Chloroflexi
SRR10070130	Bacteria;Ignavibacteriae	0.00017292062943109114	Riverwater	Bacteria	Ignavibacteriae
SRR10070130	Archaea;	0.0006445223460613397	Riverwater	Archaea	Unclassified
SRR10070130	Bacteria;Gemmatimonadetes	0.00017292062943109114	Riverwater	Bacteria	Gemmatimonadetes
SRR10070130	Bacteria;Verrucomicrobia	0.00971499536258312	Riverwater	Bacteria	Verrucomicrobia
SRR10070130	Bacteria;Candidatus_Saccharibacteria	0.02628393567352585	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070130	Archaea;Crenarchaeota	0.00011004040054705799	Riverwater	Archaea	Crenarchaeota
SRR10070130	Bacteria;Parcubacteria	0.0014462452643327621	Riverwater	Bacteria	Parcubacteria
SRR10070130	Bacteria;Aminicenantes	0.00003144011444201657	Riverwater	Bacteria	Aminicenantes
SRR10070130	Bacteria;Latescibacteria	0.0008803232043764639	Riverwater	Bacteria	Latescibacteria
SRR10070130	Archaea;Woesearchaeota	0.003254051844748715	Riverwater	Archaea	Woesearchaeota
SRR10070130	Bacteria;Nitrospirae	0.003631333218052914	Riverwater	Bacteria	Nitrospirae
SRR10070130	Archaea;Pacearchaeota	0.0003458412588621823	Riverwater	Archaea	Pacearchaeota
SRR10070130	Archaea;Euryarchaeota	0.00018864068665209942	Riverwater	Archaea	Euryarchaeota
SRR10070130	Bacteria;Campilobacterota	0.022243880967726722	Riverwater	Bacteria	Campilobacterota
SRR10070130	Bacteria;Fusobacteria	0.003442692531400814	Riverwater	Bacteria	Fusobacteria
SRR10070130	Bacteria;Lentisphaerae	0.000330121201641174	Riverwater	Bacteria	Lentisphaerae
SRR10070131	Bacteria;Proteobacteria	0.6467545394220908	Riverwater	Bacteria	Proteobacteria
SRR10070131	Bacteria;	0.027100802316462568	Riverwater	Bacteria	Unclassified
SRR10070131	Bacteria;Bacteroidetes	0.22442239247149665	Riverwater	Bacteria	Bacteroidetes
SRR10070131	Bacteria;Acidobacteria	0.004795801411594378	Riverwater	Bacteria	Acidobacteria
SRR10070131	Bacteria;Actinobacteria	0.006334077336068046	Riverwater	Bacteria	Actinobacteria
