sample_id	rank	taxon	abundance	lineage	habitat
SRR10070130	Class	Betaproteobacteria	0.4237341423922783	Bacteria;Proteobacteria;Betaproteobacteria	Riverwater
SRR10070130	Class	Flavobacteriia	0.20333894015374215	Bacteria;Bacteroidetes;Flavobacteriia	Riverwater
SRR10070130	Class	Gammaproteobacteria	0.16333139452627607	Bacteria;Proteobacteria;Gammaproteobacteria	Riverwater
SRR10070130	Class	""	0.02628393567352585	Bacteria;Candidatus_Saccharibacteria;	Riverwater
SRR10070130	Class	""	0.02343860531652335	Bacteria;;	Riverwater
SRR10070130	Class	Campylobacteria	0.022243880967726722	Bacteria;Campilobacterota;Campylobacteria	Riverwater
SRR10070130	Class	Alphaproteobacteria	0.021112036847814125	Bacteria;Proteobacteria;Alphaproteobacteria	Riverwater
SRR10070130	Family	""	0.21604074638831686	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;	Riverwater
SRR10070130	Family	Flavobacteriaceae	0.19991196767956235	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	Riverwater
SRR10070130	Family	Comamonadaceae	0.13519249210067125	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Riverwater
SRR10070130	Family	Moraxellaceae	0.062612987911276	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	Riverwater
SRR10070130	Family	""	0.02628393567352585	Bacteria;Candidatus_Saccharibacteria;;;	Riverwater
SRR10070130	Family	""	0.02343860531652335	Bacteria;;;;	Riverwater
SRR10070130	Family	Aeromonadaceae	0.02188231965164353	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae	Riverwater
SRR10070130	Genus	""	0.21604074638831686	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;	Riverwater
SRR10070130	Genus	Flavobacterium	0.1998019272790153	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	Riverwater
SRR10070130	Genus	""	0.03711505509880056	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;	Riverwater
SRR10070130	Genus	Agitococcus	0.03390816342571487	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Agitococcus	Riverwater
SRR10070130	Genus	""	0.02628393567352585	Bacteria;Candidatus_Saccharibacteria;;;;	Riverwater
SRR10070130	Genus	Acinetobacter	0.024586169493656957	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Riverwater
SRR10070130	Genus	""	0.02343860531652335	Bacteria;;;;;	Riverwater
SRR10070130	Kingdom	Bacteria	0.9935862166538286	Bacteria	Riverwater
SRR10070130	Kingdom	Archaea	0.006413783346171379	Archaea	Riverwater
SRR10070130	Order	Burkholderiales	0.37751717416251396	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	Riverwater
SRR10070130	Order	Flavobacteriales	0.20333894015374215	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	Riverwater
SRR10070130	Order	Pseudomonadales	0.07573923569081792	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Riverwater
