sample	chromosome	length	mapped_bases	mean_coverage	coverage_std	relative_coverage
COD076E1bL1	NC_002081.1	16696	886701	53.10858888356493	21.289418056108726	59.3805241585823
COD076E1bL1	NC_044048.1	30875876	27566110	0.8928041426257833	1.2222801402423151	0.9982411333937522
COD076E1bL1	NC_044049.1	28732775	22680740	0.7893682388839922	1.1810230248064657	0.8825898176626924
COD076E1bL1	NC_044050.1	30954429	28793934	0.9302040105472468	1.2337211112222322	1.0400577925692986
COD076E1bL1	NC_044051.1	43798135	30949855	0.7066477830619957	1.1349877285690608	0.7901003705015934
COD076E1bL1	NC_044052.1	25300426	23095738	0.9128596490825885	1.2311743700726177	1.0206651237634052
COD076E1bL1	NC_044053.1	27762770	26299534	0.9472950285580294	1.2438939394453739	1.0591671989613427
COD076E1bL1	NC_044054.1	34137969	30133247	0.8826900920789986	1.2095118811700798	0.98693264948447
COD092E1bL1i69	NC_002081.1	16696	936911	56.11589602299952	20.51755072491833	56.34941803709092
COD092E1bL1i69	NC_044048.1	30875876	31744358	1.0281281735941679	1.3946054903801495	1.032406650440433
COD092E1bL1i69	NC_044049.1	28732775	25328484	0.8815188926234936	1.3187671549497313	0.8851872661478277
COD092E1bL1i69	NC_044050.1	30954429	32027934	1.0346801745236522	1.3788030972534762	1.038985917021218
COD092E1bL1i69	NC_044051.1	43798135	34838480	0.7954329562206245	1.2786917387608812	0.7987430896975128
COD092E1bL1i69	NC_044052.1	25300426	25767719	1.018469768058451	1.3820295976221277	1.0227080521879732
COD092E1bL1i69	NC_044053.1	27762770	28922081	1.0417577568808876	1.3821095875178004	1.0460929521967113
COD092E1bL1i69	NC_044054.1	34137969	33781896	0.9895695903877586	1.3621160729051707	0.9936876086358543
