sample	min_coverage	genome_fraction_pct
COD076E1bL1	1	47.08394506984902
COD076E1bL1	2	24.448934274852576
COD076E1bL1	3	10.984682218597612
COD076E1bL1	4	4.34568414309858
COD076E1bL1	5	1.5527721778660037
COD076E1bL1	6	0.5176253545571399
COD076E1bL1	7	0.16975821245986822
COD076E1bL1	8	0.059876584051238524
COD092E1bL1i69	1	48.51638867762995
COD092E1bL1i69	2	26.72984997371711
COD092E1bL1i69	3	13.394751556864989
COD092E1bL1i69	4	6.196557684431596
COD092E1bL1i69	5	2.6881746245877736
COD092E1bL1i69	6	1.107940323617015
COD092E1bL1i69	7	0.4422157529393189
COD092E1bL1i69	8	0.17468756407456
