assembly_id	assembler	sample	n_contigs	total_length	largest_contig	n50	n75	l50	l75	gc_percent	ns_per_100_kbp	predicted_rrna_genes	contigs_over_1kb	length_over_1kb
FLYE-CAPES_S11	FLYE	CAPES_S11	2276	87022643	3045592	128147	27873	72	517	42.85	0.0	285 + 18 part	2266	87016565
MEGAHIT-CAPES_S11	MEGAHIT	CAPES_S11	56618	122328535	211641	6009	1287	3048	16079	47.53	0.0	67 + 19 part	22485	98970761
MEGAHIT-CAPES_S21	MEGAHIT	CAPES_S21	29822	77883427	278801	10264	1701	1115	6772	45.84	0.0	38 + 15 part	12870	66227963
MEGAHIT-CAPES_S7	MEGAHIT	CAPES_S7	14667	52775669	416285	12863	3049	648	2913	47.96	0.0	37 + 8 part	7927	48134795
METAMDBG-CAPES_S11	METAMDBG	CAPES_S11	100	1137166	47232	14268	9327	25	49	42.56	0.0	5 + 2 part	100	1137166
METAMDBG-CAPES_S21	METAMDBG	CAPES_S21	2441	17134797	344390	8414	6356	680	1227	44.76	0.0	10 + 2 part	2441	17134797
METAMDBG-CAPES_S7	METAMDBG	CAPES_S7	4067	48008438	607990	16866	8983	676	1682	47.7	0.0	98 + 12 part	4067	48008438
SPAdes-CAPES_S11	SPAdes	CAPES_S11	63059	125368051	183591	4453	1157	3734	19713	47.46	26.71	23 + 20 part	24148	98789078
SPAdes-CAPES_S21	SPAdes	CAPES_S21	32252	78786757	357145	9126	1528	1222	7566	45.83	8.52	17 + 16 part	12819	65506493
SPAdes-CAPES_S7	SPAdes	CAPES_S7	13908	52698503	456608	14349	3454	602	2626	47.93	34.25	17 + 9 part	7417	48315012
