sample	target	fragment_length	count	fraction	cumulative_fraction
h3k27me3_R1	h3k27me3	50	3078	0.001339973705519229	0.017056150035262466
h3k27me3_R1	h3k27me3	80	1029	0.00044796391909658433	0.05316970388235398
h3k27me3_R1	h3k27me3	100	433	0.00018850182407076873	0.06044726737655961
h3k27me3_R1	h3k27me3	120	317	0.00013800249013956972	0.06369663831158089
h3k27me3_R1	h3k27me3	150	2149	0.0009355436949840231	0.07556746449809751
h3k27me3_R1	h3k27me3	180	11415	0.004969395662281351	0.17637371248465422
h3k27me3_R1	h3k27me3	200	17999	0.007835668201962508	0.3130788921490949
h3k27me3_R1	h3k27me3	250	5855	0.0025489103462687087	0.6015545958747268
h3k27me3_R1	h3k27me3	300	625	0.00027208692850861537	0.6432818472308084
h3k27me3_R1	h3k27me3	400	7186	0.003128346669220656	0.8089544896519915
h3k27me3_R2	h3k27me3	50	3382	0.0016405514037822909	0.01729661188783712
h3k27me3_R2	h3k27me3	80	2231	0.0010822206333052308	0.07029049692893823
h3k27me3_R2	h3k27me3	100	1575	0.0007640060499577492	0.09069358167006389
h3k27me3_R2	h3k27me3	120	1322	0.000641279998758187	0.10569817540802776
h3k27me3_R2	h3k27me3	150	3106	0.0015066684388373138	0.13538429746854477
h3k27me3_R2	h3k27me3	180	11054	0.005362109762687594	0.2520303157600623
h3k27me3_R2	h3k27me3	200	15472	0.007505207368219871	0.3871143467238935
h3k27me3_R2	h3k27me3	250	5548	0.002691241628676567	0.6681225630632425
h3k27me3_R2	h3k27me3	300	1061	0.0005146732819080457	0.724555202953963
h3k27me3_R2	h3k27me3	400	4512	0.0021886954269265805	0.861374376546809
h3k4me3_R1	h3k4me3	50	2244	0.0017454803415665452	0.020510949699985844
h3k4me3_R1	h3k4me3	80	1099	0.000854849775125505	0.07979272032022251
h3k4me3_R1	h3k4me3	100	742	0.0005771597207853728	0.09897978074153353
h3k4me3_R1	h3k4me3	120	554	0.0004309251823653592	0.11081933345052832
h3k4me3_R1	h3k4me3	150	1196	0.0009303005742039163	0.12890574561724188
h3k4me3_R1	h3k4me3	180	3673	0.0028570184022165424	0.195028647968351
h3k4me3_R1	h3k4me3	200	5832	0.004536382064178294	0.2749784926330461
h3k4me3_R1	h3k4me3	250	4274	0.0033245022191869048	0.4884529163678451
h3k4me3_R1	h3k4me3	300	1615	0.0012562169124910743	0.5767054603043231
h3k4me3_R1	h3k4me3	400	2630	0.002045727851301254	0.7609780912659085
h3k4me3_R2	h3k4me3	50	2238	0.0015905991185607565	0.01763518138018233
h3k4me3_R2	h3k4me3	80	1274	0.0009054616966248454	0.07023013936576462
h3k4me3_R2	h3k4me3	100	1098	0.0007803743664788698	0.0963328801286694
h3k4me3_R2	h3k4me3	120	1135	0.0008066711347481943	0.11658992037765004
h3k4me3_R2	h3k4me3	150	1693	0.0012032548291882757	0.14684612908017458
h3k4me3_R2	h3k4me3	180	4010	0.0028500011016213737	0.21849131886821554
h3k4me3_R2	h3k4me3	200	5607	0.003985026478002754	0.2928983800480022
h3k4me3_R2	h3k4me3	250	4289	0.003048292948841414	0.47969853953434805
h3k4me3_R2	h3k4me3	300	2243	0.001594152735894449	0.5745929153663384
h3k4me3_R2	h3k4me3	400	2638	0.0018748885052561554	0.755776938018516
