feature_id	num_regions	total_kmers_mapped	mean_kmer_per_region	stdv_kmer_per_region	mapped_asvs
173921	3	3	1.0	0.0	ad73af2a96118df5bd652d8c852c9d6a
174154	3	3	1.0	0.0	4fa0b34f03bce3580cc8c5f4f719949a
183249	2	2	1.0	0.0	4fa0b34f03bce3580cc8c5f4f719949a
183870|336012	1	2	2.0	0.0	0c9186cf6c5675a1415aaca927130f00
186510	2	2	1.0	0.0	4fa0b34f03bce3580cc8c5f4f719949a
187980	3	3	1.0	0.0	6146bbcbe9fac352a82a13f34e94bf1d
294709	2	2	1.0	0.0	4fa0b34f03bce3580cc8c5f4f719949a
297503	2	2	1.0	0.0	89ddf936bdf5f5a6dad023b697b8abf1
301089	1	1	1.0	0.0	4fa0b34f03bce3580cc8c5f4f719949a
309206	2	2	1.0	0.0	5fb6d9e0db0469d54c89d47939b8070c
313701	2	2	1.0	0.0	2620613eebbeea32cec4d803dd9640ad
332718	4	4	1.0	0.0	d3364174e4e253c1e7f6d7145f6256db
356760	3	3	1.0	0.0	879c3e5d828839d45e72745268ae0d75|5a0f3f353d7b9c2bb09cd1acdfc58b42|201277fb058a31e8706d906ddc307c12
366386	3	3	1.0	0.0	b18dd4799350af6a69da6ca5d6341e3e|d42cb3aa14f8313ac1c3e12d5039fed8
3682570	4	4	1.0	0.0	5fb6d9e0db0469d54c89d47939b8070c|6146bbcbe9fac352a82a13f34e94bf1d
532232	4	4	1.0	0.0	2620613eebbeea32cec4d803dd9640ad
590519	3	3	1.0	0.0	4fa0b34f03bce3580cc8c5f4f719949a
