sample	genome	contig_name	taxonomic_abundance	abundance_frac	sequence_abundance	adjusted_ani	naive_ani	eff_cov	median_cov	containment_frac	kmers_reassigned
MOCK_001_Illumina_Hiseq_3000	GCA_000018945.1_ASM1894v1_genomic	CP000916.1 Thermotoga neapolitana DSM 4359, complete genome	11.3126	0.113126	8.3009	99.84	99.84	3.497	3.0	0.9527656929770043	0
MOCK_001_Illumina_Hiseq_3000	GCA_000091665.1_ASM9166v1_genomic	L77117.1 Methanocaldococcus jannaschii DSM 2661, complete ge	9.4179	0.094179	6.3802	99.72	99.72	2.911	3.0	0.9161861338339815	1
MOCK_001_Illumina_Hiseq_3000	GCA_000016785.1_ASM1678v1_genomic	CP000702.1 Thermotoga petrophila RKU-1, complete genome	8.0107	0.080107	5.6876	99.78	99.51	2.476	2.0	0.8596311475409836	458
MOCK_001_Illumina_Hiseq_3000	GCA_000016545.1_ASM1654v1_genomic	CP000679.1 Caldicellulosiruptor saccharolyticus DSM 8903, co	6.4827	0.06482700000000001	7.4973	100.0	99.56	2.004	2.0	0.8726056043496445	0
MOCK_001_Illumina_Hiseq_3000	GCA_000166095.1_ASM16609v1_genomic	CP002278.1 Methanothermus fervidus DSM 2088, complete genome	6.3542	0.063542	3.0761	100.0	99.63	1.964	2.0	0.8904239212717638	0
MOCK_001_Illumina_Hiseq_3000	GCA_000008085.1_ASM808v1_genomic	AE017199.1 Nanoarchaeum equitans Kin4-M chromosome, complete	4.6001	0.04600100000000001	0.8792	99.76	98.91	1.422	2.0	0.71240345297592	1
MOCK_001_Illumina_Hiseq_3000	GCA_001639275.1_ASM163927v1_genomic	LWMU01000001.1 Methanobrevibacter oralis strain DSM 7256 MBO	3.9889	0.039889	3.3244	99.85	98.79	1.233	1.0	0.6857336649333032	0
MOCK_001_Illumina_Hiseq_3000	GCA_000019085.1_ASM1908v1_genomic	CP000924.1 Thermoanaerobacter pseudethanolicus ATCC 33223, c	3.9443	0.039443	3.6287	99.89	98.8	1.219	1.0	0.6884652252636063	2
MOCK_001_Illumina_Hiseq_3000	GCA_000011105.1_ASM1110v1_genomic	BA000001.2 Pyrococcus horikoshii OT3 DNA, complete genome	3.088	0.03088	2.0903	99.92	98.41	0.955	1.0	0.6085404547858276	0
MOCK_001_Illumina_Hiseq_3000	GCA_000009145.1_ASM914v1_genomic	AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome	3.0145	0.030145	3.3007	99.93	98.38	0.932	1.0	0.6019891966046472	0
MOCK_001_Illumina_Hiseq_3000	GCA_000021565.1_ASM2156v1_genomic	CP001230.1 Persephonella marina EX-H1, complete genome	2.9866	0.029866000000000004	2.3071	99.91	98.33	0.923	1.0	0.5942045716924498	0
MOCK_001_Illumina_Hiseq_3000	GCA_000010305.1_ASM1030v1_genomic	AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome	2.8202	0.028201999999999998	5.0917	99.83	98.15	0.872	1.0	0.5605622570032898	1
MOCK_001_Illumina_Hiseq_3000	GCA_000010505.1_ASM1050v1_genomic	AP009380.1 Porphyromonas gingivalis ATCC 33277 DNA, complete	2.6042	0.026042000000000003	2.3878	99.82	97.98	0.805	1.0	0.5307898979043525	0
MOCK_001_Illumina_Hiseq_3000	GCA_002952055.1_ASM295205v1_genomic	CP021255.1 Desulfobulbus oralis strain HOT041/ORNL chromosom	2.2569	0.022569	2.438	99.83	97.68	0.698	1.0	0.4836115724149987	1
MOCK_001_Illumina_Hiseq_3000	GCA_000020465.1_ASM2046v1_genomic	CP001097.1 Chlorobium limicola DSM 245 chromosome, complete 	2.0577	0.020577	2.2138	99.81	97.47	0.636	1.0	0.45211972263670674	1
MOCK_001_Illumina_Hiseq_3000	GCA_000018565.1_ASM1856v1_genomic	CP000875.1 Herpetosiphon aurantiacus DSM 785, complete genom	1.9084	0.019084	5.0419	99.82	97.3	0.59	1.0	0.4284856193908558	0
MOCK_001_Illumina_Hiseq_3000	GCA_000021665.1_ASM2166v1_genomic	CP001252.1 Shewanella baltica OS223 chromosome, complete gen	1.7367	0.017367	3.6237	99.74	97.01	0.537	1.0	0.3902014652014652	1
MOCK_001_Illumina_Hiseq_3000	GCA_003019295.1_ASM301929v1_genomic	CP028101.1 Fusobacterium nucleatum subsp. nucleatum strain 2	1.6507	0.016507	1.4012	99.82	96.96	0.51	1.0	0.3844207283529541	1
MOCK_001_Illumina_Hiseq_3000	GCA_000017945.1_ASM1794v1_genomic	CP000816.1 Ignicoccus hospitalis KIN4/I, complete genome	1.5519	0.015519000000000002	0.784	99.68	96.68	0.48	1.0	0.35137034434293746	2
MOCK_001_Illumina_Hiseq_3000	GCA_000196115.1_ASM19611v1_genomic	BX119912.1 Rhodopirellula baltica SH 1 complete genome	1.4241	0.014241	3.962	99.74	96.53	0.44	1.0	0.33484908395940427	1
MOCK_001_Illumina_Hiseq_3000	GCA_000006805.1_ASM680v1_genomic	AE004437.1 Halobacterium sp. NRC-1, complete genome	1.3982	0.013982000000000001	1.3997	99.89	96.63	0.432	1.0	0.3451994555543922	0
MOCK_001_Illumina_Hiseq_3000	GCA_000016125.1_ASM1612v1_genomic	CP000609.1 Methanococcus maripaludis C5, complete genome	1.1406	0.011406000000000001	0.7945	99.85	96.08	0.353	1.0	0.2895331826040697	0
MOCK_001_Illumina_Hiseq_3000	GCA_000009705.1_ASM970v1_genomic	BA000019.2 Nostoc sp. PCC 7120 DNA, complete genome	1.0299	0.010299	2.8919	98.41	94.43	0.318	1.0	0.16946039035591273	0
MOCK_001_Illumina_Hiseq_3000	GCA_001481685.1_ASM148168v1_genomic	CP006867.1 Ignicoccus islandicus DSM 13165, complete genome	1.0087	0.010086999999999999	0.5477	99.5	95.42	0.312	1.0	0.23366204245361857	10
MOCK_001_Illumina_Hiseq_3000	GCA_000017325.1_ASM1732v1_genomic	CP000753.1 Shewanella baltica OS185, complete genome	0.9319	0.009319	1.9278	97.83	93.62	0.288	1.0	0.12963376009278674	4963
MOCK_001_Illumina_Hiseq_3000	GCA_000006985.1_ASM698v1_genomic	AE006470.1 Chlorobium tepidum TLS, complete genome	0.8948	0.008948000000000001	0.7508	99.65	95.25	0.277	1.0	0.22092896769280976	10
MOCK_001_Illumina_Hiseq_3000	GCA_000015125.1_ASM1512v1_genomic	CP000492.1 Chlorobium phaeobacteroides DSM 266, complete gen	0.8685	0.008685	1.0597	99.65	95.17	0.268	1.0	0.21559993709702782	73
MOCK_001_Illumina_Hiseq_3000	GCA_000007985.2_ASM798v2_genomic	AE017180.2 Geobacter sulfurreducens PCA, complete genome	0.846	0.00846	1.2564	99.92	95.36	0.262	1.0	0.22932993135289473	0
MOCK_001_Illumina_Hiseq_3000	GCA_931907645.1_MPBAS00001_genomic	OV986001.1 Pseudomonas fluorescens SBW25 genome assembly, ch	0.7027	0.007027	1.8393	99.58	94.54	0.217	1.0	0.17520187366728424	52
MOCK_001_Illumina_Hiseq_3000	GCA_000018865.1_ASM1886v1_genomic	CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome	0.6685	0.006685	1.3688	99.03	93.88	0.207	1.0	0.14113176821821144	2
