sample	caller	filter_label	n_variants	n_ts	n_tv	ts_tv	is_pass	pct_of_calls
NA12878_200M	deepvariant	PASS	42462	28197	10936	2.57837	true	79.17435811377747
NA12878_200M	deepvariant	RefCall	10661	1917	5586	0.343179	false	19.878428520818183
NA12878_200M	deepvariant	NoCall	508	247	148	1.66892	false	0.9472133654043371
NA12878_200M	freebayes	.	42747	27659	10603	2.6086	false	100.0
NA12878_200M	haplotypecaller	PASS	42827	27908	10941	2.55077	true	94.61184995360756
NA12878_200M	haplotypecaller	CNN_1D_SNP_Tranche_99.95_100.00	2287	1527	756	2.01984	false	5.052357177572571
NA12878_200M	haplotypecaller	CNN_1D_INDEL_Tranche_99.40_100.00	152	0	0		false	0.3357928688198648
NA12878_200M	manta	PASS	63	0	0		true	87.5
NA12878_200M	manta	Ploidy	6	0	0		false	8.333333333333334
NA12878_200M	manta	MinQUAL	1	0	0		false	1.3888888888888888
NA12878_200M	manta	MinQUAL;SampleFT	1	0	0		false	1.3888888888888888
NA12878_200M	manta	SampleFT	1	0	0		false	1.3888888888888888
NA12878_200M	strelka	PASS	42052	27902	10796	2.58448	true	94.07395807700051
NA12878_200M	strelka	LowGQX;NoPassedVariantGTs	1692	873	664	1.31476	false	3.785150220353012
NA12878_200M	strelka	LowDepth;LowGQX;NoPassedVariantGTs	337	207	126	1.64286	false	0.7538981230844948
