sample_id	qc_status	lineage	clade
SAMPLE_01	fail	Unassigned	21L
SAMPLE_02	pass	B.1.1.7	20I
SAMPLE_03	pass	B.1.1.7	20I
SAMPLE_04	pass	B.1.1.7	20I
SAMPLE_05	pass	B.1.1.7	20I
SAMPLE_06	pass	AC.1	20B
SAMPLE_07	pass	B.1.1.7	20I
SAMPLE_08	pass	AC.1	20B
SAMPLE_09	pass	B.1.1.7	20I
SAMPLE_10	pass	B.1.1.7	20I
SAMPLE_11	pass	B.1.1.7	20I
SAMPLE_12	pass	B.1.1.7	20I
SAMPLE_13	fail	Unassigned	20I
SAMPLE_14	pass	B.1.1.7	20I
SAMPLE_15	pass	B.1.1.7	20I
SAMPLE_16	pass	B.1.1.7	20I
SAMPLE_17	pass	B.1.1.7	20I
SAMPLE_18	pass	B.1.1.7	20I
SAMPLE_19	fail	Unassigned	20I
SAMPLE_20	fail	Unassigned	20I
SAMPLE_21	fail	Unassigned	20I
SAMPLE_24	pass	B.1.1.7	20I
SAMPLE_25	pass	B.1.1.7	20I
SAMPLE_27	fail	Unassigned	20I
SAMPLE_28	pass	B.1.1.7	20I
SAMPLE_29	pass	B.1.1.7	20I
SAMPLE_30	pass	B.1.1.7	20I
SAMPLE_31	fail	Unassigned	20I
SAMPLE_32	pass	B.1.1.7	20I
SAMPLE_33	pass	B.1.1.7	20I
SAMPLE_34	pass	B.1.1.7	20I
SAMPLE_35	pass	B.1.1.7	20I
SAMPLE_36	pass	B.1.1.7	20I
SAMPLE_37	pass	B.1.1.7	20I
SAMPLE_38	pass	B.1.1.7	20I
SAMPLE_40	fail	B.1.1.7	20I
SAMPLE_41	pass	B.1.1.7	20I
SAMPLE_42	pass	B.1.1.7	20I
SAMPLE_43	pass	B.1.1.7	20I
SAMPLE_44	pass	B.1.1.7	20I
SAMPLE_45	pass	B.1.1.7	20I
SAMPLE_46	pass	B.1.1.7	20I
SAMPLE_47	pass	B.1.1.7	20I
SAMPLE_48	pass	B.1.1.7	20I
