sample_id	dim_1	dim_2	cluster	color
S000	-1.6769	-1.34	control	2.103
S001	-2.6743	-0.5362	control	7.575
S002	-2.505	0.2847	control	2.639
S003	-2.9387	-1.9805	control	3.914
S004	-1.5447	-0.5301	control	3.934
S005	-2.3864	-2.5968	control	2.645
S006	-3.6357	-1.8922	control	2.518
S007	-3.9114	-2.0467	control	0.8
S008	-2.2018	-1.3528	control	4.754
S009	-2.2553	-1.7756	control	3.524
S010	-2.3517	-1.6021	control	4.53
S011	-3.9355	0.0007	control	2.361
S012	-3.8206	-1.1963	control	2.122
S013	-1.9328	-2.1049	control	2.885
S014	-2.8251	-2.0334	control	2.466
S015	-2.5378	-0.3999	control	4.064
S016	-3.9874	-0.8244	control	0.978
S017	-1.3195	-3.3834	control	5.735
S018	-2.7805	-2.5505	control	4.023
S019	-3.0797	-1.1288	control	3.127
S020	-2.408	-1.7096	control	2.01
S021	-2.7768	-0.5555	control	4.093
S022	-3.6302	-1.1323	control	0.235
S023	-4.2806	-1.8958	control	1.807
S024	-3.6499	-3.2705	control	4.942
S025	-4.1498	-0.5721	control	5.052
S026	-5.5481	-1.4172	control	4.258
S027	-2.7772	-0.8186	control	5.359
S028	-1.8732	-1.4808	control	3.194
S029	-2.5347	-1.4695	control	4.705
S030	2.2638	-0.0885	treatment	5.665
S031	2.4101	1.0196	treatment	6.309
S032	2.2556	1.1556	treatment	7.23
S033	3.0954	1.312	treatment	6.781
S034	4.0732	0.404	treatment	6.697
S035	2.2796	-0.675	treatment	5.802
S036	1.8621	0.669	treatment	6.032
S037	1.9698	1.5674	treatment	7.778
S038	2.9116	2.4761	treatment	4.405
S039	1.4499	1.3456	treatment	4.747
S040	1.0944	1.0721	treatment	6.817
S041	1.5656	1.7772	treatment	3.616
S042	2.3178	-0.2512	treatment	7.297
S043	3.636	1.4906	treatment	6.064
S044	3.157	0.7165	treatment	5.134
S045	1.6391	1.1792	treatment	6.716
S046	1.9858	2.6914	treatment	7.259
S047	2.5889	0.8249	treatment	6.32
S048	3.1158	0.5538	treatment	5.165
S049	2.1775	1.7696	treatment	7.38
S050	3.2544	1.8716	treatment	5.349
S051	4.5026	2.0878	treatment	8.589
S052	1.6515	0.6833	treatment	6.489
S053	3.676	0.2943	treatment	9.573
S054	2.9139	-0.7159	treatment	4.942
S055	2.4558	-0.2855	treatment	6.93
S056	3.6308	2.4931	treatment	6.809
S057	3.6644	0.4233	treatment	10.011
S058	2.4699	0.9874	treatment	7.655
S059	3.5227	1.2628	treatment	8.876
S060	0.7185	4.7221	recovery	7.085
S061	0.3763	4.6754	recovery	4.346
S062	0.3367	3.256	recovery	4.062
S063	-0.1934	3.7177	recovery	7.25
S064	-0.6624	4.9938	recovery	5.792
S065	-0.5376	2.5712	recovery	4.325
S066	2.0661	3.2427	recovery	7.258
S067	0.6176	5.2493	recovery	5.354
S068	-0.175	3.9036	recovery	4.162
S069	0.1597	2.7328	recovery	3.322
S070	1.2982	1.8988	recovery	6.138
S071	0.3608	3.5156	recovery	5.537
S072	0.9395	3.3064	recovery	3.59
S073	1.3051	4.2023	recovery	3.326
S074	1.4074	2.9127	recovery	6.551
S075	-0.5941	3.1989	recovery	5.698
S076	0.268	3.1302	recovery	5.452
S077	-0.0684	3.0759	recovery	4.979
S078	1.0847	3.6318	recovery	5.692
S079	0.3525	3.5023	recovery	5.298
S080	1.1456	3.5483	recovery	5.467
S081	1.0005	4.2932	recovery	5.392
S082	0.9084	2.6645	recovery	6.558
S083	-0.1857	3.706	recovery	3.297
S084	0.0573	4.0165	recovery	3.947
S085	-1.4533	5.4739	recovery	4.792
S086	-0.2588	1.5855	recovery	5.717
S087	0.37	3.2041	recovery	5.36
S088	0.7933	2.3083	recovery	6.882
S089	0.5022	4.5295	recovery	5.784
