sample_id	dim_1	dim_2	dim_3	cluster	color
S000	-33.1629	-82.7093	36.2606	control	-33.43
S001	-16.5772	-20.9712	-65.8322	control	-16.373
S002	-79.1226	-73.7221	-20.2471	control	-79.383
S003	-52.3517	-91.1095	-58.5137	control	-52.718
S004	22.033	-67.7195	-97.994	control	21.634
S005	32.0268	-44.3096	-48.9193	control	32.439
S006	58.0201	-88.0702	-17.9653	control	58.097
S007	-5.9256	-104.2752	-77.5852	control	-5.688
S008	10.3158	106.0381	-64.5108	control	10.242
S009	21.8394	-23.287	-87.1223	control	22.103
S010	-57.4849	-8.739	-76.6213	control	-57.457
S011	7.2777	-80.7062	-22.4226	control	7.602
S012	23.8358	-121.2174	-26.8924	control	23.939
S013	-1.8955	-115.8504	9.5513	control	-1.38
S014	-48.7439	-42.3833	-38.177	control	-48.747
S015	-24.6125	-57.5056	-100.4987	control	-24.795
S016	-39.9849	39.5515	-81.2328	control	-40.589
S017	17.9221	-83.1994	31.425	control	17.43
S018	-33.9322	-72.687	-11.8036	control	-33.938
S019	-14.7848	118.4137	58.2036	control	-14.665
S020	32.8183	-52.8447	-3.6828	control	32.785
S021	156.064	-14.9072	-79.9791	control	156.178
S022	-9.8735	-48.645	15.1377	control	-9.549
S023	39.7766	-84.9419	-60.1488	control	39.661
S024	-11.4101	-65.6827	-57.2906	control	-11.158
S025	-5.7613	-32.2419	-25.2907	control	-5.446
S026	-53.5654	-111.0651	3.7017	control	-53.593
S027	35.0391	-129.2292	-68.0135	control	34.998
S028	-23.2594	-114.7152	-34.3292	control	-23.749
S029	-67.133	-54.0189	-78.6381	control	-67.143
S030	38.7793	4.7992	-6.3802	treatment	38.609
S031	-39.2597	126.537	-19.4168	treatment	-38.739
S032	123.0595	36.6948	22.3238	treatment	123.129
S033	47.7861	106.8433	26.245	treatment	47.583
S034	13.0259	-44.7868	92.0234	treatment	12.805
S035	81.9704	-18.3727	-28.6439	treatment	82.06
S036	76.1108	7.3072	-71.2734	treatment	76.613
S037	215.5117	-182.0828	76.0768	treatment	215.315
S038	86.4715	57.2314	-55.8731	treatment	86.252
S039	24.9742	47.9569	-5.62	treatment	24.495
S040	73.9045	97.8084	-31.4928	treatment	73.878
S041	84.8342	-35.0542	14.996	treatment	84.588
S042	114.7666	25.3673	-34.8536	treatment	114.72
S043	77.7501	6.3778	14.8695	treatment	77.246
S044	23.2627	21.5089	-45.5501	treatment	23.312
S045	106.3082	77.471	1.1636	treatment	106.231
S046	89.9211	36.9738	53.3408	treatment	90.158
S047	47.2575	-34.364	62.1838	treatment	46.847
S048	85.7565	41.2734	-2.675	treatment	85.491
S049	78.1327	-63.4698	46.6453	treatment	77.92
S050	39.5965	-7.8233	31.9245	treatment	39.533
S051	55.8651	13.0286	68.8274	treatment	55.31
S052	59.3608	72.2064	1.2317	treatment	58.96
S053	64.5601	24.6513	-32.6824	treatment	64.53
S054	120.614	-6.3936	-1.6092	treatment	120.969
S055	16.5132	94.65	-4.5828	treatment	16.594
S056	47.512	39.4778	30.8861	treatment	47.362
S057	71.2814	75.6095	48.8688	treatment	71.321
S058	106.3156	-6.3391	48.3383	treatment	105.943
S059	41.7586	65.6319	-44.4453	treatment	41.91
S060	-114.3989	46.8719	35.805	recovery	-114.131
S061	-45.966	44.5882	18.8957	recovery	-46.231
S062	-84.0298	53.0749	-42.8609	recovery	-84.246
S063	11.8548	48.9778	-88.5761	recovery	11.337
S064	-88.0858	42.9522	76.8497	recovery	-87.817
S065	-61.4503	3.5599	-13.0782	recovery	-61.187
S066	-117.6169	6.3627	9.1308	recovery	-117.977
S067	-80.2522	79.2277	35.4633	recovery	-79.953
S068	-43.7884	-4.9329	25.128	recovery	-43.821
S069	-18.4427	-14.5358	59.2501	recovery	-18.827
S070	-105.1704	-3.1491	59.2438	recovery	-104.759
S071	-5.691	26.6765	39.0981	recovery	-4.702
S072	-98.767	7.7828	-33.9421	recovery	-98.517
S073	-7.7624	11.4895	96.2015	recovery	-8.069
S074	-17.6156	13.4262	-114.6694	recovery	-17.446
S075	-40.7045	26.0232	62.3168	recovery	-40.718
S076	-63.7513	0.1363	91.4423	recovery	-63.225
S077	-1.0574	55.9259	76.2722	recovery	-1.2
S078	-43.8406	44.0181	105.0632	recovery	-43.872
S079	-66.0431	79.8216	-5.7916	recovery	-66.138
S080	-86.1371	39.7414	1.0791	recovery	-86.246
S081	74.0489	-19.7596	103.5322	recovery	74.365
S082	-63.5271	-31.9366	58.8581	recovery	-63.929
S083	-85.4837	-25.0975	17.2387	recovery	-85.713
S084	-16.7329	15.7941	-1.3621	recovery	-16.818
S085	-18.0961	72.4133	31.248	recovery	-17.916
S086	-41.2382	38.5482	-26.5539	recovery	-41.432
S087	-49.7601	69.4509	64.8848	recovery	-49.64
S088	-30.2666	77.3774	-36.3378	recovery	-30.739
S089	-75.1404	20.5296	38.8332	recovery	-75.278
