cell_id	cluster	gene_01	gene_02	gene_03	gene_04	gene_05	gene_06	gene_07	gene_08	gene_09	gene_10	gene_11	gene_12	gene_13	gene_14	gene_15	gene_16	gene_17	gene_18	gene_19	gene_20	gene_21	gene_22	gene_23	gene_24	gene_25	gene_26	gene_27	gene_28	gene_29	gene_30	gene_31	gene_32	gene_33	gene_34	gene_35	gene_36	gene_37	gene_38	gene_39	gene_40	gene_41	gene_42	gene_43	gene_44	gene_45	gene_46	gene_47	gene_48	gene_49	gene_50	gene_51	gene_52	gene_53	gene_54	gene_55	gene_56	gene_57	gene_58	gene_59	gene_60
cell_0133	cluster_1	24.971	14.309	3.217	2.883	0.0	0.0	1.101	0.893	2.379	3.974	1.791	2.561	13.04	0.0	4.875	6.242	3.611	1.816	3.41	8.069	2.0	1.196	2.527	3.051	4.413	4.817	11.501	1.888	6.202	3.973	3.791	12.623	1.67	3.919	1.54	6.934	3.17	4.427	2.741	6.543	0.0	0.502	0.0	3.148	6.56	5.351	5.143	3.256	0.0	2.976	3.851	2.773	4.995	3.285	1.487	5.407	2.176	4.042	2.8	4.163
cell_0338	cluster_2	2.57	2.572	31.95	25.027	2.895	4.509	2.989	2.801	1.314	3.942	4.288	6.375	1.618	1.119	0.0	0.0	1.597	8.068	0.377	4.204	6.39	6.266	0.0	1.733	0.0	1.239	3.89	3.557	2.66	7.666	9.853	4.139	19.637	0.861	3.589	2.508	3.379	1.963	1.523	4.269	3.433	7.604	1.475	5.626	5.843	2.985	15.671	0.0	1.352	1.718	3.562	1.533	4.665	10.644	6.487	1.706	1.055	1.916	6.611	0.782
cell_0266	cluster_2	1.513	0.0	8.607	14.576	3.522	1.324	2.163	4.584	0.0	0.0	1.395	0.0	1.786	0.664	4.738	0.0	0.0	4.969	2.098	1.413	0.665	5.226	0.781	1.714	1.674	0.817	2.093	7.579	5.782	3.742	5.065	2.358	1.407	2.321	0.0	0.714	0.642	4.612	5.233	0.674	1.016	1.203	1.092	0.73	0.501	6.954	0.8	14.503	0.0	3.437	0.898	1.344	1.906	1.558	0.0	2.536	0.0	0.512	2.147	0.0
cell_0288	cluster_2	3.603	3.399	26.806	24.497	3.256	0.545	2.224	5.854	2.037	0.0	1.499	3.922	0.0	0.0	4.214	2.463	2.04	1.178	2.809	5.327	2.246	0.0	0.0	1.371	3.573	2.3	1.108	8.948	1.825	1.751	3.95	1.928	4.772	2.495	0.0	2.848	1.992	3.301	1.71	1.229	4.418	2.463	0.0	2.25	1.466	1.31	6.704	12.699	4.418	3.1	12.499	4.018	4.524	1.235	5.427	0.829	1.185	9.517	2.363	2.923
cell_0502	cluster_3	5.512	2.719	2.125	5.285	27.749	21.681	6.612	8.037	1.022	1.804	3.514	3.842	5.077	4.233	5.337	3.789	2.249	6.667	0.877	0.947	2.124	0.867	1.958	7.254	3.713	9.024	6.645	2.139	2.588	2.073	3.637	1.851	6.586	0.0	0.0	2.19	5.371	2.291	7.46	1.32	2.168	3.445	3.45	2.305	2.236	2.835	0.0	0.0	1.869	8.208	2.094	7.905	3.758	2.961	0.0	6.064	7.883	0.0	1.727	2.505
cell_0321	cluster_2	0.282	1.111	24.042	8.687	2.811	0.0	0.731	0.614	0.0	1.005	1.416	1.789	1.126	2.058	1.575	3.638	2.788	6.341	1.299	1.577	2.945	3.45	0.0	3.015	0.938	3.288	0.0	2.739	2.778	2.128	3.685	0.655	1.772	4.536	1.346	1.411	2.784	2.5	1.701	1.782	0.0	1.349	1.848	3.815	3.452	1.859	4.022	0.0	2.404	4.8	5.844	0.912	3.84	0.0	1.861	1.986	3.12	1.232	1.308	1.531
cell_0075	cluster_1	12.224	9.969	1.507	3.882	0.0	2.299	0.0	1.515	4.347	0.0	7.055	3.882	7.502	2.856	1.919	0.0	4.138	1.531	5.926	5.635	3.894	4.762	2.034	2.024	1.847	3.711	2.137	2.292	3.138	6.242	1.109	3.647	3.704	0.0	4.022	7.178	4.156	0.0	3.825	0.0	3.069	1.447	6.004	4.832	1.907	0.0	1.82	1.042	9.298	0.0	2.831	2.498	0.438	3.4	0.0	2.133	1.653	1.57	3.742	1.686
cell_0393	cluster_2	2.815	4.37	19.658	14.865	2.169	4.551	3.344	10.942	4.039	2.545	1.109	7.998	1.841	2.084	3.21	1.158	2.153	1.577	8.261	7.239	4.109	14.009	2.022	2.134	1.988	2.807	4.998	2.091	5.666	2.871	1.856	3.099	6.334	1.919	2.304	1.252	0.0	1.893	2.3	3.287	1.365	4.141	2.109	1.533	0.0	0.479	3.05	3.68	6.241	7.928	2.193	3.123	1.586	1.992	6.879	4.523	2.984	2.302	1.941	0.752
cell_0087	cluster_1	18.321	19.172	1.558	13.694	0.0	3.787	2.831	0.827	1.906	2.347	1.767	1.252	9.127	3.569	5.386	7.822	4.263	1.923	1.915	3.764	5.964	1.919	1.894	2.887	1.164	1.622	2.748	3.329	1.612	0.547	4.755	3.433	2.597	0.78	2.036	2.493	0.0	3.63	3.185	3.72	5.584	7.605	3.23	2.875	1.792	1.899	4.753	2.127	0.497	3.597	2.214	4.787	2.173	5.721	2.169	13.12	2.76	4.131	5.625	3.638
cell_0368	cluster_2	2.492	1.426	0.0	64.627	2.53	1.971	7.337	0.928	2.049	1.114	0.887	5.956	3.832	1.606	1.618	3.327	1.753	2.564	0.958	4.089	2.767	1.967	1.445	12.699	2.246	1.522	0.835	3.976	1.074	4.373	2.068	3.715	5.689	1.307	2.394	2.463	0.0	6.275	1.886	3.963	8.196	0.0	2.139	3.448	1.806	0.948	3.911	2.486	1.531	3.355	4.756	1.952	0.0	7.416	11.584	8.666	1.238	0.716	2.633	8.095
