gene_set	rank	running_es	member	metric
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	0.015378	true	3.0009
HALLMARK_INTERFERON_ALPHA_RESPONSE	2	0.01396	false	2.9902
HALLMARK_INTERFERON_ALPHA_RESPONSE	3	0.012541	false	2.9875
HALLMARK_INTERFERON_ALPHA_RESPONSE	4	0.027774	true	2.9726
HALLMARK_INTERFERON_ALPHA_RESPONSE	5	0.042848	true	2.9417
HALLMARK_INTERFERON_ALPHA_RESPONSE	6	0.057917	true	2.9406
HALLMARK_INTERFERON_ALPHA_RESPONSE	7	0.072982	true	2.9399
HALLMARK_INTERFERON_ALPHA_RESPONSE	8	0.088	true	2.9307
HALLMARK_INTERFERON_ALPHA_RESPONSE	9	0.102876	true	2.9029
HALLMARK_INTERFERON_ALPHA_RESPONSE	10	0.117732	true	2.8991
HALLMARK_INTERFERON_ALPHA_RESPONSE	11	0.132485	true	2.8789
HALLMARK_INTERFERON_ALPHA_RESPONSE	12	0.131066	false	2.8646
HALLMARK_INTERFERON_ALPHA_RESPONSE	13	0.145726	true	2.8608
HALLMARK_INTERFERON_ALPHA_RESPONSE	14	0.160187	true	2.8219
HALLMARK_INTERFERON_ALPHA_RESPONSE	15	0.174645	true	2.8215
HALLMARK_INTERFERON_ALPHA_RESPONSE	16	0.173227	false	2.8144
HALLMARK_INTERFERON_ALPHA_RESPONSE	17	0.187585	true	2.8019
HALLMARK_INTERFERON_ALPHA_RESPONSE	18	0.201926	true	2.7986
HALLMARK_INTERFERON_ALPHA_RESPONSE	19	0.216223	true	2.79
HALLMARK_INTERFERON_ALPHA_RESPONSE	20	0.23051	true	2.788
HALLMARK_INTERFERON_ALPHA_RESPONSE	21	0.244703	true	2.7698
HALLMARK_INTERFERON_ALPHA_RESPONSE	22	0.243285	false	2.7503
HALLMARK_INTERFERON_ALPHA_RESPONSE	23	0.257377	true	2.7499
HALLMARK_INTERFERON_ALPHA_RESPONSE	24	0.271395	true	2.7357
HALLMARK_INTERFERON_ALPHA_RESPONSE	25	0.285401	true	2.733
HALLMARK_INTERFERON_ALPHA_RESPONSE	26	0.283982	false	2.7329
HALLMARK_INTERFERON_ALPHA_RESPONSE	27	0.297817	true	2.6998
HALLMARK_INTERFERON_ALPHA_RESPONSE	28	0.311641	true	2.6978
HALLMARK_INTERFERON_ALPHA_RESPONSE	29	0.325356	true	2.6763
HALLMARK_INTERFERON_ALPHA_RESPONSE	30	0.323937	false	2.6701
HALLMARK_INTERFERON_ALPHA_RESPONSE	31	0.337539	true	2.6542
HALLMARK_INTERFERON_ALPHA_RESPONSE	32	0.351133	true	2.6529
HALLMARK_INTERFERON_ALPHA_RESPONSE	33	0.364716	true	2.6506
HALLMARK_INTERFERON_ALPHA_RESPONSE	34	0.378166	true	2.6248
HALLMARK_INTERFERON_ALPHA_RESPONSE	35	0.376748	false	2.5986
HALLMARK_INTERFERON_ALPHA_RESPONSE	36	0.389954	true	2.577
HALLMARK_INTERFERON_ALPHA_RESPONSE	37	0.388535	false	2.5746
HALLMARK_INTERFERON_ALPHA_RESPONSE	38	0.387117	false	2.5726
HALLMARK_INTERFERON_ALPHA_RESPONSE	39	0.400157	true	2.5448
HALLMARK_INTERFERON_ALPHA_RESPONSE	40	0.413174	true	2.5402
HALLMARK_INTERFERON_ALPHA_RESPONSE	41	0.426186	true	2.5391
HALLMARK_INTERFERON_ALPHA_RESPONSE	42	0.424767	false	2.5221
HALLMARK_INTERFERON_ALPHA_RESPONSE	43	0.437631	true	2.5102
HALLMARK_INTERFERON_ALPHA_RESPONSE	44	0.436212	false	2.5038
HALLMARK_INTERFERON_ALPHA_RESPONSE	45	0.434794	false	2.4973
HALLMARK_INTERFERON_ALPHA_RESPONSE	46	0.447567	true	2.4926
HALLMARK_INTERFERON_ALPHA_RESPONSE	47	0.460163	true	2.458
HALLMARK_INTERFERON_ALPHA_RESPONSE	48	0.458744	false	2.4563
HALLMARK_INTERFERON_ALPHA_RESPONSE	49	0.457326	false	2.4542
HALLMARK_INTERFERON_ALPHA_RESPONSE	50	0.455907	false	2.4409
HALLMARK_INTERFERON_ALPHA_RESPONSE	51	0.468266	true	2.4116
HALLMARK_INTERFERON_ALPHA_RESPONSE	52	0.480586	true	2.4043
HALLMARK_INTERFERON_ALPHA_RESPONSE	53	0.479168	false	2.3968
HALLMARK_INTERFERON_ALPHA_RESPONSE	54	0.491404	true	2.3878
HALLMARK_INTERFERON_ALPHA_RESPONSE	55	0.489985	false	2.3827
HALLMARK_INTERFERON_ALPHA_RESPONSE	56	0.502179	true	2.3796
HALLMARK_INTERFERON_ALPHA_RESPONSE	57	0.500761	false	2.3647
HALLMARK_INTERFERON_ALPHA_RESPONSE	58	0.512842	true	2.3576
HALLMARK_INTERFERON_ALPHA_RESPONSE	59	0.511424	false	2.3312
HALLMARK_INTERFERON_ALPHA_RESPONSE	60	0.510005	false	2.3196
HALLMARK_INTERFERON_ALPHA_RESPONSE	61	0.508587	false	2.3179
HALLMARK_INTERFERON_ALPHA_RESPONSE	62	0.507168	false	2.3045
HALLMARK_INTERFERON_ALPHA_RESPONSE	63	0.50575	false	2.2908
HALLMARK_INTERFERON_ALPHA_RESPONSE	64	0.504331	false	2.2778
HALLMARK_INTERFERON_ALPHA_RESPONSE	65	0.502913	false	2.2745
HALLMARK_INTERFERON_ALPHA_RESPONSE	66	0.501495	false	2.2685
HALLMARK_INTERFERON_ALPHA_RESPONSE	67	0.513074	true	2.2596
HALLMARK_INTERFERON_ALPHA_RESPONSE	68	0.524629	true	2.255
HALLMARK_INTERFERON_ALPHA_RESPONSE	69	0.536156	true	2.2494
HALLMARK_INTERFERON_ALPHA_RESPONSE	70	0.547621	true	2.2373
HALLMARK_INTERFERON_ALPHA_RESPONSE	71	0.559032	true	2.2268
HALLMARK_INTERFERON_ALPHA_RESPONSE	72	0.557614	false	2.2091
HALLMARK_INTERFERON_ALPHA_RESPONSE	73	0.556195	false	2.2021
HALLMARK_INTERFERON_ALPHA_RESPONSE	74	0.567433	true	2.1931
HALLMARK_INTERFERON_ALPHA_RESPONSE	75	0.57866	true	2.1908
HALLMARK_INTERFERON_ALPHA_RESPONSE	76	0.577241	false	2.1862
HALLMARK_INTERFERON_ALPHA_RESPONSE	77	0.575823	false	2.1568
HALLMARK_INTERFERON_ALPHA_RESPONSE	78	0.574404	false	2.1533
HALLMARK_INTERFERON_ALPHA_RESPONSE	79	0.572986	false	2.1303
HALLMARK_INTERFERON_ALPHA_RESPONSE	80	0.583855	true	2.121
HALLMARK_INTERFERON_ALPHA_RESPONSE	81	0.594644	true	2.1054
HALLMARK_INTERFERON_ALPHA_RESPONSE	82	0.605376	true	2.0943
HALLMARK_INTERFERON_ALPHA_RESPONSE	83	0.603958	false	2.0755
HALLMARK_INTERFERON_ALPHA_RESPONSE	84	0.61458	true	2.073
HALLMARK_INTERFERON_ALPHA_RESPONSE	85	0.625144	true	2.0614
HALLMARK_INTERFERON_ALPHA_RESPONSE	86	0.635621	true	2.0446
HALLMARK_INTERFERON_ALPHA_RESPONSE	87	0.634203	false	2.0422
HALLMARK_INTERFERON_ALPHA_RESPONSE	88	0.644666	true	2.0419
HALLMARK_INTERFERON_ALPHA_RESPONSE	89	0.654992	true	2.015
HALLMARK_INTERFERON_ALPHA_RESPONSE	90	0.665235	true	1.9989
