sample	group	total_reads_m	percent_duplicates	percent_gc	mean_quality	percent_aligned	insert_size_median	percent_rrna	genes_detected
SAMPLE_01	control	50.68	10.5	46.83	29.73	97.98	208	1.95	13993
SAMPLE_02	control	44.2	11.1	39.82	37.46	90.97	169	2.67	14799
SAMPLE_03	control	42.93	10.62	52.9	45.06	99.9	241	2.71	14238
SAMPLE_04	control	44.07	12.95	41.02	33.3	87.52	242	2.53	17764
SAMPLE_05	control	47.37	10.87	49.86	36.97	82.28	196	2.2	16200
SAMPLE_06	control	50.45	14.47	50.19	37.09	99.9	200	2.79	15718
SAMPLE_07	control	44.67	11.62	42.06	34.56	96.75	221	2.47	15558
SAMPLE_08	control	54.06	13.6	52.97	39.08	89.25	243	2.68	15293
SAMPLE_09	control	43.43	12.11	45.8	32.54	99.9	191	2.5	15033
SAMPLE_10	control	47.84	11.98	42.23	34.5	88.56	219	2.68	14862
SAMPLE_11	treated	42.01	16.26	53.9	39.99	96.93	214	3.54	15160
SAMPLE_12	treated	47.27	14.75	40.17	32.04	93.98	186	3.01	11276
SAMPLE_13	treated	37.7	14.64	41.49	39.81	80.31	209	3.53	15836
SAMPLE_14	treated	40.12	16.05	47.26	32.56	93.55	207	3.44	13926
SAMPLE_15	treated	43.86	16.41	50.04	40.34	80.78	187	3.1	14709
SAMPLE_16	treated	38.66	16.57	52.73	35.74	90.68	212	2.73	16422
SAMPLE_17	treated	44.56	13.08	45.52	34.26	84.95	230	2.81	15161
SAMPLE_18	treated	44.47	14.99	53.72	37.29	94.01	210	3.17	13470
SAMPLE_19	treated	45.99	14.21	45.98	28.93	99.9	202	3.31	14815
SAMPLE_20	treated	45.89	13.57	55.69	38.1	86.86	203	3.2	12665
SAMPLE_21	degraded	20.67	32.19	48.09	31.0	67.22	144	12.65	8676
SAMPLE_22	degraded	20.57	40.72	47.42	31.96	62.39	150	9.6	9587
SAMPLE_23	degraded	23.23	31.28	46.41	32.82	65.78	138	11.71	8597
SAMPLE_24	degraded	19.54	34.45	55.45	36.34	71.98	133	12.28	9267
SAMPLE_25	degraded	21.9	33.17	52.21	33.82	71.54	138	10.24	9306
SAMPLE_26	degraded	22.27	33.15	60.22	35.08	71.25	114	10.61	8054
