series	x	y	lower	upper
CTRL_rep1	-2000	0.9883	0.8436	1.133
CTRL_rep1	-1975	1.0202	0.8752	1.1651
CTRL_rep1	-1950	1.0841	0.9389	1.2293
CTRL_rep1	-1925	1.0669	0.9214	1.2125
CTRL_rep1	-1900	1.0412	0.8953	1.187
CTRL_rep1	-1875	1.0665	0.9202	1.2128
CTRL_rep1	-1850	1.0806	0.9339	1.2273
CTRL_rep1	-1825	1.0763	0.9291	1.2235
CTRL_rep1	-1800	1.1125	0.9648	1.2602
CTRL_rep1	-1775	1.0976	0.9494	1.2458
CTRL_rep1	-1750	1.0383	0.8895	1.1871
CTRL_rep1	-1725	1.0577	0.9082	1.2072
CTRL_rep1	-1700	1.087	0.9368	1.2372
CTRL_rep1	-1675	1.1671	1.0161	1.3181
CTRL_rep1	-1650	1.1331	0.9812	1.285
CTRL_rep1	-1625	1.1482	0.9954	1.301
CTRL_rep1	-1600	1.0785	0.9247	1.2323
CTRL_rep1	-1575	1.1748	1.0199	1.3296
CTRL_rep1	-1550	1.157	1.001	1.3131
CTRL_rep1	-1525	1.1943	1.037	1.3516
CTRL_rep1	-1500	1.1739	1.0153	1.3325
CTRL_rep1	-1475	1.1652	1.0052	1.3253
CTRL_rep1	-1450	1.2144	1.0528	1.376
CTRL_rep1	-1425	1.2614	1.0982	1.4246
CTRL_rep1	-1400	1.2974	1.1324	1.4623
CTRL_rep1	-1375	1.2729	1.1061	1.4396
CTRL_rep1	-1350	1.356	1.1873	1.5247
CTRL_rep1	-1325	1.2901	1.1193	1.4609
CTRL_rep1	-1300	1.4383	1.2653	1.6113
CTRL_rep1	-1275	1.4921	1.3167	1.6674
CTRL_rep1	-1250	1.409	1.2312	1.5867
CTRL_rep1	-1225	1.4731	1.2929	1.6534
CTRL_rep1	-1200	1.5707	1.3878	1.7536
CTRL_rep1	-1175	1.5918	1.4061	1.7775
CTRL_rep1	-1150	1.5275	1.3389	1.7161
CTRL_rep1	-1125	1.5892	1.3975	1.7808
CTRL_rep1	-1100	1.6394	1.4447	1.8342
CTRL_rep1	-1075	1.6427	1.4447	1.8407
CTRL_rep1	-1050	1.8191	1.6177	2.0204
CTRL_rep1	-1025	1.8786	1.6737	2.0834
CTRL_rep1	-1000	1.8496	1.6412	2.0581
CTRL_rep1	-975	2.046	1.8339	2.2581
CTRL_rep1	-950	1.9728	1.7569	2.1886
CTRL_rep1	-925	2.1084	1.8887	2.3281
CTRL_rep1	-900	2.1033	1.8796	2.3269
CTRL_rep1	-875	2.2128	1.9852	2.4404
CTRL_rep1	-850	2.2419	2.0102	2.4736
CTRL_rep1	-825	2.2816	2.0458	2.5174
CTRL_rep1	-800	2.2786	2.0386	2.5185
CTRL_rep1	-775	2.477	2.2328	2.7212
CTRL_rep1	-750	2.4868	2.2383	2.7352
CTRL_rep1	-725	2.5011	2.2483	2.7538
CTRL_rep1	-700	2.5624	2.3053	2.8194
CTRL_rep1	-675	2.7174	2.4559	2.9789
CTRL_rep1	-650	2.8398	2.5737	3.1058
CTRL_rep1	-625	2.8515	2.5806	3.1223
CTRL_rep1	-600	2.87	2.5939	3.146
CTRL_rep1	-575	2.9955	2.7137	3.2773
CTRL_rep1	-550	3.193	2.9046	3.4813
CTRL_rep1	-525	3.281	2.9853	3.5767
CTRL_rep1	-500	3.2468	2.943	3.5506
CTRL_rep1	-475	3.8213	3.509	4.1336
CTRL_rep1	-450	3.6489	3.3281	3.9697
CTRL_rep1	-425	3.7856	3.4568	4.1143
CTRL_rep1	-400	3.9695	3.6336	4.3054
CTRL_rep1	-375	4.2873	3.9449	4.6297
CTRL_rep1	-350	4.2281	3.8791	4.5771
CTRL_rep1	-325	4.3864	4.0292	4.7436
CTRL_rep1	-300	4.553	4.1844	4.9215
CTRL_rep1	-275	4.8263	4.442	5.2107
CTRL_rep1	-250	5.1872	4.7818	5.5927
CTRL_rep1	-225	5.7973	5.3651	6.2296
CTRL_rep1	-200	6.2926	5.8275	6.7578
CTRL_rep1	-175	7.0118	6.5072	7.5164
CTRL_rep1	-150	8.0234	7.4725	8.5743
CTRL_rep1	-125	9.0462	8.4429	9.6496
CTRL_rep1	-100	10.5375	9.8783	11.1967
CTRL_rep1	-75	11.8328	11.1193	12.5463
CTRL_rep1	-50	12.5681	11.8085	13.3277
CTRL_rep1	-25	13.5963	12.8056	14.387
CTRL_rep1	0	14.0002	13.1981	14.8022
CTRL_rep1	25	13.5565	12.7645	14.3484
CTRL_rep1	50	12.8659	12.1036	13.6282
CTRL_rep1	75	12.0068	11.2885	12.7251
CTRL_rep1	100	10.5896	9.9229	11.2563
CTRL_rep1	125	9.2245	8.6106	9.8384
CTRL_rep1	150	8.2763	7.7119	8.8407
CTRL_rep1	175	7.7993	7.2789	8.3197
CTRL_rep1	200	6.5972	6.115	7.0794
CTRL_rep1	225	5.977	5.5277	6.4262
CTRL_rep1	250	5.7196	5.2981	6.141
CTRL_rep1	275	4.8703	4.4714	5.2691
CTRL_rep1	300	4.7483	4.3666	5.13
CTRL_rep1	325	4.5166	4.1473	4.886
CTRL_rep1	350	4.3648	4.0043	4.7252
CTRL_rep1	375	4.4457	4.0926	4.7989
CTRL_rep1	400	3.9554	3.6095	4.3013
CTRL_rep1	425	4.0287	3.691	4.3664
CTRL_rep1	450	3.6889	3.3605	4.0173
CTRL_rep1	475	3.8617	3.5433	4.1801
CTRL_rep1	500	3.4584	3.1501	3.7667
CTRL_rep1	525	3.2909	2.9921	3.5898
CTRL_rep1	550	3.1858	2.8954	3.4762
CTRL_rep1	575	3.0939	2.8108	3.3769
