tool	quality	precision	recall	fpr
deepvariant	100.0	0.9997	0.21186	3e-05
deepvariant	99.17	0.9996	0.23168	4e-05
deepvariant	98.33	0.9994	0.25249	6e-05
deepvariant	97.5	0.9994	0.27425	7e-05
deepvariant	96.67	0.9993	0.2969	9e-05
deepvariant	95.83	0.9991	0.32037	0.00012
deepvariant	95.0	0.9989	0.34458	0.00016
deepvariant	94.17	0.9987	0.36944	0.00021
deepvariant	93.33	0.9985	0.39486	0.00026
deepvariant	92.5	0.9981	0.42074	0.00034
deepvariant	91.67	0.9978	0.44696	0.00043
deepvariant	90.83	0.9973	0.47342	0.00054
deepvariant	90.0	0.9968	0.5	0.00069
deepvariant	89.17	0.9962	0.52658	0.00086
deepvariant	88.33	0.9955	0.55304	0.00108
deepvariant	87.5	0.9946	0.57926	0.00135
deepvariant	86.67	0.9936	0.60514	0.00168
deepvariant	85.83	0.9924	0.63056	0.00207
deepvariant	85.0	0.991	0.65542	0.00256
deepvariant	84.17	0.9894	0.67963	0.00313
deepvariant	83.33	0.9874	0.7031	0.00383
deepvariant	82.5	0.9852	0.72575	0.00466
deepvariant	81.67	0.9827	0.74751	0.00565
deepvariant	80.83	0.9797	0.76832	0.00682
deepvariant	80.0	0.9763	0.78814	0.0082
deepvariant	79.17	0.9724	0.80694	0.00982
deepvariant	78.33	0.9679	0.82468	0.01171
deepvariant	77.5	0.9629	0.84134	0.0139
deepvariant	76.67	0.9571	0.85694	0.01645
deepvariant	75.83	0.9507	0.87146	0.01938
deepvariant	75.0	0.9434	0.88493	0.02275
deepvariant	74.17	0.9353	0.89736	0.0266
deepvariant	73.33	0.9263	0.90879	0.03097
deepvariant	72.5	0.9164	0.91924	0.03593
deepvariant	71.67	0.9055	0.92877	0.04152
deepvariant	70.83	0.8937	0.9374	0.04779
deepvariant	70.0	0.8808	0.9452	0.0548
deepvariant	69.17	0.867	0.95221	0.0626
deepvariant	68.33	0.8522	0.95848	0.07123
deepvariant	67.5	0.8365	0.96407	0.08076
deepvariant	66.67	0.8199	0.96903	0.09121
deepvariant	65.83	0.8025	0.9734	0.10264
deepvariant	65.0	0.7845	0.97725	0.11507
deepvariant	64.17	0.7658	0.98062	0.12854
deepvariant	63.33	0.7466	0.98355	0.14306
deepvariant	62.5	0.727	0.9861	0.15866
deepvariant	61.67	0.7073	0.98829	0.17532
deepvariant	60.83	0.6873	0.99018	0.19306
deepvariant	60.0	0.6674	0.9918	0.21186
deepvariant	59.17	0.6475	0.99318	0.23168
deepvariant	58.33	0.6279	0.99435	0.25249
deepvariant	57.5	0.6087	0.99534	0.27425
deepvariant	56.67	0.5898	0.99617	0.2969
deepvariant	55.83	0.5715	0.99687	0.32037
deepvariant	55.0	0.5537	0.99744	0.34458
deepvariant	54.17	0.5365	0.99793	0.36944
deepvariant	53.33	0.5201	0.99832	0.39486
deepvariant	52.5	0.5043	0.99865	0.42074
deepvariant	51.67	0.4892	0.99892	0.44696
deepvariant	50.83	0.4749	0.99914	0.47342
deepvariant	50.0	0.4614	0.99931	0.5
deepvariant	49.17	0.4486	0.99946	0.52658
deepvariant	48.33	0.4365	0.99957	0.55304
deepvariant	47.5	0.4252	0.99966	0.57926
deepvariant	46.67	0.4145	0.99974	0.60514
deepvariant	45.83	0.4046	0.99979	0.63056
deepvariant	45.0	0.3953	0.99984	0.65542
deepvariant	44.17	0.3867	0.99988	0.67963
deepvariant	43.33	0.3787	0.99991	0.7031
deepvariant	42.5	0.3713	0.99993	0.72575
deepvariant	41.67	0.3644	0.99994	0.74751
deepvariant	40.83	0.3581	0.99996	0.76832
deepvariant	40.0	0.3522	0.99997	0.78814
deepvariant	39.17	0.3469	0.99998	0.80694
deepvariant	38.33	0.342	0.99998	0.82468
deepvariant	37.5	0.3375	0.99999	0.84134
deepvariant	36.67	0.3334	0.99999	0.85694
deepvariant	35.83	0.3297	0.99999	0.87146
deepvariant	35.0	0.3263	0.99999	0.88493
deepvariant	34.17	0.3232	1.0	0.89736
deepvariant	33.33	0.3205	1.0	0.90879
