gene	rep_a	rep_b	mean_expression	regulation
ENSG00000	7.7603	6.5877	7.174	unchanged
ENSG00001	0.9245	0.5416	0.7331	unchanged
ENSG00002	8.4491	8.0348	8.242	unchanged
ENSG00003	3.7063	4.7678	4.2371	unchanged
ENSG00004	0.5385	3.043	1.7908	up in B
ENSG00005	3.102	0.6996	1.9008	down in B
ENSG00006	5.1978	4.539	4.8684	unchanged
ENSG00007	6.0357	2.3176	4.1767	down in B
ENSG00008	2.5986	1.9737	2.2862	unchanged
ENSG00009	1.5218	1.9253	1.7236	unchanged
ENSG00010	3.8173	2.9992	3.4082	unchanged
ENSG00011	2.0506	2.9009	2.4758	unchanged
ENSG00012	5.7617	5.6674	5.7145	unchanged
ENSG00013	1.349	2.2291	1.789	unchanged
ENSG00014	3.4252	3.3615	3.3933	unchanged
ENSG00015	3.7382	3.1079	3.4231	unchanged
ENSG00016	2.6439	2.1122	2.378	unchanged
ENSG00017	3.0735	0.4108	1.7422	down in B
ENSG00018	0.7195	0.8952	0.8073	up in B
ENSG00019	6.6113	7.3378	6.9746	unchanged
ENSG00020	5.9308	6.6481	6.2895	unchanged
ENSG00021	12.1275	12.2877	12.2076	unchanged
ENSG00022	7.9352	7.3284	7.6318	unchanged
ENSG00023	7.5236	7.0549	7.2893	unchanged
ENSG00024	2.329	2.1037	2.2164	unchanged
ENSG00025	1.3153	2.2876	1.8015	unchanged
ENSG00026	3.1278	3.0929	3.1104	unchanged
ENSG00027	1.1024	1.2014	1.1519	unchanged
ENSG00028	2.1222	0.6154	1.3688	down in B
ENSG00029	3.0328	3.4764	3.2546	unchanged
ENSG00030	3.619	3.1179	3.3685	unchanged
ENSG00031	17.6627	16.2544	16.9586	unchanged
ENSG00032	0.4043	1.0066	0.7054	unchanged
ENSG00033	4.7695	4.2954	4.5324	unchanged
ENSG00034	0.9871	1.1754	1.0813	unchanged
ENSG00035	3.8182	2.7074	3.2628	unchanged
ENSG00036	4.3079	10.1833	7.2456	up in B
ENSG00037	3.009	0.6397	1.8243	down in B
ENSG00038	3.0982	3.1318	3.115	unchanged
ENSG00039	0.8259	1.3999	1.1129	unchanged
ENSG00040	14.667	13.3304	13.9987	unchanged
ENSG00041	2.803	2.9266	2.8648	unchanged
ENSG00042	0.9255	1.2616	1.0935	unchanged
ENSG00043	1.2641	1.8116	1.5379	unchanged
ENSG00044	2.8549	3.0303	2.9426	unchanged
ENSG00045	2.1748	2.0807	2.1277	unchanged
ENSG00046	3.614	5.5715	4.5927	up in B
ENSG00047	3.3605	3.9186	3.6395	unchanged
ENSG00048	0.8929	1.0505	0.9717	unchanged
ENSG00049	6.0665	6.7243	6.3954	unchanged
ENSG00050	1.7137	1.2003	1.457	unchanged
ENSG00051	1.4217	2.3641	1.8929	unchanged
ENSG00052	6.0795	6.4152	6.2473	unchanged
ENSG00053	1.8859	2.9415	2.4137	unchanged
ENSG00054	25.3524	24.0658	24.7091	unchanged
ENSG00055	1.9439	2.3544	2.1492	unchanged
ENSG00056	19.446	19.9373	19.6917	unchanged
ENSG00057	2.7795	3.3024	3.041	unchanged
ENSG00058	1.5746	2.2345	1.9045	unchanged
ENSG00059	0.6294	0.9201	0.7748	unchanged
ENSG00060	9.9508	8.5837	9.2673	unchanged
