cluster_id	representative	sample	members
6004	ERZ1664524!ERZ1664524.15421-NODE-15421-length-576-cov-1.763916!ERZ1664524.15421-NODE-15421-length-576-cov-1.763916_1	ERZ1664524	36
2267	ERZ1664510!ERZ1664510.10880-NODE-10880-length-635-cov-1.296552!ERZ1664510.10880-NODE-10880-length-635-cov-1.296552_1	ERZ1664510	20
5388	ERZ1664503!ERZ1664503.18385-NODE-18385-length-554-cov-1.949900!ERZ1664503.18385-NODE-18385-length-554-cov-1.949900_2	ERZ1664503	16
385	ERZ1664510!ERZ1664510.63-NODE-63-length-14172-cov-6.149749!ERZ1664510.63-NODE-63-length-14172-cov-6.149749_13	ERZ1664510	14
3058	ERZ1664518!ERZ1664518.5335-NODE-5335-length-802-cov-2.504685!ERZ1664518.5335-NODE-5335-length-802-cov-2.504685_1	ERZ1664518	12
6449	ERZ1664518!ERZ1664518.5468-NODE-5468-length-792-cov-1.792402!ERZ1664518.5468-NODE-5468-length-792-cov-1.792402_2	ERZ1664518	12
5086	ERZ1664505!ERZ1664505.7652-NODE-7652-length-766-cov-1.966245!ERZ1664505.7652-NODE-7652-length-766-cov-1.966245_1	ERZ1664505	11
518	ERZ1664515!ERZ1664515.7234-NODE-7234-length-650-cov-1.956303!ERZ1664515.7234-NODE-7234-length-650-cov-1.956303_1	ERZ1664515	9
1793	ERZ1664524!ERZ1664524.687-NODE-687-length-3225-cov-5.755205!ERZ1664524.687-NODE-687-length-3225-cov-5.755205_2	ERZ1664524	9
1804	ERZ1664510!ERZ1664510.148-NODE-148-length-7684-cov-5.662865!ERZ1664510.148-NODE-148-length-7684-cov-5.662865_7	ERZ1664510	9
1903	ERZ1664524!ERZ1664524.852-NODE-852-length-2821-cov-4.245842!ERZ1664524.852-NODE-852-length-2821-cov-4.245842_2	ERZ1664524	9
5732	ERZ1664524!ERZ1664524.14957-NODE-14957-length-584-cov-2.340265!ERZ1664524.14957-NODE-14957-length-584-cov-2.340265_2	ERZ1664524	9
1945	ERZ1664523!ERZ1664523.88-NODE-88-length-7464-cov-5.326765!ERZ1664523.88-NODE-88-length-7464-cov-5.326765_3	ERZ1664523	8
4674	ERZ1664521!ERZ1664521.11185-NODE-11185-length-698-cov-1.390358!ERZ1664521.11185-NODE-11185-length-698-cov-1.390358_2	ERZ1664521	8
4883	ERZ1664515!ERZ1664515.779-NODE-779-length-1833-cov-2.705849!ERZ1664515.779-NODE-779-length-1833-cov-2.705849_2	ERZ1664515	8
5105	ERZ1664521!ERZ1664521.594-NODE-594-length-2275-cov-3.320721!ERZ1664521.594-NODE-594-length-2275-cov-3.320721_1	ERZ1664521	8
5291	ERZ1664518!ERZ1664518.1237-NODE-1237-length-1540-cov-2.484175!ERZ1664518.1237-NODE-1237-length-1540-cov-2.484175_3	ERZ1664518	8
1061	ERZ1664528!ERZ1664528.753-NODE-753-length-3024-cov-2.413607!ERZ1664528.753-NODE-753-length-3024-cov-2.413607_2	ERZ1664528	7
1779	ERZ1664517!ERZ1664517.239-NODE-239-length-3840-cov-4.086922!ERZ1664517.239-NODE-239-length-3840-cov-4.086922_4	ERZ1664517	7
1840	ERZ1664523!ERZ1664523.2193-NODE-2193-length-1123-cov-2.234082!ERZ1664523.2193-NODE-2193-length-1123-cov-2.234082_1	ERZ1664523	7
2392	ERZ1664523!ERZ1664523.2990-NODE-2990-length-976-cov-1.115092!ERZ1664523.2990-NODE-2990-length-976-cov-1.115092_1	ERZ1664523	7
3319	ERZ1664501!ERZ1664501.18508-NODE-18508-length-536-cov-2.155925!ERZ1664501.18508-NODE-18508-length-536-cov-2.155925_1	ERZ1664501	7
3504	ERZ1664515!ERZ1664515.125-NODE-125-length-7416-cov-11.415840!ERZ1664515.125-NODE-125-length-7416-cov-11.415840_7	ERZ1664515	7
