gene_id	gene_biotype	K562_R2	K562_R1	A549_R3	A549_R1	K562_R3	A549_R2
ENSG00000205426	protein_coding	0.0	0.0	9856.0	19500.0	0.0	18511.0
ENSG00000210082	Mt_rRNA	372.0	4963.0	3613.0	5678.0	19214.0	10309.0
ENSG00000198786	protein_coding	6799.0	5809.0	7073.0	316.0	13749.0	9500.0
ENSG00000196565	protein_coding	5945.0	7729.0	0.0	0.0	27642.0	0.0
ENSG00000087086	protein_coding	525.0	1492.0	5823.0	9182.0	4465.0	8131.0
ENSG00000198886	protein_coding	2705.0	1330.0	1924.0	225.0	16814.0	5487.0
ENSG00000198938	protein_coding	2368.0	1094.0	925.0	59.0	12436.0	10420.0
ENSG00000236552	pseudogene	2225.0	4192.0	2818.0	8953.0	4860.0	2951.0
ENSG00000075624	protein_coding	390.0	1983.0	3297.0	11426.0	2023.0	6257.0
ENSG00000111640	protein_coding	349.0	1661.0	4154.0	6726.0	3859.0	8274.0
ENSG00000105372	protein_coding	1136.0	2720.0	2724.0	11869.0	3013.0	3080.0
ENSG00000140988	protein_coding	1956.0	2346.0	3189.0	4815.0	6485.0	4602.0
ENSG00000197956	protein_coding	24.0	142.0	3642.0	12525.0	173.0	4175.0
ENSG00000156508	protein_coding	2262.0	2211.0	2124.0	1829.0	7153.0	4957.0
ENSG00000234851	pseudogene	1276.0	2733.0	2217.0	7418.0	4059.0	2275.0
