transcript_id	gene_id	K562_R2	K562_R1	A549_R3	A549_R1	K562_R3	A549_R2
ENST00000327741	ENSG00000205426	0.0	0.0	9856.0	19500.0	0.0	18511.0
ENST00000387347	ENSG00000210082	372.0	4963.0	3613.0	5678.0	19214.0	10309.0
ENST00000361567	ENSG00000198786	6799.0	5809.0	7073.0	316.0	13749.0	9500.0
ENST00000380259	ENSG00000196565	5945.0	7729.0	0.0	0.0	27642.0	0.0
ENST00000331825	ENSG00000087086	525.0	1492.0	5823.0	9182.0	4465.0	8131.0
ENST00000361381	ENSG00000198886	2705.0	1330.0	1924.0	225.0	16814.0	5487.0
ENST00000362079	ENSG00000198938	2368.0	1094.0	925.0	59.0	12436.0	10420.0
ENST00000439189	ENSG00000236552	2225.0	4192.0	2818.0	8953.0	4860.0	2951.0
ENST00000331789	ENSG00000075624	390.0	1983.0	3297.0	11426.0	2023.0	6257.0
ENST00000229239	ENSG00000111640	349.0	1661.0	4154.0	6726.0	3859.0	8274.0
ENST00000598742	ENSG00000105372	1136.0	2720.0	2724.0	11869.0	3013.0	3080.0
ENST00000343262	ENSG00000140988	1956.0	2346.0	3189.0	4815.0	6485.0	4602.0
ENST00000309268	ENSG00000156508	2262.0	2211.0	2124.0	1829.0	7153.0	4957.0
ENST00000438478	ENSG00000234851	1276.0	2733.0	2217.0	7418.0	4059.0	2275.0
ENST00000368719	ENSG00000197956	23.9999998211861	135.104720657432	3493.0720985679	12015.0471062171	167.086320506234	3985.19668726627
