sample	condition	transcript_id	gene_id	gene_biotype	count	cpm	log_cpm
A549_R1	A549	ENST00000000233	ENSG00000004059	protein_coding	83.0	65.03983493986948	6.045264609267405
A549_R1	A549	ENST00000000412	ENSG00000003056	protein_coding	83.0	65.03983493986948	6.045264609267405
A549_R1	A549	ENST00000000442	ENSG00000173153	protein_coding	0.0	0.0	0.0
A549_R1	A549	ENST00000001008	ENSG00000004478	protein_coding	116.0	90.89904642198627	6.521977986549561
A549_R1	A549	ENST00000001146	ENSG00000003137	protein_coding	3.0	2.350837407465162	1.7445216844132723
A549_R1	A549	ENST00000002125	ENSG00000003509	protein_coding	17.0	13.321411975635918	3.8401018325891227
A549_R1	A549	ENST00000002165	ENSG00000001036	protein_coding	77.0	60.33816012493916	5.938712987634526
A549_R1	A549	ENST00000002501	ENSG00000003249	protein_coding	14.0	10.970574568170756	3.581420495853549
A549_R1	A549	ENST00000002596	ENSG00000002587	protein_coding	4.0	3.134449876620216	2.047695379439805
A549_R1	A549	ENST00000002829	ENSG00000001617	protein_coding	0.0	0.0	0.0
A549_R1	A549	ENST00000003100	ENSG00000001630	protein_coding	433.0	339.3041991441384	8.410681143155365
A549_R1	A549	ENST00000003302	ENSG00000048028	protein_coding	5.0	3.91806234577527	2.298090023947961
