sample	caller	n_records	n_no_alts	n_snps	n_mnps	n_indels	n_others	n_multiallelic_sites	n_multiallelic_snp_sites	snp_fraction	log10_n_records
NA12878_200M	deepvariant	53631	0	47040	0	6596	6	96	20	0.8771	4.7294
NA12878_200M	freebayes	42747	0	38501	870	3382	182	377	15	0.9007	4.6309
NA12878_200M	haplotypecaller	45266	0	41163	0	4114	0	262	19	0.9094	4.6558
NA12878_200M	manta	72	0	0	0	15	37	0	0	0.0	1.8633
NA12878_200M	strelka	44701	0	41177	0	3524	0	256	30	0.9212	4.6503
NA12878_75M	deepvariant	52603	0	46723	0	5886	3	88	13	0.8882	4.721
NA12878_75M	freebayes	41690	0	37782	818	3095	171	326	10	0.9063	4.62
NA12878_75M	haplotypecaller	44387	0	40521	0	3877	0	224	17	0.9129	4.6473
NA12878_75M	manta	57	0	0	0	7	32	0	0	0.0	1.7634
NA12878_75M	strelka	45914	0	42620	0	3294	0	184	26	0.9283	4.662
