sample	graphclust	cluster_label	n_cells	pct_cells	median_n_umi	median_n_genes	median_pct_mito	pct_flagged	pct_cellbender_cell
pbmc8k	C1	C1 VPREB3/OSBPL10	1249	14.246606592905211	4215.0	1729.0	0.0	0.5604483586869495	99.67974379503602
pbmc8k	C10	C10 BNC2/SPON2	264	3.0112923462986196	3996.0	2003.0	0.0	0.0	100.0
pbmc8k	C11	C11	259	2.954260294285388	1355.0	898.0	0.0	22.393822393822393	96.52509652509652
pbmc8k	C12	C12 LYPD2/MEG3	256	2.9200410630774494	8459.5	2830.0	0.0	0.0	100.0
pbmc8k	C13	C13 FAAH2	251	2.863009011064218	4794.0	1828.0	0.0	0.0	100.0
pbmc8k	C14	C14	129	1.471426941941371	8670.0	2954.0	0.0	0.0	100.0
pbmc8k	C2	C2 FCAR/CLEC4E	1189	13.562221968746435	5353.0	2027.0	0.0	0.0	100.0
pbmc8k	C3	C3 LOC101060038/AK5	1039	11.851260408349493	4772.0	1681.0	0.0	0.0962463907603465	100.0
pbmc8k	C4	C4 TARP/GZMK	1023	11.668757841907151	4415.0	1893.0	0.0	0.4887585532746823	99.90224828934507
pbmc8k	C5	C5 LOC101060038/AK5	952	10.858902703319265	5081.5	1868.0	0.0	0.0	100.0
pbmc8k	C6	C6 LMNA/AQP3	939	10.710619368084863	5724.0	2075.0	0.0	0.0	100.0
pbmc8k	C7	C7 PF4/PPBP	570	6.501653929508383	2482.0	1164.5	0.0	8.947368421052632	98.24561403508771
pbmc8k	C8	C8 FCER1A/FLT3	340	3.8781795368997374	12667.5	3588.5	0.0	0.0	100.0
pbmc8k	C9	C9 LEF1/C14orf64	307	3.5017679936124098	4221.0	1573.0	0.0	0.0	100.0
