sample	resolution	cluster	cluster_label	rank_in_cluster	gene_id	gene	mean_counts	log2fc	adjusted_pvalue
pbmc8k	graphclust	Cluster 1	C1 VPREB3/OSBPL10	1	OSBPL10	OSBPL10	2.896799722190249	6.5409940299474965	6.677151185825382e-134
pbmc8k	graphclust	Cluster 1	C1 VPREB3/OSBPL10	2	CD79A	CD79A	5.9775232362655935	6.106710636742871	2.98983106244493e-130
pbmc8k	graphclust	Cluster 1	C1 VPREB3/OSBPL10	3	PAX5	PAX5	2.8135583508629427	6.309716090985854	1.5457838483727178e-128
pbmc8k	graphclust	Cluster 1	C1 VPREB3/OSBPL10	4	LINC00926	LINC00926	2.5939596855518596	6.349314748460083	7.242182897334487e-128
pbmc8k	graphclust	Cluster 1	C1 VPREB3/OSBPL10	5	BANK1	BANK1	6.488070313739737	5.81776182226478	1.4590529468535014e-121
pbmc8k	graphclust	Cluster 1	C1 VPREB3/OSBPL10	6	FCRL1	FCRL1	2.21422047730634	6.15345464451716	4.252282087587191e-121
pbmc8k	kmeans_2	Cluster 1	k2 C1 CCR7/LBH	1	CSTA	CSTA	0.03528184074056835	-6.480355364616249	1.9473140062160764e-145
pbmc8k	kmeans_2	Cluster 1	k2 C1 CCR7/LBH	2	LYZ	LYZ	0.6194941387175118	-6.151522927172489	3.782092336201653e-145
pbmc8k	kmeans_2	Cluster 1	k2 C1 CCR7/LBH	3	SLC8A1	SLC8A1	0.02428490336688471	-6.619378171576804	4.731836638534162e-144
pbmc8k	kmeans_2	Cluster 1	k2 C1 CCR7/LBH	4	VCAN	VCAN	0.0522354525249973	-6.339680791523204	1.0833619452951511e-140
pbmc8k	kmeans_2	Cluster 1	k2 C1 CCR7/LBH	5	CST3	CST3	0.28286566688975145	-5.92410413859449	9.41408676525918e-138
pbmc8k	kmeans_2	Cluster 1	k2 C1 CCR7/LBH	6	MNDA	MNDA	0.06506521279429488	-6.085650597766677	1.1975678277403833e-135
pbmc8k	kmeans_10	Cluster 1	k10 C1 AK5/LOC101060038	1	LRRN3	LRRN3	0.3720610250404342	3.8435632283147623	7.830421918171684e-52
pbmc8k	kmeans_10	Cluster 1	k10 C1 AK5/LOC101060038	3	CSTA	CSTA	0.026778656109780433	-5.701232358634587	1.1016367586100494e-50
pbmc8k	kmeans_10	Cluster 1	k10 C1 AK5/LOC101060038	2	LYZ	LYZ	0.5116346265823201	-5.270206647385825	1.1016367586100494e-50
pbmc8k	kmeans_10	Cluster 1	k10 C1 AK5/LOC101060038	4	HDAC9	HDAC9	0.024749970040857674	-5.628598826377083	5.1831176469726525e-50
pbmc8k	kmeans_10	Cluster 1	k10 C1 AK5/LOC101060038	5	MNDA	MNDA	0.043819619088731616	-5.493219689268066	1.7137240189874446e-49
pbmc8k	kmeans_10	Cluster 1	k10 C1 AK5/LOC101060038	7	HLA-DQA1	HLA-DQA1	0.09007366146017055	-5.210415687929446	6.756209460533966e-48
