cluster_label	gene	mean_expression	frac_expressing
C1 VPREB3/OSBPL10	ANKRD55	0.011156678221332305	0.01120896717373899
C1 VPREB3/OSBPL10	BANK1	2.5489060398008694	0.9839871897518014
C1 VPREB3/OSBPL10	BNC2	0.008445341566606196	0.007205764611689352
C1 VPREB3/OSBPL10	C10orf11	0.022730751871479337	0.020016012810248198
C1 VPREB3/OSBPL10	CA6	0.003816434599095996	0.004803843074459567
C1 VPREB3/OSBPL10	CCL5	0.14688136520308437	0.10488390712570056
C1 VPREB3/OSBPL10	CCNL2	0.17754845301997613	0.1521216973578863
C1 VPREB3/OSBPL10	CD14	0.022910052297125838	0.021617293835068056
C1 VPREB3/OSBPL10	CD79A	2.4792596099619995	0.9799839871897518
C1 VPREB3/OSBPL10	CDKN1C	0.0016306437069561802	0.0016012810248198558
C1 VPREB3/OSBPL10	CLEC10A	0.010071690675053323	0.008807045636509208
C1 VPREB3/OSBPL10	CLEC4E	0.0034976665230446705	0.0032025620496397116
C1 VPREB3/OSBPL10	CST7	0.04254250266635626	0.0344275420336269
C1 VPREB3/OSBPL10	CSTA	0.029495672751331727	0.025620496397117692
C1 VPREB3/OSBPL10	CYP1B1	0.0018806926644979842	0.0016012810248198558
C1 VPREB3/OSBPL10	ENHO	0.0026136519335751185	0.0024019215372297837
C1 VPREB3/OSBPL10	FAM49A	0.28645702825247465	0.23298638911128902
C1 VPREB3/OSBPL10	FCAR	0.004643726780019078	0.0040032025620496394
C1 VPREB3/OSBPL10	FCER1A	0.014262126961461214	0.01200960768614892
C1 VPREB3/OSBPL10	FCGR3A	0.018590072131223462	0.016813450760608487
C1 VPREB3/OSBPL10	FGFBP2	0.015542900540471286	0.01521216973578863
C1 VPREB3/OSBPL10	FLT3	0.00656614096441657	0.006405124099279423
C1 VPREB3/OSBPL10	GZMH	0.01236042875544441	0.009607686148919135
C1 VPREB3/OSBPL10	GZMK	0.050842890643808814	0.040032025620496396
C1 VPREB3/OSBPL10	HCK	0.24616180581588848	0.19615692554043235
C1 VPREB3/OSBPL10	HDAC9	1.0906696562358345	0.6493194555644516
C1 VPREB3/OSBPL10	HES4	0.006528030575639501	0.006405124099279423
C1 VPREB3/OSBPL10	IL1B	0.0250265931335339	0.021617293835068056
C1 VPREB3/OSBPL10	KLRF1	0.013501558312502935	0.012810248198558846
C1 VPREB3/OSBPL10	LINC00282	0.004457255236531623	0.004803843074459567
