sample	contig	region_id	tool	product_class	start	end	strand	length_kb	cds_count	complete
ERZ1664501	ERZ1664501.1555-NODE-1555-length-1659-cov-3.309227	antiSMASH Terpene-precursor ERZ1664501.1555-NODE-1555-length-1659-cov-3.309227:1-1659	antiSMASH	Terpene-precursor	1	1659	.	1.659	3	No
ERZ1664501	ERZ1664501.1769-NODE-1769-length-1568-cov-2.917383	antiSMASH Terpene-precursor ERZ1664501.1769-NODE-1769-length-1568-cov-2.917383:1-1568	antiSMASH	Terpene-precursor	1	1568	.	1.568	1	No
ERZ1664501	ERZ1664501.1785-NODE-1785-length-1564-cov-1.431412	antiSMASH NRPS-like ERZ1664501.1785-NODE-1785-length-1564-cov-1.431412:1-1564	antiSMASH	NRPS-like	1	1564	.	1.564	1	No
ERZ1664501	ERZ1664501.1800-NODE-1800-length-1558-cov-2.355955	antiSMASH Terpene-precursor ERZ1664501.1800-NODE-1800-length-1558-cov-2.355955:1-1558	antiSMASH	Terpene-precursor	1	1558	.	1.558	3	No
ERZ1664501	ERZ1664501.2146-NODE-2146-length-1444-cov-1.557955	antiSMASH Ranthipeptide ERZ1664501.2146-NODE-2146-length-1444-cov-1.557955:1-1444	antiSMASH	Ranthipeptide	1	1444	.	1.444	2	No
ERZ1664501	ERZ1664501.2734-NODE-2734-length-1295-cov-1.580645	antiSMASH Terpene-precursor ERZ1664501.2734-NODE-2734-length-1295-cov-1.580645:1-1295	antiSMASH	Terpene-precursor	1	1295	.	1.295	2	No
ERZ1664501	ERZ1664501.581-NODE-581-length-2468-cov-4.310816	antiSMASH Terpene-precursor ERZ1664501.581-NODE-581-length-2468-cov-4.310816:1-2468	antiSMASH	Terpene-precursor	1	2468	.	2.468	2	No
ERZ1664503	ERZ1664503.1225-NODE-1225-length-1856-cov-1.716269	antiSMASH NRPS-like ERZ1664503.1225-NODE-1225-length-1856-cov-1.716269:1-1856	antiSMASH	NRPS-like	1	1856	.	1.856	1	No
ERZ1664503	ERZ1664503.1459-NODE-1459-length-1729-cov-3.277180	antiSMASH NRPS ERZ1664503.1459-NODE-1459-length-1729-cov-3.277180:1-1729	antiSMASH	NRPS	1	1729	.	1.729	1	No
ERZ1664503	ERZ1664503.1478-NODE-1478-length-1719-cov-25.434495	antiSMASH Lassopeptide ERZ1664503.1478-NODE-1478-length-1719-cov-25.434495:1-1719	antiSMASH	Lassopeptide	1	1719	.	1.719	2	No
ERZ1664503	ERZ1664503.1506-NODE-1506-length-1707-cov-1.569007	antiSMASH RRE-containing ERZ1664503.1506-NODE-1506-length-1707-cov-1.569007:1-1707	antiSMASH	RRE-containing	1	1707	.	1.707	2	No
ERZ1664503	ERZ1664503.2010-NODE-2010-length-1491-cov-3.007660	antiSMASH Terpene-precursor ERZ1664503.2010-NODE-2010-length-1491-cov-3.007660:1-1491	antiSMASH	Terpene-precursor	1	1491	.	1.491	2	No
ERZ1664503	ERZ1664503.2305-NODE-2305-length-1403-cov-2.109792	antiSMASH Arylpolyene ERZ1664503.2305-NODE-2305-length-1403-cov-2.109792:1-1403	antiSMASH	Arylpolyene	1	1403	.	1.403	2	No
ERZ1664503	ERZ1664503.232-NODE-232-length-3593-cov-4.381006	antiSMASH Terpene ERZ1664503.232-NODE-232-length-3593-cov-4.381006:1-3593	antiSMASH	Terpene	1	3593	.	3.593	4	No
ERZ1664503	ERZ1664503.2873-NODE-2873-length-1273-cov-2.353038	antiSMASH Terpene-precursor ERZ1664503.2873-NODE-2873-length-1273-cov-2.353038:1-1273	antiSMASH	Terpene-precursor	1	1273	.	1.2730000000000001	2	No
ERZ1664503	ERZ1664503.33-NODE-33-length-6608-cov-5.631467	antiSMASH Terpene ERZ1664503.33-NODE-33-length-6608-cov-5.631467:1-6608	antiSMASH	Terpene	1	6608	.	6.6080000000000005	8	No
