sample	end	position	base_change	frequency
COD076E1bL1	3p	0	C>T	0.009407
COD076E1bL1	3p	0	G>A	0.144072
COD076E1bL1	3p	0	other	0.02275
COD076E1bL1	3p	1	C>T	0.004157
COD076E1bL1	3p	1	G>A	0.091195
COD076E1bL1	3p	1	other	0.019304
COD076E1bL1	3p	2	C>T	0.004198
COD076E1bL1	3p	2	G>A	0.074365
COD076E1bL1	3p	2	other	0.016281
COD076E1bL1	5p	0	C>T	0.143623
COD076E1bL1	5p	0	G>A	0.007979
COD076E1bL1	5p	0	other	0.022613
COD076E1bL1	5p	1	C>T	0.091
COD076E1bL1	5p	1	G>A	0.00395
COD076E1bL1	5p	1	other	0.019239
COD076E1bL1	5p	2	C>T	0.075147
COD076E1bL1	5p	2	G>A	0.003951
COD076E1bL1	5p	2	other	0.01623
