sample	cgc_id	contig	pul_id	substrate	bitscore	sub_substrate	sub_score	clusters
ERZ1664501	ERZ1664501.604-NODE-604-length-2423-cov-2.154139|CGC23	ERZ1664501.604-NODE-604-length-2423-cov-2.154139	PUL0765	Inulin	1101.0			1
ERZ1664503	ERZ1664503.178-NODE-178-length-4048-cov-3.806411|CGC10	ERZ1664503.178-NODE-178-length-4048-cov-3.806411	PUL0334	beta-glucan	1601.0			1
ERZ1664504	ERZ1664504.619-NODE-619-length-2577-cov-2.798573|CGC29	ERZ1664504.619-NODE-619-length-2577-cov-2.798573	PUL0609	human milk oligosaccharide	1083.0			1
ERZ1664505	ERZ1664505.246-NODE-246-length-2401-cov-3.436488|CGC6	ERZ1664505.246-NODE-246-length-2401-cov-3.436488	PUL0787	pectic polysaccharide	609.0			1
ERZ1664505	ERZ1664505.60-NODE-60-length-3678-cov-5.090257|CGC12	ERZ1664505.60-NODE-60-length-3678-cov-5.090257	PUL0698	beta-mannan 	417.1			1
ERZ1664506	ERZ1664506.215-NODE-215-length-5117-cov-8.065192|CGC16	ERZ1664506.215-NODE-215-length-5117-cov-8.065192	PUL0408	beta-mannan	1818.0			1
ERZ1664506	ERZ1664506.245-NODE-245-length-4781-cov-5.710749|CGC17	ERZ1664506.245-NODE-245-length-4781-cov-5.710749	PUL0478	alpha-mannan	291.0			1
ERZ1664506	ERZ1664506.34-NODE-34-length-13744-cov-8.513916|CGC20	ERZ1664506.34-NODE-34-length-13744-cov-8.513916	PUL0008	fructan	2863.0			1
ERZ1664506	ERZ1664506.44-NODE-44-length-11744-cov-7.909402|CGC24	ERZ1664506.44-NODE-44-length-11744-cov-7.909402	PUL0345	xylan	3201.0			1
ERZ1664506	ERZ1664506.48-NODE-48-length-11446-cov-8.609692|CGC25	ERZ1664506.48-NODE-48-length-11446-cov-8.609692	PUL0554	starch	3401.0	alpha-glucan	2.0	1
ERZ1664506	ERZ1664506.59-NODE-59-length-10555-cov-5.941333|CGC28	ERZ1664506.59-NODE-59-length-10555-cov-5.941333	PUL0334	beta-glucan	1712.0			1
ERZ1664506	ERZ1664506.73-NODE-73-length-9530-cov-8.450026|CGC30	ERZ1664506.73-NODE-73-length-9530-cov-8.450026	PUL0663	arabinogalactan	2605.0	arabinogalactan	2.0	1
ERZ1664506	ERZ1664506.834-NODE-834-length-1599-cov-4.928756|CGC33	ERZ1664506.834-NODE-834-length-1599-cov-4.928756	PUL0648	xylan	986.0			1
ERZ1664508	ERZ1664508.11-NODE-11-length-16872-cov-3.811322|CGC1	ERZ1664508.11-NODE-11-length-16872-cov-3.811322		unassigned		hostglycan	2.0	1
ERZ1664509	ERZ1664509.1818-NODE-1818-length-1137-cov-1.154344|CGC6	ERZ1664509.1818-NODE-1818-length-1137-cov-1.154344	PUL0048	trehalose	411.7			1
ERZ1664509	ERZ1664509.922-NODE-922-length-1670-cov-2.034675|CGC25	ERZ1664509.922-NODE-922-length-1670-cov-2.034675	PUL0048	trehalose	473.0			1
ERZ1664509	ERZ1664509.932-NODE-932-length-1657-cov-4.313983|CGC26	ERZ1664509.932-NODE-932-length-1657-cov-4.313983	PUL0186	cellobiose	509.3			1
ERZ1664510	ERZ1664510.11-NODE-11-length-34589-cov-9.527191|CGC5	ERZ1664510.11-NODE-11-length-34589-cov-9.527191	PUL0472	mucin	6746.0	hostglycan	3.0	1
ERZ1664510	ERZ1664510.59-NODE-59-length-14704-cov-9.662844|CGC33	ERZ1664510.59-NODE-59-length-14704-cov-9.662844	PUL0117	host glycan	5183.0			1
ERZ1664510	ERZ1664510.67-NODE-67-length-13821-cov-8.012131|CGC36	ERZ1664510.67-NODE-67-length-13821-cov-8.012131	PUL0050	cellulose	734.0			1
ERZ1664510	ERZ1664510.9-NODE-9-length-36149-cov-9.118441|CGC44	ERZ1664510.9-NODE-9-length-36149-cov-9.118441	PUL0756	N-glycan	3055.0	hostglycan	3.0	1
ERZ1664511	ERZ1664511.17-NODE-17-length-43117-cov-8.619920|CGC11	ERZ1664511.17-NODE-17-length-43117-cov-8.619920	PUL0117	host glycan	5183.0			1
ERZ1664511	ERZ1664511.2-NODE-2-length-138554-cov-9.083423|CGC14	ERZ1664511.2-NODE-2-length-138554-cov-9.083423	PUL0747	Fuzhuan brick tea polysaccharide-3 (FBTPS-3) consist of rhamnose and galacturonic acid (can group to rhamnogalacturonan/pectic polysaccharide)	586.0			1
ERZ1664511	ERZ1664511.22-NODE-22-length-39342-cov-9.028203|CGC16	ERZ1664511.22-NODE-22-length-39342-cov-9.028203	PUL0472	mucin	5850.0	hostglycan	3.0	1
ERZ1664511	ERZ1664511.30-NODE-30-length-33730-cov-9.968374|CGC19	ERZ1664511.30-NODE-30-length-33730-cov-9.968374	PUL0050	cellulose	734.0			1
ERZ1664511	ERZ1664511.70-NODE-70-length-14674-cov-8.480471|CGC41	ERZ1664511.70-NODE-70-length-14674-cov-8.480471	PUL0236	alpha-glucan	1664.4			1
ERZ1664515	ERZ1664515.15-NODE-15-length-40660-cov-8.936436|CGC8	ERZ1664515.15-NODE-15-length-40660-cov-8.936436	PUL0472	mucin	5856.0	hostglycan	3.0	1
ERZ1664515	ERZ1664515.5-NODE-5-length-55861-cov-9.061158|CGC33	ERZ1664515.5-NODE-5-length-55861-cov-9.061158	PUL0747	Fuzhuan brick tea polysaccharide-3 (FBTPS-3) consist of rhamnose and galacturonic acid (can group to rhamnogalacturonan/pectic polysaccharide)	586.0			1
ERZ1664516	ERZ1664516.10-NODE-10-length-34629-cov-10.206224|CGC1	ERZ1664516.10-NODE-10-length-34629-cov-10.206224	PUL0117	host glycan	5183.0			1
ERZ1664516	ERZ1664516.124-NODE-124-length-8216-cov-8.522975|CGC6	ERZ1664516.124-NODE-124-length-8216-cov-8.522975	PUL0756	N-glycan	2691.0			1
ERZ1664516	ERZ1664516.181-NODE-181-length-5609-cov-8.040871|CGC13	ERZ1664516.181-NODE-181-length-5609-cov-8.040871	PUL0050	cellulose	734.0			1
ERZ1664516	ERZ1664516.3-NODE-3-length-59522-cov-8.967007|CGC24	ERZ1664516.3-NODE-3-length-59522-cov-8.967007	PUL0204	starch	3079.0			1
ERZ1664517	ERZ1664517.2831-NODE-2831-length-980-cov-1.258378|CGC20	ERZ1664517.2831-NODE-2831-length-980-cov-1.258378	PUL0041	cellobiose	315.9			1
ERZ1664518	ERZ1664518.276-NODE-276-length-3834-cov-4.491929|CGC12	ERZ1664518.276-NODE-276-length-3834-cov-4.491929	PUL0165	beta-mannan	228.7			1
ERZ1664518	ERZ1664518.565-NODE-565-length-2352-cov-2.891162|CGC24	ERZ1664518.565-NODE-565-length-2352-cov-2.891162	PUL0748	glycogen	464.6			1
ERZ1664518	ERZ1664518.6036-NODE-6036-length-760-cov-1.017021|CGC26	ERZ1664518.6036-NODE-6036-length-760-cov-1.017021	PUL0048	trehalose	234.3			1
ERZ1664518	ERZ1664518.7-NODE-7-length-17640-cov-4.793517|CGC29	ERZ1664518.7-NODE-7-length-17640-cov-4.793517	PUL0756	N-glycan	2941.0	hostglycan	2.0	1
ERZ1664518	ERZ1664518.98-NODE-98-length-6826-cov-4.316940|CGC32	ERZ1664518.98-NODE-98-length-6826-cov-4.316940	PUL0680	xyloglucan	330.6			1
ERZ1664520	ERZ1664520.10-NODE-10-length-17173-cov-6.799159|CGC1	ERZ1664520.10-NODE-10-length-17173-cov-6.799159	PUL0663	arabinogalactan	3448.0	arabinogalactan	3.0	1
ERZ1664520	ERZ1664520.105-NODE-105-length-7593-cov-6.460998|CGC3	ERZ1664520.105-NODE-105-length-7593-cov-6.460998	PUL0761	Hemicellulose	2365.0			1
