contrast	gene_id	bins_tested	bins_significant	top_bin	log2fc	abs_log2fc	bin_padj	padj	neg_log10_padj	significant	direction
GS689-PC3E	ENSG00000001167	12	1	E004	2.50849942644289	2.50849942644289	1.49536266358694e-80	0.0	300.0	true	up
GS689-PC3E	ENSG00000001461	23	12	E029	0.333355861029219	0.333355861029219	2.45322827301781e-25	0.0	300.0	true	up
GS689-PC3E	ENSG00000001497	21	3	E011	3.03853365788878	3.03853365788878	2.07425021941755e-74	0.0	300.0	true	up
GS689-PC3E	ENSG00000003756+ENSG00000004534	136	49	E085	2.4286472993369	2.4286472993369	7.33325367442495e-28	0.0	300.0	true	up
GS689-PC3E	ENSG00000186432	19	1	E001	0.0497042224291473	0.0497042224291473	0.0109016297675236	0.0500088859114816	1.3009528204750342	false	not significant
GS689-PC3E	ENSG00000159348	23	1	E017	0.74134285948533	0.74134285948533	0.0109245594421146	0.0501216473561834	1.299974663417256	false	not significant
GS689-PC3E	ENSG00000267422	2	2	E002	-0.0830518285808717	0.0830518285808717	0.0109408341426455	0.0502008847779935	1.299288628456294	false	not significant
GS689-PC3E	ENSG00000180011	8	2	E001	0.114583320753351	0.114583320753351	0.010961499055205	0.0503069206390451	1.298372265667697	false	not significant
PC3E-GS689	ENSG00000001167	12	1	E004	-2.50849941979856	2.50849941979856	1.49492581518148e-80	0.0	300.0	true	down
PC3E-GS689	ENSG00000001461	23	12	E029	-0.333355921943919	0.333355921943919	2.45332758160004e-25	0.0	300.0	true	down
PC3E-GS689	ENSG00000001497	21	3	E011	-3.03853372610062	3.03853372610062	2.07356896791258e-74	0.0	300.0	true	down
PC3E-GS689	ENSG00000003756+ENSG00000004534	136	49	E085	-2.42864736449215	2.42864736449215	7.3344231578471e-28	0.0	300.0	true	down
PC3E-GS689	ENSG00000186432	19	1	E001	-0.0497042149453915	0.0497042149453915	0.010901353653761	0.0500076378991345	1.3009636587816473	false	not significant
PC3E-GS689	ENSG00000159348	23	1	E017	-0.741342877790631	0.741342877790631	0.0109244437933707	0.0501211245729627	1.2999791932574354	false	not significant
PC3E-GS689	ENSG00000267422	2	2	E002	0.0830522260664814	0.0830522260664814	0.0109408785014753	0.0502010853124098	1.2992868936100481	false	not significant
PC3E-GS689	ENSG00000180011	8	2	E001	-0.114583300229206	0.114583300229206	0.0109612873338317	0.0503059633221455	1.2983805301648583	false	not significant
