sample_id	subject_id	SRR1383451	SRR1383452	SRR1383453	SRR1383456	SRR1383463	SRR1383464	SRR1383465	SRR1383466	SRR1383467	SRR1383468
SRR1383451	M4	0.0	2815.0	2732.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1383452	M4	2815.0	0.0	2799.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1383453	M4	2732.0	2799.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1383456	M4	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR1383463	M5	0.0	0.0	0.0	0.0	0.0	6548.0	7458.0	132.0	166.0	148.0
SRR1383464	M5	0.0	0.0	0.0	0.0	6548.0	0.0	6755.0	148.0	181.0	148.0
SRR1383465	M5	0.0	0.0	0.0	0.0	7458.0	6755.0	0.0	131.0	165.0	147.0
SRR1383466	M5	0.0	0.0	0.0	0.0	132.0	148.0	131.0	0.0	98.0	111.0
SRR1383467	M5	0.0	0.0	0.0	0.0	166.0	181.0	165.0	98.0	0.0	114.0
SRR1383468	M5	0.0	0.0	0.0	0.0	148.0	148.0	147.0	111.0	114.0	0.0
