sample_id	subject_id	sequences	number_of_clones	sequences_per_clone	clone_size_count_min	clone_size_count_median	clone_size_count_max	richness	richness_lower	richness_upper	shannon	shannon_lower	shannon_upper	simpson	simpson_lower	simpson_upper	evenness	evenness_lower	evenness_upper
SRR1383451	M4	13345	7852	1.6995669893020886	1.0	2.0	103.0	440.65	427.725389860399	453.574610139601	419.120610671006	398.433173700756	439.808047641257	381.91441686957	343.787653598331	420.04118014081	0.951141746671976	0.904194198798947	0.998089294545006
SRR1383452	M4	12372	7242	1.7083678541839271	1.0	2.0	112.0	437.4	424.072071099227	450.727928900773	413.865432512609	392.807291784327	434.923573240892	373.102512005462	335.073870935658	411.131153075265	0.946194404464128	0.898050507051502	0.994338301876753
SRR1383453	M4	12290	7285	1.6870281400137268	1.0	2.0	103.0	438.585	424.095038452577	453.074961547423	415.878624882225	392.891608491349	438.865641273102	376.79371392457	336.20802093905	417.37940691009	0.948228108307912	0.895816337748324	1.0006398788675
SRR1383456	M4	27	24	1.125	1.0	1.0	2.0
SRR1383463	M5	33353	16497	2.02176153239983	1.0	3.0	135.0	452.29	441.308452041943	463.271547958057	438.358674878593	422.219125239998	454.498224517187	415.916806902333	390.387890365386	441.445723439279	0.969198246431698	0.933514172853696	1.0048823200097
SRR1383464	M5	24991	12088	2.067422236929186	1.0	3.0	114.0	441.74	429.179744148705	454.300255851295	423.249522389904	404.674973335352	441.824071444456	393.866169025153	363.873314182461	423.859023867845	0.958141717729669	0.91609311661917	1.00019031884017
SRR1383465	M5	32207	15427	2.0877033771958255	1.0	3.0	121.0	448.775	436.935972402863	460.614027597137	433.348076155009	415.804136052754	450.892016257264	408.648499138319	380.562389660134	436.734608616504	0.965624368904259	0.926531415637578	1.00471732217094
SRR1383466	M5	485	392	1.2372448979591837	1.0	1.0	13.0	379.92	362.647622414268	397.192377585732	314.810611564182	283.634784968621	345.986438159743	209.385337080451	156.856469702026	261.914204458877	0.828623424837287	0.746564500338547	0.910682349336027
SRR1383467	M5	587	500	1.174	1.0	1.0	8.0	407.835	392.18883854051	423.48116145949	368.651121069764	343.591217894609	393.71102424492	303.320267728406	259.346549297027	347.293986159785	0.90392222607124	0.842476045201145	0.965368406941336
SRR1383468	M5	575	463	1.2419006479481642	1.0	1.0	15.0	386.475	370.053311384065	402.896688615935	318.970340132415	288.92842358721	349.01225667762	211.123446417286	162.937445410966	259.309447423607	0.82533240217974	0.747599258909917	0.903065545449564
