sample	arg_hits	arg_genes	arg_tools	amp_candidates	amp_high_confidence	bgc_regions	bgc_classes	cazymes	cazyme_families	screens
ERZ1664501	331	48	5	462	219	7	3	1277	253	4
ERZ1664503	350	46	5	455	186	13	7	1493	276	4
ERZ1664504	217	45	5	341	163	10	6	453	157	4
ERZ1664505	378	43	5	564	266	5	3	921	233	4
ERZ1664506	240	37	5	297	138	4	3	662	208	4
ERZ1664507	290	43	5	421	207	5	3	776	199	4
ERZ1664508	457	57	5	688	321	12	6	1219	261	4
ERZ1664509	235	40	5	271	119	8	3	726	207	4
ERZ1664510	437	53	5	490	213	8	4	829	215	4
ERZ1664511	266	60	5	503	241	5	4	662	195	4
ERZ1664515	262	56	5	390	172	4	3	713	191	4
ERZ1664516	278	46	5	314	152	9	5	552	167	4
ERZ1664517	282	55	5	444	203	8	6	739	211	4
ERZ1664518	310	47	5	428	187	5	3	660	183	4
ERZ1664520	345	44	5	432	212	5	3	1123	254	4
ERZ1664521	378	42	5	494	218	11	7	1235	237	4
ERZ1664523	275	46	5	419	212	10	4	790	205	4
ERZ1664524	438	68	5	564	250	16	8	1030	215	4
ERZ1664528	391	50	5	465	199	10	6	1375	261	4
